node1,node2	space	relation_type
482,830	struc2vec_graph	2
482,833	struc2vec_graph	2
482,3156	struc2vec_graph	2
482,1076	struc2vec_graph	2
482,3272	struc2vec_graph	0
482,3276	struc2vec_graph	3
482,2868	struc2vec_latent_space	0
2810,514	struc2vec_graph	2
2810,1370	struc2vec_latent_space	2
2810,530	struc2vec_latent_space	0
2810,3205	struc2vec_latent_space	0
2810,3144	struc2vec_latent_space	2
2683,1135	struc2vec_graph	3
2683,721	struc2vec_graph	2
495,1262	struc2vec_graph	2
495,1422	struc2vec_graph	2
791,2309	struc2vec_graph	2
790,3026	struc2vec_graph	2
790,582	struc2vec_graph	2
790,1000	struc2vec_graph	1
790,1545	struc2vec_graph	1
2864,2863	struc2vec_graph	2
2864,917	struc2vec_latent_space	0
1851,3125	struc2vec_graph	1
341,1869	struc2vec_graph	3
2214,652	struc2vec_graph	1
2214,3290	struc2vec_graph	0
2214,452	struc2vec_graph	1
2214,262	struc2vec_latent_space	0
2214,959	struc2vec_latent_space	1
2214,481	struc2vec_latent_space	3
2214,2318	struc2vec_latent_space	0
2214,1929	struc2vec_latent_space	1
2214,3226	struc2vec_latent_space	3
2214,2193	struc2vec_latent_space	0
2214,621	struc2vec_latent_space	0
1417,2645	struc2vec_graph	0
1417,273	struc2vec_graph	3
1417,2217	struc2vec_graph	3
1417,1758	struc2vec_graph	3
2447,1836	struc2vec_graph	1
2447,582	struc2vec_graph	0
2447,1939	struc2vec_graph	1
2447,2220	struc2vec_graph	1
2447,1932	struc2vec_graph	0
2447,2448	struc2vec_graph	1
2447,2452	struc2vec_graph	1
2447,2450	struc2vec_graph	1
2447,2449	struc2vec_graph	1
2447,2451	struc2vec_graph	1
2447,1004	struc2vec_latent_space	2
3001,1507	struc2vec_graph	0
3001,1495	struc2vec_latent_space	3
3001,1160	struc2vec_latent_space	1
3001,1481	struc2vec_latent_space	3
3077,2075	struc2vec_graph	2
3077,735	struc2vec_latent_space	0
3077,3116	struc2vec_latent_space	3
3077,1267	struc2vec_latent_space	1
3077,1604	struc2vec_latent_space	3
3077,855	struc2vec_latent_space	0
3057,3059	struc2vec_graph	1
3057,3058	struc2vec_graph	2
3057,1898	struc2vec_latent_space	0
3057,3033	struc2vec_latent_space	2
3057,1975	struc2vec_latent_space	2
3057,1552	struc2vec_latent_space	3
3057,2500	struc2vec_latent_space	2
2097,968	struc2vec_graph	2
2097,2435	struc2vec_graph	1
2097,2564	struc2vec_graph	1
2097,962	struc2vec_graph	1
2097,2925	struc2vec_graph	1
2097,2774	struc2vec_graph	1
2097,993	struc2vec_graph	1
2097,213	struc2vec_graph	1
2097,2829	struc2vec_graph	1
501,1011	struc2vec_graph	2
501,1575	struc2vec_graph	2
501,2144	struc2vec_latent_space	3
501,2452	struc2vec_latent_space	3
501,132	struc2vec_latent_space	2
507,2834	struc2vec_graph	1
507,2465	struc2vec_latent_space	2
507,892	struc2vec_latent_space	2
507,3094	struc2vec_latent_space	3
507,657	struc2vec_latent_space	2
507,3323	struc2vec_latent_space	0
507,2989	struc2vec_latent_space	2
62,1620	struc2vec_graph	1
1754,999	struc2vec_graph	2
1858,3035	struc2vec_graph	1
1858,602	struc2vec_graph	1
1858,2031	struc2vec_graph	1
1858,2543	struc2vec_graph	1
682,2228	struc2vec_graph	1
682,881	struc2vec_graph	1
682,2494	struc2vec_graph	1
682,1471	struc2vec_graph	1
2259,2278	struc2vec_graph	2
2259,1919	struc2vec_graph	1
2259,545	struc2vec_graph	2
2259,332	struc2vec_graph	1
2259,1256	struc2vec_graph	2
2259,1046	struc2vec_graph	1
2259,2450	struc2vec_graph	1
2259,1437	struc2vec_graph	1
2808,387	struc2vec_graph	2
2808,2336	struc2vec_latent_space	2
2808,393	struc2vec_latent_space	1
2808,3285	struc2vec_latent_space	3
2808,1258	struc2vec_latent_space	2
2808,3288	struc2vec_latent_space	2
386,98	struc2vec_graph	1
556,969	struc2vec_graph	3
245,3203	struc2vec_graph	1
245,3124	struc2vec_graph	1
245,3204	struc2vec_graph	3
245,1066	struc2vec_graph	1
245,3189	struc2vec_graph	1
245,2743	struc2vec_latent_space	1
245,4	struc2vec_latent_space	0
279,2326	struc2vec_graph	1
279,1928	struc2vec_graph	1
279,688	struc2vec_graph	3
279,3090	struc2vec_latent_space	1
279,869	struc2vec_latent_space	3
3086,968	struc2vec_graph	2
