node1,node2	space	relation_type
222,821	struc2vec_graph	3
222,2245	struc2vec_latent_space	3
222,221	struc2vec_latent_space	0
222,1001	struc2vec_latent_space	0
222,1425	struc2vec_latent_space	0
222,422	struc2vec_latent_space	0
222,1233	struc2vec_latent_space	2
222,245	struc2vec_latent_space	2
222,662	struc2vec_latent_space	1
1385,714	struc2vec_graph	2
1385,1015	struc2vec_graph	3
1385,2335	struc2vec_graph	0
1385,1279	struc2vec_latent_space	2
2039,1889	struc2vec_graph	2
2039,2042	struc2vec_graph	1
2039,2034	struc2vec_graph	2
146,2059	struc2vec_graph	0
146,897	struc2vec_graph	3
146,1907	struc2vec_graph	0
146,1468	struc2vec_graph	0
146,1927	struc2vec_graph	0
502,279	struc2vec_graph	3
502,1976	struc2vec_graph	0
502,285	struc2vec_graph	3
502,621	struc2vec_latent_space	2
502,2346	struc2vec_latent_space	3
2407,573	struc2vec_graph	1
2407,643	struc2vec_graph	2
2407,1313	struc2vec_graph	2
2407,182	struc2vec_latent_space	2
2083,752	struc2vec_graph	1
2083,957	struc2vec_graph	1
2083,505	struc2vec_graph	0
2083,1483	struc2vec_graph	1
2083,1685	struc2vec_graph	1
2083,367	struc2vec_graph	0
2083,1557	struc2vec_graph	1
2083,1550	struc2vec_graph	1
2083,650	struc2vec_graph	1
2083,2168	struc2vec_graph	1
2083,748	struc2vec_latent_space	2
2083,2321	struc2vec_latent_space	2
2646,194	struc2vec_graph	2
1123,1103	struc2vec_graph	0
1123,1358	struc2vec_graph	0
1123,501	struc2vec_latent_space	1
1123,2358	struc2vec_latent_space	2
1123,1384	struc2vec_latent_space	1
1123,1480	struc2vec_latent_space	1
1123,887	struc2vec_latent_space	1
36,1781	struc2vec_graph	3
36,1505	struc2vec_graph	1
36,1146	struc2vec_graph	3
36,2094	struc2vec_graph	1
36,1552	struc2vec_graph	3
36,2106	struc2vec_graph	2
36,2107	struc2vec_graph	3
36,1640	struc2vec_graph	1
346,999	struc2vec_graph	3
346,1358	struc2vec_graph	0
346,957	struc2vec_latent_space	2
346,876	struc2vec_latent_space	0
346,609	struc2vec_latent_space	1
346,1471	struc2vec_latent_space	2
346,929	struc2vec_latent_space	0
346,59	struc2vec_latent_space	2
1598,640	struc2vec_graph	2
1598,1090	struc2vec_graph	2
1598,2367	struc2vec_graph	2
1598,1093	struc2vec_graph	3
1598,1147	struc2vec_graph	2
716,1821	struc2vec_graph	3
716,1810	struc2vec_graph	1
716,2409	struc2vec_graph	1
716,603	struc2vec_graph	0
716,1561	struc2vec_latent_space	1
2301,2008	struc2vec_graph	2
2301,733	struc2vec_graph	2
1814,482	struc2vec_graph	0
1814,1810	struc2vec_graph	1
1814,1808	struc2vec_latent_space	2
2624,2701	struc2vec_graph	0
2624,44	struc2vec_graph	2
2624,631	struc2vec_latent_space	1
2624,2362	struc2vec_latent_space	3
2624,2562	struc2vec_latent_space	3
2624,1210	struc2vec_latent_space	1
2624,31	struc2vec_latent_space	2
1921,1416	struc2vec_graph	1
1921,315	struc2vec_graph	3
1921,827	struc2vec_graph	3
1921,1143	struc2vec_latent_space	1
1921,551	struc2vec_latent_space	1
1921,95	struc2vec_latent_space	2
1921,1622	struc2vec_latent_space	2
1921,643	struc2vec_latent_space	3
2121,2001	struc2vec_graph	3
2121,2122	struc2vec_graph	3
2121,33	struc2vec_graph	3
2121,733	struc2vec_latent_space	3
2121,1842	struc2vec_latent_space	2
2121,295	struc2vec_latent_space	2
2121,1024	struc2vec_latent_space	1
2121,1175	struc2vec_latent_space	0
1893,1889	struc2vec_graph	3
1893,920	struc2vec_graph	0
1893,605	struc2vec_latent_space	3
204,415	struc2vec_graph	0
1049,866	struc2vec_graph	0
1049,2610	struc2vec_graph	0
1049,1894	struc2vec_graph	0
1049,1432	struc2vec_graph	0
448,1824	struc2vec_graph	1
448,472	struc2vec_graph	1
448,1826	struc2vec_graph	1
448,1902	struc2vec_graph	3
448,415	struc2vec_latent_space	3
448,2432	struc2vec_latent_space	1
448,2507	struc2vec_latent_space	0
448,991	struc2vec_latent_space	1
1189,1358	struc2vec_graph	0
1189,2359	struc2vec_graph	0
1189,73	struc2vec_graph	1
1189,1136	struc2vec_graph	0
1189,558	struc2vec_graph	0
1189,487	struc2vec_latent_space	1
1189,1763	struc2vec_latent_space	0
1189,1229	struc2vec_latent_space	3
1189,823	struc2vec_latent_space	2
1189,1758	struc2vec_latent_space	1
1189,1750	struc2vec_latent_space	1
1189,1737	struc2vec_latent_space	1
1189,797	struc2vec_latent_space	1
1189,1287	struc2vec_latent_space	3
2375,20	struc2vec_graph	0
2375,2270	struc2vec_graph	3
2375,1404	struc2vec_graph	0
2375,371	struc2vec_graph	3
2375,1614	struc2vec_latent_space	3
2107,399	struc2vec_graph	0
2107,36	struc2vec_graph	0
2107,1781	struc2vec_graph	0
2107,1505	struc2vec_graph	0
1016,4	struc2vec_graph	2
1016,2176	struc2vec_graph	2
1016,595	struc2vec_graph	0
1016,561	struc2vec_graph	0
1016,1256	struc2vec_graph	2
2547,488	struc2vec_graph	2
2547,515	struc2vec_graph	3
2547,2496	struc2vec_latent_space	3
509,1101	struc2vec_graph	2
509,2146	struc2vec_graph	2
509,2148	struc2vec_graph	2
2443,1742	struc2vec_graph	3
2443,615	struc2vec_graph	2
2443,64	struc2vec_latent_space	2
2443,1164	struc2vec_latent_space	0
2262,1143	struc2vec_graph	3
2262,1015	struc2vec_graph	3
2267,2266	struc2vec_graph	2
2267,1395	struc2vec_graph	2
2237,2238	struc2vec_graph	2
2237,1240	struc2vec_graph	2
2237,2236	struc2vec_graph	2
1454,2	struc2vec_graph	0
1214,73	struc2vec_graph	3
1214,1716	struc2vec_graph	3
1214,337	struc2vec_graph	3
1214,1745	struc2vec_graph	3
1214,1199	struc2vec_graph	2
1214,1499	struc2vec_graph	3
1214,372	struc2vec_latent_space	2
1214,2466	struc2vec_latent_space	0
1214,891	struc2vec_latent_space	0
1214,2515	struc2vec_latent_space	0
1214,2220	struc2vec_latent_space	0
882,1358	struc2vec_graph	2
355,1668	struc2vec_graph	3
112,487	struc2vec_graph	0
112,306	struc2vec_graph	0
112,1623	struc2vec_graph	0
112,2080	struc2vec_graph	0
112,1238	struc2vec_latent_space	3
112,350	struc2vec_latent_space	2
112,1749	struc2vec_latent_space	0
876,2584	struc2vec_graph	1
876,1358	struc2vec_graph	0
876,73	struc2vec_graph	3
876,558	struc2vec_graph	0
876,2168	struc2vec_graph	2
876,834	struc2vec_graph	0
876,346	struc2vec_latent_space	3
876,333	struc2vec_latent_space	2
1409,360	struc2vec_graph	0
1409,1553	struc2vec_graph	0
1409,1827	struc2vec_graph	3
1409,1828	struc2vec_graph	0
1409,1826	struc2vec_graph	0
886,1400	struc2vec_graph	0
886,622	struc2vec_graph	3
886,769	struc2vec_latent_space	0
886,2427	struc2vec_latent_space	1
886,986	struc2vec_latent_space	3
886,1898	struc2vec_latent_space	1
886,2634	struc2vec_latent_space	2
886,2483	struc2vec_latent_space	1
717,1907	struc2vec_graph	0
2371,2367	struc2vec_graph	3
2371,1147	struc2vec_graph	3
2371,2177	struc2vec_graph	2
2371,1257	struc2vec_latent_space	3
2371,2618	struc2vec_latent_space	3
2371,644	struc2vec_latent_space	3
2371,2058	struc2vec_latent_space	2
2371,1321	struc2vec_latent_space	1
2371,625	struc2vec_latent_space	1
2371,1544	struc2vec_latent_space	1
2674,2675	struc2vec_graph	3
2674,1109	struc2vec_graph	3
2674,2671	struc2vec_graph	1
586,94	struc2vec_graph	3
586,74	struc2vec_graph	1
586,1224	struc2vec_graph	1
586,1218	struc2vec_graph	3
586,2155	struc2vec_graph	1
586,1582	struc2vec_latent_space	0
586,2226	struc2vec_latent_space	1
586,2453	struc2vec_latent_space	1
586,810	struc2vec_latent_space	0
586,2565	struc2vec_latent_space	3
1659,1629	struc2vec_graph	3
1659,5	struc2vec_graph	1
1659,620	struc2vec_latent_space	3
1137,725	struc2vec_graph	2
