node1,node2	space	relation_type
7,110	struc2vec_graph	2
7,121	struc2vec_graph	0
128,42	struc2vec_graph	2
115,42	struc2vec_graph	0
140,15	struc2vec_graph	2
140,148	struc2vec_graph	2
140,34	struc2vec_latent_space	3
110,129	struc2vec_graph	2
110,7	struc2vec_graph	1
110,89	struc2vec_graph	0
110,20	struc2vec_graph	0
134,103	struc2vec_graph	0
134,35	struc2vec_latent_space	1
134,48	struc2vec_latent_space	0
17,76	struc2vec_graph	0
17,81	struc2vec_latent_space	1
78,25	struc2vec_graph	2
78,152	struc2vec_graph	3
78,55	struc2vec_graph	2
78,146	struc2vec_graph	3
78,91	struc2vec_graph	3
78,95	struc2vec_graph	3
78,81	struc2vec_latent_space	2
78,99	struc2vec_latent_space	3
78,168	struc2vec_latent_space	0
78,51	struc2vec_latent_space	1
78,161	struc2vec_latent_space	0
78,40	struc2vec_latent_space	3
78,106	struc2vec_latent_space	3
177,25	struc2vec_graph	3
177,77	struc2vec_graph	0
177,171	struc2vec_latent_space	1
177,117	struc2vec_latent_space	2
179,42	struc2vec_graph	2
179,23	struc2vec_latent_space	1
103,42	struc2vec_graph	3
103,134	struc2vec_graph	3
142,180	struc2vec_graph	1
142,10	struc2vec_graph	0
142,52	struc2vec_graph	1
142,131	struc2vec_graph	3
142,138	struc2vec_graph	1
142,135	struc2vec_latent_space	2
142,98	struc2vec_latent_space	2
142,42	struc2vec_latent_space	3
142,44	struc2vec_latent_space	1
64,42	struc2vec_graph	0
64,0	struc2vec_latent_space	3
162,135	struc2vec_graph	2
162,27	struc2vec_latent_space	3
162,80	struc2vec_latent_space	2
162,113	struc2vec_latent_space	0
85,42	struc2vec_graph	2
85,71	struc2vec_graph	0
85,124	struc2vec_graph	1
85,11	struc2vec_latent_space	1
85,15	struc2vec_latent_space	2
85,68	struc2vec_latent_space	2
154,71	struc2vec_graph	2
154,148	struc2vec_graph	2
121,7	struc2vec_graph	3
121,89	struc2vec_graph	2
121,20	struc2vec_graph	0
121,141	struc2vec_latent_space	1
121,122	struc2vec_latent_space	1
71,85	struc2vec_graph	3
71,154	struc2vec_graph	1
71,124	struc2vec_graph	1
71,120	struc2vec_graph	2
71,180	struc2vec_graph	1
71,133	struc2vec_graph	3
71,35	struc2vec_graph	1
71,42	struc2vec_graph	3
71,94	struc2vec_latent_space	0
71,68	struc2vec_latent_space	3
71,151	struc2vec_latent_space	0
71,82	struc2vec_latent_space	2
71,114	struc2vec_latent_space	3
39,169	struc2vec_graph	1
39,25	struc2vec_latent_space	3
41,91	struc2vec_graph	1
41,135	struc2vec_graph	2
41,45	struc2vec_graph	1
41,132	struc2vec_latent_space	0
146,69	struc2vec_graph	0
146,78	struc2vec_graph	0
146,158	struc2vec_latent_space	0
164,38	struc2vec_graph	1
164,147	struc2vec_latent_space	0
30,25	struc2vec_graph	2
30,111	struc2vec_graph	0
30,42	struc2vec_graph	0
30,18	struc2vec_latent_space	0
30,62	struc2vec_latent_space	1
83,42	struc2vec_graph	3
83,135	struc2vec_latent_space	3
83,98	struc2vec_latent_space	3
83,144	struc2vec_latent_space	0
119,23	struc2vec_graph	3
148,56	struc2vec_graph	3
148,167	struc2vec_graph	3
148,154	struc2vec_graph	1
148,99	struc2vec_graph	1
148,1	struc2vec_graph	0
148,178	struc2vec_graph	1
148,140	struc2vec_graph	1
148,82	struc2vec_graph	0
148,42	struc2vec_graph	2
148,112	struc2vec_graph	2
148,97	struc2vec_latent_space	2
34,31	struc2vec_graph	3
34,174	struc2vec_graph	3
34,140	struc2vec_latent_space	0
3,163	struc2vec_graph	1
3,42	struc2vec_graph	2
3,27	struc2vec_latent_space	0
3,176	struc2vec_latent_space	3
3,52	struc2vec_latent_space	2
3,169	struc2vec_latent_space	3
93,178	struc2vec_graph	0
93,33	struc2vec_graph	0
93,19	struc2vec_latent_space	3
93,53	struc2vec_latent_space	2
93,138	struc2vec_latent_space	3
72,25	struc2vec_graph	2
72,176	struc2vec_graph	1
72,4	struc2vec_graph	1
72,54	struc2vec_graph	1
72,42	struc2vec_graph	2
72,24	struc2vec_latent_space	2
72,8	struc2vec_latent_space	1
76,42	struc2vec_graph	2
76,17	struc2vec_graph	3
10,104	struc2vec_graph	3
10,124	struc2vec_graph	3
10,52	struc2vec_graph	1
10,51	struc2vec_graph	1
10,142	struc2vec_graph	3
10,131	struc2vec_graph	3
10,74	struc2vec_graph	3
10,138	struc2vec_graph	3
10,47	struc2vec_latent_space	1
28,147	struc2vec_graph	2
133,42	struc2vec_graph	2
133,71	struc2vec_graph	0
133,11	struc2vec_latent_space	2
131,104	struc2vec_graph	3
131,94	struc2vec_graph	0
131,10	struc2vec_graph	0
131,153	struc2vec_graph	1
131,142	struc2vec_graph	0
131,138	struc2vec_graph	1
131,105	struc2vec_latent_space	2
131,172	struc2vec_latent_space	2
172,144	struc2vec_graph	0
172,44	struc2vec_graph	0
172,22	struc2vec_latent_space	3
