node1,node2	space	relation_type
164,146	struc2vec_graph	1
164,4	struc2vec_graph	3
164,178	struc2vec_latent_space	0
164,136	struc2vec_latent_space	1
182,29	struc2vec_graph	1
60,36	struc2vec_graph	1
60,16	struc2vec_graph	0
60,21	struc2vec_graph	1
95,46	struc2vec_graph	0
95,66	struc2vec_graph	1
95,76	struc2vec_graph	2
95,157	struc2vec_graph	0
95,39	struc2vec_latent_space	0
95,62	struc2vec_latent_space	1
95,0	struc2vec_latent_space	1
95,57	struc2vec_latent_space	1
89,151	struc2vec_graph	3
89,56	struc2vec_graph	3
79,99	struc2vec_graph	0
79,82	struc2vec_graph	3
79,56	struc2vec_graph	3
79,9	struc2vec_latent_space	0
40,24	struc2vec_graph	0
40,146	struc2vec_latent_space	1
40,82	struc2vec_latent_space	2
40,165	struc2vec_latent_space	1
150,50	struc2vec_graph	1
150,159	struc2vec_graph	1
150,56	struc2vec_graph	1
133,82	struc2vec_graph	1
133,64	struc2vec_graph	1
133,178	struc2vec_graph	1
133,16	struc2vec_graph	0
133,73	struc2vec_latent_space	0
133,115	struc2vec_latent_space	1
133,138	struc2vec_latent_space	2
169,56	struc2vec_graph	3
169,93	struc2vec_latent_space	3
50,34	struc2vec_graph	3
50,68	struc2vec_graph	1
50,150	struc2vec_graph	2
39,56	struc2vec_graph	0
39,83	struc2vec_graph	0
39,140	struc2vec_graph	0
39,41	struc2vec_latent_space	2
39,95	struc2vec_latent_space	3
39,180	struc2vec_latent_space	2
39,86	struc2vec_latent_space	2
39,56	struc2vec_latent_space	0
108,107	struc2vec_graph	2
108,10	struc2vec_graph	3
108,45	struc2vec_graph	1
108,11	struc2vec_graph	0
108,72	struc2vec_graph	2
108,179	struc2vec_latent_space	1
108,98	struc2vec_latent_space	0
108,37	struc2vec_latent_space	3
106,9	struc2vec_graph	0
106,131	struc2vec_latent_space	2
106,15	struc2vec_latent_space	3
106,143	struc2vec_latent_space	1
106,51	struc2vec_latent_space	1
106,68	struc2vec_latent_space	2
106,2	struc2vec_latent_space	3
106,72	struc2vec_latent_space	2
59,159	struc2vec_graph	2
59,16	struc2vec_graph	2
59,56	struc2vec_graph	2
114,49	struc2vec_graph	1
54,56	struc2vec_graph	2
54,125	struc2vec_graph	2
54,173	struc2vec_latent_space	0
54,148	struc2vec_latent_space	3
180,66	struc2vec_graph	1
180,47	struc2vec_graph	0
180,84	struc2vec_graph	1
180,41	struc2vec_latent_space	0
180,39	struc2vec_latent_space	1
180,86	struc2vec_latent_space	1
180,56	struc2vec_latent_space	1
176,80	struc2vec_graph	3
11,94	struc2vec_graph	3
11,56	struc2vec_graph	3
11,108	struc2vec_graph	3
119,56	struc2vec_graph	2
119,58	struc2vec_graph	3
119,85	struc2vec_latent_space	3
36,60	struc2vec_graph	2
36,21	struc2vec_graph	2
36,25	struc2vec_latent_space	0
65,15	struc2vec_graph	0
65,56	struc2vec_graph	0
65,57	struc2vec_graph	0
65,48	struc2vec_latent_space	3
65,144	struc2vec_latent_space	0
65,104	struc2vec_latent_space	1
65,81	struc2vec_latent_space	0
38,56	struc2vec_graph	3
41,66	struc2vec_graph	1
41,118	struc2vec_graph	0
41,84	struc2vec_graph	1
41,56	struc2vec_graph	1
41,104	struc2vec_graph	3
41,180	struc2vec_latent_space	3
41,86	struc2vec_latent_space	3
41,56	struc2vec_latent_space	1
41,39	struc2vec_latent_space	1
41,42	struc2vec_latent_space	0
161,116	struc2vec_graph	0
161,56	struc2vec_graph	0
161,172	struc2vec_latent_space	2
13,58	struc2vec_graph	3
13,15	struc2vec_latent_space	0
13,2	struc2vec_latent_space	0
153,127	struc2vec_graph	3
153,84	struc2vec_graph	1
153,56	struc2vec_graph	3
153,1	struc2vec_latent_space	2
153,27	struc2vec_latent_space	1
109,56	struc2vec_graph	3
109,78	struc2vec_latent_space	3
151,89	struc2vec_graph	0
151,66	struc2vec_graph	1
151,152	struc2vec_graph	1
151,34	struc2vec_latent_space	1
151,167	struc2vec_latent_space	1
151,73	struc2vec_latent_space	2
151,163	struc2vec_latent_space	1
151,22	struc2vec_latent_space	1
151,115	struc2vec_latent_space	2
33,56	struc2vec_graph	3
88,102	struc2vec_graph	0
88,58	struc2vec_graph	2
88,123	struc2vec_latent_space	1
105,144	struc2vec_graph	0
105,48	struc2vec_latent_space	1
105,10	struc2vec_latent_space	2
105,58	struc2vec_latent_space	3
72,108	struc2vec_graph	1
72,131	struc2vec_latent_space	3
72,15	struc2vec_latent_space	1
72,101	struc2vec_latent_space	2
72,106	struc2vec_latent_space	1
72,68	struc2vec_latent_space	2
72,2	struc2vec_latent_space	1
72,143	struc2vec_latent_space	1
100,131	struc2vec_graph	1
58,13	struc2vec_graph	0
58,0	struc2vec_graph	0
58,163	struc2vec_graph	0
58,81	struc2vec_graph	0
58,88	struc2vec_graph	1
58,102	struc2vec_graph	0
58,119	struc2vec_graph	0
58,63	struc2vec_graph	0
58,48	struc2vec_latent_space	1
58,10	struc2vec_latent_space	2
58,105	struc2vec_latent_space	0
66,131	struc2vec_graph	0
66,34	struc2vec_graph	2
66,41	struc2vec_graph	2
66,162	struc2vec_graph	0
66,151	struc2vec_graph	2
66,73	struc2vec_graph	2
66,80	struc2vec_graph	2
66,4	struc2vec_graph	3
66,95	struc2vec_graph	2
66,171	struc2vec_graph	3
66,180	struc2vec_graph	2
66,86	struc2vec_graph	2
66,102	struc2vec_graph	0
66,64	struc2vec_latent_space	3
129,127	struc2vec_graph	3
129,171	struc2vec_graph	3
129,56	struc2vec_graph	3
129,102	struc2vec_latent_space	1
101,5	struc2vec_graph	2
101,131	struc2vec_latent_space	1
101,68	struc2vec_latent_space	0
101,72	struc2vec_latent_space	1
128,56	struc2vec_graph	3
128,160	struc2vec_latent_space	3
128,90	struc2vec_latent_space	0
77,56	struc2vec_graph	3
77,93	struc2vec_latent_space	2
77,140	struc2vec_latent_space	2
61,84	struc2vec_graph	0
61,56	struc2vec_graph	2
61,91	struc2vec_latent_space	3
57,15	struc2vec_graph	1
57,67	struc2vec_graph	1
57,110	struc2vec_graph	2
57,165	struc2vec_graph	1
57,22	struc2vec_graph	2
57,56	struc2vec_graph	0
57,170	struc2vec_graph	2
57,65	struc2vec_graph	3
57,152	struc2vec_latent_space	3
57,62	struc2vec_latent_space	1
57,0	struc2vec_latent_space	3
57,95	struc2vec_latent_space	2
142,56	struc2vec_graph	3
145,173	struc2vec_graph	0
145,168	struc2vec_graph	3
145,134	struc2vec_latent_space	1
145,74	struc2vec_latent_space	0
148,146	struc2vec_graph	3
148,159	struc2vec_graph	2
148,54	struc2vec_latent_space	0
20,15	struc2vec_graph	0
20,16	struc2vec_graph	0
20,115	struc2vec_graph	2
20,5	struc2vec_graph	0
20,26	struc2vec_latent_space	0
20,104	struc2vec_latent_space	0
126,29	struc2vec_graph	0
126,16	struc2vec_graph	2
126,18	struc2vec_graph	2
126,112	struc2vec_latent_space	2
87,116	struc2vec_graph	0
87,56	struc2vec_graph	3
87,24	struc2vec_latent_space	1
123,16	struc2vec_graph	2
123,88	struc2vec_latent_space	2
123,44	struc2vec_latent_space	1
166,56	struc2vec_graph	3
30,146	struc2vec_graph	1
30,159	struc2vec_graph	3
30,56	struc2vec_graph	0
30,127	struc2vec_latent_space	2
30,177	struc2vec_latent_space	2
30,167	struc2vec_latent_space	2
35,56	struc2vec_graph	3
63,56	struc2vec_graph	3
63,58	struc2vec_graph	3
81,56	struc2vec_graph	0
81,58	struc2vec_graph	3
81,103	struc2vec_latent_space	2
81,144	struc2vec_latent_space	3
81,104	struc2vec_latent_space	1
81,65	struc2vec_latent_space	3
146,28	struc2vec_graph	0
146,164	struc2vec_graph	2
146,148	struc2vec_graph	0
146,78	struc2vec_graph	0
146,4	struc2vec_graph	3
146,56	struc2vec_graph	2
146,117	struc2vec_graph	2
146,30	struc2vec_graph	2
146,40	struc2vec_latent_space	2
146,82	struc2vec_latent_space	2
