node1,node2	space	relation_type
151,147	struc2vec_graph	0
151,37	struc2vec_graph	0
71,52	struc2vec_graph	1
71,204	struc2vec_graph	3
71,174	struc2vec_latent_space	0
71,42	struc2vec_latent_space	2
71,233	struc2vec_latent_space	1
237,98	struc2vec_graph	3
237,69	struc2vec_latent_space	0
237,73	struc2vec_latent_space	0
237,198	struc2vec_latent_space	3
201,26	struc2vec_graph	0
201,207	struc2vec_graph	0
201,8	struc2vec_graph	0
201,206	struc2vec_graph	1
201,217	struc2vec_latent_space	3
201,116	struc2vec_latent_space	0
201,178	struc2vec_latent_space	0
201,47	struc2vec_latent_space	2
201,123	struc2vec_latent_space	3
201,168	struc2vec_latent_space	2
201,97	struc2vec_latent_space	1
201,55	struc2vec_latent_space	0
201,210	struc2vec_latent_space	2
31,44	struc2vec_graph	0
31,102	struc2vec_graph	0
31,192	struc2vec_graph	0
31,50	struc2vec_graph	0
184,75	struc2vec_graph	2
184,156	struc2vec_graph	3
184,147	struc2vec_graph	2
184,98	struc2vec_graph	2
2,98	struc2vec_graph	3
2,54	struc2vec_graph	2
2,51	struc2vec_latent_space	1
2,50	struc2vec_latent_space	1
44,182	struc2vec_graph	2
44,140	struc2vec_graph	3
44,31	struc2vec_graph	3
44,50	struc2vec_graph	2
44,41	struc2vec_graph	3
44,173	struc2vec_graph	2
44,241	struc2vec_graph	2
44,178	struc2vec_graph	3
44,122	struc2vec_graph	2
44,98	struc2vec_graph	2
44,9	struc2vec_graph	2
77,75	struc2vec_graph	0
77,98	struc2vec_graph	0
172,75	struc2vec_graph	3
172,156	struc2vec_graph	3
172,98	struc2vec_graph	3
172,218	struc2vec_latent_space	0
172,226	struc2vec_latent_space	2
172,17	struc2vec_latent_space	3
228,25	struc2vec_graph	0
228,78	struc2vec_latent_space	0
228,63	struc2vec_latent_space	0
228,91	struc2vec_latent_space	1
135,50	struc2vec_graph	1
135,98	struc2vec_graph	3
135,165	struc2vec_latent_space	0
231,75	struc2vec_graph	3
231,143	struc2vec_graph	1
231,185	struc2vec_graph	3
231,198	struc2vec_graph	0
231,224	struc2vec_latent_space	2
231,110	struc2vec_latent_space	0
166,191	struc2vec_graph	1
166,89	struc2vec_latent_space	1
166,108	struc2vec_latent_space	1
166,13	struc2vec_latent_space	1
166,180	struc2vec_latent_space	1
166,90	struc2vec_latent_space	3
166,106	struc2vec_latent_space	1
166,119	struc2vec_latent_space	2
166,33	struc2vec_latent_space	3
166,211	struc2vec_latent_space	2
174,98	struc2vec_graph	3
174,71	struc2vec_latent_space	3
174,42	struc2vec_latent_space	3
174,233	struc2vec_latent_space	3
121,120	struc2vec_graph	0
121,161	struc2vec_graph	0
121,42	struc2vec_graph	0
121,29	struc2vec_latent_space	1
121,207	struc2vec_latent_space	2
170,35	struc2vec_graph	1
170,242	struc2vec_graph	3
170,92	struc2vec_graph	3
170,20	struc2vec_graph	3
170,243	struc2vec_graph	3
170,6	struc2vec_graph	1
170,98	struc2vec_graph	3
170,54	struc2vec_graph	3
170,241	struc2vec_latent_space	3
94,98	struc2vec_graph	2
94,242	struc2vec_latent_space	2
94,232	struc2vec_latent_space	1
5,141	struc2vec_graph	3
5,204	struc2vec_graph	1
5,81	struc2vec_graph	0
5,32	struc2vec_graph	1
5,236	struc2vec_graph	1
5,246	struc2vec_graph	0
5,168	struc2vec_graph	3
5,45	struc2vec_graph	1
5,101	struc2vec_graph	3
5,211	struc2vec_graph	0
5,180	struc2vec_latent_space	0
5,83	struc2vec_latent_space	0
5,90	struc2vec_latent_space	2
5,106	struc2vec_latent_space	0
5,82	struc2vec_latent_space	2
5,158	struc2vec_latent_space	3
249,242	struc2vec_graph	1
249,117	struc2vec_graph	2
249,226	struc2vec_latent_space	1
176,53	struc2vec_graph	2
176,85	struc2vec_latent_space	3
205,242	struc2vec_graph	1
205,169	struc2vec_graph	0
205,98	struc2vec_graph	2
189,171	struc2vec_graph	2
189,93	struc2vec_graph	3
189,98	struc2vec_graph	2
189,4	struc2vec_latent_space	0
131,186	struc2vec_graph	2
131,98	struc2vec_graph	3
139,98	struc2vec_graph	1
139,130	struc2vec_graph	0
139,137	struc2vec_latent_space	2
58,12	struc2vec_graph	3
58,98	struc2vec_graph	3
58,111	struc2vec_latent_space	2
58,34	struc2vec_latent_space	3
167,239	struc2vec_graph	0
167,242	struc2vec_graph	0
167,202	struc2vec_graph	0
167,98	struc2vec_graph	0
212,75	struc2vec_graph	3
212,232	struc2vec_latent_space	3
28,242	struc2vec_graph	0
28,104	struc2vec_graph	0
28,0	struc2vec_graph	0
28,98	struc2vec_graph	0
141,97	struc2vec_graph	3
141,5	struc2vec_graph	0
141,115	struc2vec_graph	0
141,75	struc2vec_latent_space	3
7,242	struc2vec_graph	1
7,0	struc2vec_graph	1
137,224	struc2vec_graph	1
137,98	struc2vec_graph	1
137,139	struc2vec_latent_space	1
137,53	struc2vec_latent_space	0
73,192	struc2vec_graph	0
73,237	struc2vec_latent_space	3
73,219	struc2vec_latent_space	0
73,69	struc2vec_latent_space	3
27,111	struc2vec_graph	2
27,63	struc2vec_graph	3
27,98	struc2vec_graph	2
27,52	struc2vec_latent_space	1
27,66	struc2vec_latent_space	3
52,86	struc2vec_graph	2
52,155	struc2vec_graph	3
52,190	struc2vec_graph	2
52,71	struc2vec_graph	2
52,49	struc2vec_graph	3
52,3	struc2vec_graph	3
52,70	struc2vec_graph	3
52,57	struc2vec_graph	2
52,114	struc2vec_graph	2
52,30	struc2vec_graph	3
52,98	struc2vec_graph	2
52,27	struc2vec_latent_space	2
52,66	struc2vec_latent_space	3
52,85	struc2vec_latent_space	0
173,182	struc2vec_graph	0
173,26	struc2vec_graph	1
173,208	struc2vec_graph	0
173,188	struc2vec_graph	0
173,226	struc2vec_graph	1
173,44	struc2vec_graph	1
173,178	struc2vec_graph	3
173,207	struc2vec_graph	1
173,65	struc2vec_graph	1
173,128	struc2vec_graph	1
173,122	struc2vec_graph	0
173,192	struc2vec_graph	0
173,98	struc2vec_graph	1
173,199	struc2vec_latent_space	0
173,103	struc2vec_latent_space	2
102,31	struc2vec_graph	3
102,98	struc2vec_graph	3
102,85	struc2vec_graph	1
102,99	struc2vec_latent_space	1
218,98	struc2vec_graph	3
218,169	struc2vec_latent_space	0
218,51	struc2vec_latent_space	0
218,50	struc2vec_latent_space	2
218,172	struc2vec_latent_space	3
144,12	struc2vec_graph	3
144,108	struc2vec_graph	2
144,98	struc2vec_graph	2
144,25	struc2vec_latent_space	3
234,64	struc2vec_graph	3
234,61	struc2vec_latent_space	0
234,87	struc2vec_latent_space	3
60,98	struc2vec_graph	3
60,216	struc2vec_latent_space	0
60,235	struc2vec_latent_space	2
60,157	struc2vec_latent_space	2
60,43	struc2vec_latent_space	2
60,80	struc2vec_latent_space	3
60,152	struc2vec_latent_space	3
60,36	struc2vec_latent_space	0
60,239	struc2vec_latent_space	3
60,227	struc2vec_latent_space	0
60,195	struc2vec_latent_space	3
186,67	struc2vec_graph	3
186,160	struc2vec_graph	2
186,15	struc2vec_graph	0
186,147	struc2vec_graph	3
186,238	struc2vec_graph	3
186,131	struc2vec_graph	1
186,239	struc2vec_latent_space	2
186,152	struc2vec_latent_space	2
199,8	struc2vec_graph	1
199,84	struc2vec_graph	3
199,32	struc2vec_graph	1
199,145	struc2vec_graph	1
