node_id	node_id
723	7283
723	7507
723	1548
723	3235
723	3681
1138	2335
1138	1389
1138	3760
1138	1510
1138	2963
1138	3304
1138	306
1138	2335
2506	3809
5785	2901
5785	997
5785	2253
1983	5691
1417	2367
3091	2060
4021	6879
4021	4197
4021	255
4021	3047
4021	3964
4021	1309
4021	1447
4021	5566
579	7245
579	4053
579	7082
579	3300
579	1339
579	1339
579	2567
579	222
579	957
3133	4818
3133	7272
3133	6812
3133	2330
5854	3534
5854	5560
5854	459
5854	271
4358	6435
4358	560
4358	3514
4358	3358
4358	685
4358	587
4358	1310
4358	2629
4358	1224
4358	5475
4358	361
4358	4165
4358	1226
4358	361
4358	3562
4358	6551
4358	3604
4358	4337
4134	2411
6207	3809
6207	3809
6670	3600
5414	3469
5414	6329
5414	1838
920	6240
1586	5681
2954	6813
2954	3004
4232	5132
3262	850
3262	3966
3262	6416
3262	4682
3262	4682
360	4734
360	4004
360	4053
360	958
360	3194
360	6359
360	1616
360	7334
360	482
360	5745
360	3549
360	7560
360	4310
360	133
360	1015
360	2865
360	2652
360	1828
360	6032
360	3785
360	1907
360	4144
360	456
360	7416
360	5482
360	5858
360	494
4071	1529
7330	2330
2997	6418
2997	595
2997	2980
2997	4042
2997	4293
1260	7560
5772	3939
5772	2501
5772	4703
5772	6542
5772	5928
5772	3519
2659	6180
2659	2270
2659	6162
4691	3809
3248	1548
3248	7207
6480	7082
5645	4883
5645	4883
5645	3314
5645	6774
5897	1967
5897	4084
5897	1967
982	5039
982	4121
982	3641
3886	7284
3886	3261
3886	3273
3081	2957
3081	3959
7084	3971
7084	504
7084	408
7084	7103
7084	1727
7084	3809
4107	2186
4107	6849
4107	5216
4107	7501
5724	3809
5724	5555
5724	227
5724	5555
5724	4213
6213	3809
6213	3971
6213	3809
5518	4088
5518	2693
5518	5015
5518	7488
5518	2632
5518	3908
5518	3332
5518	850
5518	3934
5518	370
5518	3964
5518	1781
5518	7098
5518	1398
5518	7426
5518	1322
6537	149
6537	1318
6537	5519
6537	5030
6537	466
6537	1502
6537	6343
6537	1488
6537	5060
2318	1563
4521	6769
4521	6416
4521	4431
4521	6476
4521	2013
4521	4257
4521	1363
3247	3809
6578	3530
6578	4961
6578	3241
6578	6542
6578	2058
6578	1654
6578	3330
6578	2817
4655	4813
7254	1043
2030	5127
2030	7479
2030	1387
2030	5636
2618	3906
2618	6386
2618	2269
2618	2957
2618	6080
2618	4620
2618	7557
2618	4733
1363	2896
1363	6048
1363	1164
1363	467
1363	432
1363	6693
1363	3681
1363	4571
1363	4257
1363	7283
1363	6416
1363	236
1363	1164
1363	331
1363	4257
1363	7309
1363	814
1363	2171
1363	3905
1363	1874
4767	7405
4767	7556
4767	6551
4767	1867
7042	1887
7042	4997
7042	5470
7042	4720
7042	437
7042	2442
7042	3454
4287	5396
4287	6360
4287	5271
4287	2226
7094	2724
7094	6635
5312	6979
5312	4723
5312	2173
5312	4781
5312	997
5312	6218
5312	4852
5312	3800
4535	4251
4535	4773
365	6166
365	428
365	4227
365	4266
365	398
6410	7045
6410	7033
6410	245
6410	5929
6486	1654
4105	3810
4105	2212
4105	6186
4105	4557
4105	943
354	3971
354	3711
354	591
354	182
354	7423
6873	2123
6873	6219
6873	6603
6873	5178
6873	3386
6873	850
6873	4036
6873	4296
6873	4079
4938	112
4938	3955
4938	1712
4938	614
4938	3427
4938	6514
4938	3427
4938	2241
4938	3181
4938	2241
4938	3847
2084	3005
2084	3034
2084	150
2084	32
2084	1541
2084	4327
2084	258
2084	2088
2084	595
523	6015
523	4682
523	2970
523	7096
523	7581
523	1046
523	7283
523	3682
523	1046
523	685
523	6799
523	6714
523	5439
523	4682
523	2629
523	2970
523	3713
523	3682
523	6625
523	2970
523	4078
523	4294
523	6799
523	5139
5803	6812
5803	5684
5803	7315
5803	6239
5803	6175
3607	3809
3607	6377
3607	3466
3607	4398
3607	6761
3607	5320
3607	3530
7024	3809
7024	1613
7024	1613
708	887
708	1261
708	7223
708	5679
708	2661
708	1261
708	1769
708	7249
708	5894
708	7002
708	887
708	4651
708	3095
708	1261
708	5349
708	1909
708	681
708	4177
708	3089
75	5132
3406	4587
3406	3304
3406	142
6403	3809
7364	7161
7364	4750
7364	4643
7364	3291
7364	5047
7364	6341
7364	2116
7364	4501
7364	5127
7364	2123
7364	3146
6644	3671
6644	1165
6644	662
6644	4053
6644	579
6644	5748
6644	6738
6644	3697
7036	3809
7036	3809
7067	3964
7067	3964
7067	6919
7067	7190
5242	5211
5242	764
157	6812
157	693
3711	5178
3711	6693
3711	3959
3711	4159
3711	6464
3711	3876
3711	7518
3711	4279
3711	6577
3711	4265
3711	181
3711	3809
5777	1389
5777	6700
5777	2671
5777	2610
5777	6398
5777	3777
5777	5019
5777	5685
5777	1654
5777	1157
5777	2736
5777	1671
5777	759
4191	2863
4191	4633
4191	6815
4191	1639
4191	3819
4191	4053
4191	6890
4191	5981
4191	3390
4931	6232
4931	6232
3354	4859
3675	3809
3675	1424
2866	708
2866	3314
2866	3696
2866	4237
2866	5123
2866	6794
2866	3314
2866	3696
940	3809
6787	997
6787	2330
6787	7082
6787	483
6787	1648
6787	56
5231	3809
5231	5382
5231	1793
5231	6475
5231	66
5231	914
4409	6868
4409	432
4409	3153
4409	7035
4409	5065
4409	7035
4409	2369
2325	2885
2325	2368
4373	5165
4373	5165
4373	323
