node_id	feature(feature_amount:931)	label
4873	521,92,111,77,770	3
1216	92,132,143,469,821	3
1063	92	1
3118	92,129,138,521,588	3
2321	92,144,521,531,611	3
2200	92,138,521,570	2
4469	61	1
2322	138,92,144,521,30,165	2
3823	138,92,132,918,615,410,853,18	2
6140	77,92,138,142,252,521,741,821	4
7542	201,294,337,364,369,387,448	4
2588	92,106,132,138,205,206,593,878,844,848,878,918	4
3599	9,331	3
5943	92,55,127,254,481,901	3
4155	521,476	1
1039	92,138,473	1
1507	92,127	0
1029	521,263,268,277	0
5291	61,92,138,144,521,649	3
7001	92,99,103,118,138,521,677,149	4
3897	472,334	3
1913	92,309,558,817	3
1535	61	3
3555	49,441,442,446,445,194,499,521	4
533	58,71,73,77,85,90,92,49,132,138,141,144,155,499,521,539,591,924	4
4801	92	0
753	92,132,138,351,352,353,521	3
2501	132,92,127,193,240,629,901,582,337	4
4100	263,409,138	1
1769	521,132,92,138,570,776,770	2
5347	92,55,138,129,347,457,456,521,535,736,865	4
2188	21,92,93,138,144,521,524,674,700	4
6598	173,177,171,170,181,180,521	2
167	61	0
67	92,132,138,521,681,798,800,928	1
720	92,138,252,521,719	3
1316	369,387,521,671	1
2900	92,132,138,521,588,701	1
7356	21,92,138,144,521,562,705,737	2
2858	92,138,144,506,648	3
4565	92,132,138	1
5982	521,387,369,672	0
7302	92,147,138,252	0
6079	92	0
2856	92,138,469,521,665	3
6975	521,92,138	3
6091	263,268,521,765	1
1117	18,92,138,290,635	4
4773	97,92,102,27,785,593,521,789,491	4
2717	14,369,385,387,521,750	3
1786	138,92,77,677,21,785,521	2
4852	92,138,77,30,705,28	2
5158	263,268,521,434	3
2881	92,252,326	3
3030	92,132,194,210,420,505,558,806	4
5223	521,92,138,615,187	1
7402	77,92,127,55,481,570,681	4
3913	92,101,138,769,521,530,569	3
2277	521	2
5208	77,92,252,351,781	3
4847	521,268,263,92,138	0
4684	400,402,521,399,849	3
4780	60,77,123,138,521,677	2
4356	92,125,466,817,141,499,521,759,816,865	3
907	92,456,521,704	2
1454	92,334,691	3
1800	80,95,138	1
4840	504,61,92,132,138,901	2
1399	92,208,209,453,491,521,605	4
1549	92,242	1
4209	92,127,473,646,901	1
7372	92,127,132,263,266,267,901,194,254	4
1938	421,535,77,92,138,252,521,540	4
6446	521,364,293	4
6626	521,369,385,387	2
3845	77,46,92,91,131,60,132,138,142,481,420,415,447,554,521,562,615,644,900,41	4
5959	138,327,905,92	0
2394	92,149,491	2
4526	228,367,369,387,521,499	4
2757	92,138,357,369,378,387,521,558,672,812	3
7598	931	1
5318	92,127	0
4399	188,521,488	1
5243	92,704,138,521	0
403	225,229,235	2
1052	92,138,127,205,250,326,481,531,901,918	4
7209	39,369,385,387,390	4
4975	92,132,138,517,521,570,776	2
2671	369,387,521	3
1227	92,263,452,715,558,254	0
1254	420,138,92,52,121,504,895,250,334	4
1288	472,521	0
3348	521,268,270,263,143,254,761	2
7317	832,49,677,484,499,92,138,142,252,895	4
2423	92,138,521,778	1
2893	92,55,132,356,491,836,521,570,615,927	4
4764	172,173,177,685,753,784	2
3773	92,129,132,138,208,209,460,637,687,334	3
3541	447,92,521	1
7537	92,138	2
1488	258,263,268	2
3653	92,49,138,296,499,531	4
5919	521,369,387,385,381,811	2
342	387,361	0
165	92,138,562,344,343,677	2
2261	60,77,84,92,101,102,116,138,490,521,785,570,565,615,491	4
6103	263,268,267,873,318	3
341	60,77,78,91,92,116,138,733	4
4123	92,132,138,121,481,615,787,326,41	4
1427	79,92,138,830,218,521	3
1239	132,92,127,138,633,241,674,320	4
1683	10,92,49,208,209,327,356,499,570,615,747	4
2280	294,361,521	2
7546	30,92,820,49,111,132,138,499,517,521,704	3
3883	258,263,268,521	1
6310	92,138,163,252,508,521,558,677,885	3
6904	78,550,60,77,91,138,456,521,252,535,306,713	4
6758	92,147,138,481,704	3
6614	138,92,433,521,513	4
163	77,92,499,521,570	0
519	521,387,369,385	2
6632	339,92,138,770	2
3470	21,46,92,491,138,467,521,785	3
2545	260,257,263,268,436,438,521,41	3
1188	263,268,521,765	3
6663	92,129,138,481,521	1
2448	521,61,144,684	3
155	481,80,922,91,132,139,240,334,738,901,55	4
2297	387,37	2
3020	361,385,369,387,337	3
2976	521,92,49,138,499,558,621,816,817,815	4
242	931	3
726	342,92,132,12	3
3010	92,456,677,847,901	2
3640	92,132,460,6,288,499,558	4
6055	521,399,400,849	3
5059	92,138,246,822,861,205,334,559,844,886,918	4
5030	132,92	0
2328	138,92,506,667,778,780	3
2159	173,177,521	2
5249	92,127,865	1
912	92,121,138,240,499,331,460,776,844	4
509	80,94,106,140,320,342	4
1395	710,820,583	1
340	521,92,132,55,138,142,155,720,149	3
1541	92,138,328	2
2411	138,677	0
1857	521,92,138,132,139,591,503,865	3
3505	92,55,481,150,521,897,839,905	4
1838	381,385,387,515,711,801,433,512	3
2728	441,444,521	1
6645	225	2
4057	369,385,387,521	0
3275	265,369,372,387,390,672,814,332,245	2
5986	521,92,138,662	2
4320	77,92,111,132,129,138,521,530,683	1
7566	80,92,55,133,138,252,456,521,535,589,780	4
6020	387	2
5260	21,22,80,92,133,46,439,521,602	3
5146	92,129,138,187,420,491,521	1
1860	92,666,546	0
1544	92,138,911,913	1
5335	671,387,812	1
4514	92,138,217,298,521,675	4
6511	521,586,814,873,911,909,912,913	4
3847	428,429,427,521,430	3
4055	263,268,765,517,10	1
7583	92,491,521,704	1
7041	92,138,290,348,562,612,628,644,871,873	3
3938	92,138,521,539,740	3
6252	129,521,132,138	2
6572	92,132,138,208,334,562,704	4
763	521,203,278,356,369,370,385,387,558,581,522,632,741	4
1262	92,138,298,918,778	3
3985	432,94,758,864	2
3484	225,521	1
7473	521,92,132,138,834,830,897,905	4
383	92,55,80,188,205,521,562,705,491,490	4
1072	17,18,425,426,787	3
7003	228,314,369,387	3
3364	258,263,268,434,521	4
1718	61,521,677	3
3266	92,138,521,759,865	1
3252	33,369,387,385,811,390,711	3
1821	177,521	2
3069	521,92,129,138,743,905	3
2941	521,46,133,697	4
2293	521,12,138,92	3
4720	92,127	1
3204	385,387,381,834,811,37,232,522	3
7354	92,138,521,831,894,46	4
2993	92,521,759	2
3807	92,132,138,295,503,521	2
3790	263,521	0
5854	92,138,144,521,747,831	1
53	521,361	1
2693	259,268,270,521,928	1
1352	92,918,138,677,252	2
6327	92,138,521,633,865	0
4085	12,47,92,138,625,831	4
5963	92,138,144,593	2
7394	92,331,798,704,570	2
330	92,55,252,300,301,456,457,521,677,687	4
4380	361,371,380,468,521,672	3
908	931	0
711	138,92,132,677	4
4787	92	3
7461	61,252,499	2
7201	60,91,92,116,521,555,556,706	3
1579	92,127,433,331,902,513	3
7491	92,138,132,558,357,370,521	1
7443	85,92,570,737	1
3187	80,92,138,348,396,448,518,510,514,521,539,637,922,907,513	4
743	429,428,430,129,138,521	2
2398	334,92,127,409	1
5242	521,537	2
7130	58,92,138,141,521,865,925	4
5875	92,106,132,138,356,470,521,582,626,873	4
5936	92,138,521,768	0
3186	21,60,138,306,312,521,744,843	4
2668	369,387,390,521,522	3
5531	61,92,128,539,901	2
3645	521,61,90	1
3435	687,92,138,21,220,521	1
1417	521,144,122	0
9	369,387,390,521	1
213	92,108,133,138,521,650	0
2552	92,132,138,254,271,263,264,267,268,357,521,558	2
4391	129,138	1
4935	138,521,558,570,704,149	1
3478	521,92,138	0
2778	92,134,252,521	4
7572	39,165,294,362,369,381,385,387,390,643,811,814,834	3
2329	815,337	0
6727	263,268,521	3
1954	60,91,92,138,875,521,619,641	4
5909	92,138,521,704	1
4933	92,66,562	3
3331	188,212,294,369,385,387,390,512,522,810	3
1984	77,92	2
2953	403,402,399,400,521,682,729,401,404,784	4
1915	92,409,334,582,634	2
645	209,92,132,138,481,704,242,335	2
1419	80,92,138,676,880	4
7326	80,92,54,132,138,144,241,619,677,895	4
6269	385,369,387	2
2994	488	0
6036	92,138,204,356,252,456,521,780,895	4
2386	92,111,132,138,144,356,433,570,873,927,513	4
5511	38,369,387,521	3
87	92,138,129,928,521	0
5282	28,21,92,49,138,215,499,521,570,704	4
348	77,92,56,138,252,521,677,836,877	3
3194	521,657,425	2
7079	365,334,364,369,549,581	4
435	80,92,95,138,451,521,570,731	3
5610	21,138	4
1962	521,92	1
2505	21,92,138,521,252	2
270	483,482,499	0
2410	576,521	3
3471	369,384,521	2
6432	229,654	0
3449	92,132,334,460,666,889,665	2
3662	60,92,116,129,138,521,558,817,815,865,898	3
5353	138,675,521	0
3639	521,428,718	1
2790	92	0
5095	21,92,138,521,744,843	2
2996	80,48,92,133,138,144,290,539,635,637	4
413	173,263,521	2
3917	77,92,132,138,800,521,562,574,605,798,457,55	4
3687	92,138,193,724,342	4
95	521,222,387,369,385	3
3550	92	0
3710	521,156	0
654	92,521,562,578,794,633,865	3
842	92,111,149,132,138,142,539,637	4
3723	21,137,138,521,562,644,689	2
1170	92,49,138,252,499,521,677	3
4364	258,263,268	3
1368	92,138,415,481,521,690,886,921	4
1934	92,138,342,473	1
6872	521,35,37,225,375,814,486	4
1017	521,369,387,384,356	3
6664	80,122,138,625,49,500,499,334,901	3
5513	334,440,441	3
2555	521,177,182,596	3
2463	31,173,176,177,229,236,356,487,182,521,486	3
2418	63,92,138,439,650	3
