node1,node2	space	relation_type
2171,746	graph	2
2171,2167	graph	2
2171,933	graph	2
2171,1318	graph	1
2171,992	graph	2
2171,1894	graph	1
2171,1501	graph	2
2171,965	graph	2
2171,2172	graph	2
2171,338	graph	3
2171,1502	graph	2
2171,2000	graph	1
2171,1837	graph	3
2171,737	graph	2
2171,1952	graph	2
2171,797	graph	3
2171,96	graph	2
2171,1940	graph	2
2171,1306	graph	2
2171,849	graph	1
2171,764	graph	2
2171,299	graph	1
2171,1975	graph	2
2171,972	graph	0
2171,333	graph	2
2171,834	graph	1
2171,2032	graph	2
2171,1690	graph	1
2171,164	graph	2
2171,834	latent_space	1
2171,2000	latent_space	1
2171,849	latent_space	1
2171,1690	latent_space	1
2171,2167	latent_space	2
2171,1318	latent_space	1
2171,797	latent_space	3
2171,299	latent_space	1
2171,972	latent_space	0
2171,1894	latent_space	1
1447,1835	graph	1
1447,1482	graph	0
1447,1976	graph	0
1447,1315	graph	0
1447,2263	graph	1
1447,1939	graph	0
1447,546	graph	2
1447,1741	graph	0
1447,100	latent_space	1
1447,497	latent_space	2
1447,2034	latent_space	1
1447,1047	latent_space	1
1447,626	latent_space	3
1447,1284	latent_space	2
1447,1307	latent_space	3
1447,1052	latent_space	2
1447,842	latent_space	1
1447,1109	latent_space	2
1447,2270	latent_space	2
1447,1160	latent_space	1
1447,1216	latent_space	1
1447,1384	latent_space	3
1447,1608	latent_space	1
1447,2216	latent_space	1
1447,363	latent_space	3
1447,1796	latent_space	1
1447,1909	latent_space	1
1447,1038	latent_space	0
1447,1071	latent_space	0
1447,1067	latent_space	0
1447,1672	latent_space	1
1310,1747	graph	1
1310,1612	latent_space	3
1310,1554	latent_space	3
1310,1479	latent_space	3
1310,798	latent_space	0
1310,85	latent_space	0
601,154	graph	3
601,115	graph	1
601,817	latent_space	3
601,2029	latent_space	3
601,95	latent_space	3
601,1362	latent_space	0
601,2113	latent_space	3
601,1512	latent_space	3
601,1877	latent_space	3
601,751	latent_space	3
862,1729	graph	2
862,509	graph	2
862,13	graph	2
862,2249	graph	2
862,939	graph	3
862,1986	graph	2
862,1564	graph	2
862,1138	graph	0
862,1838	graph	3
862,1198	graph	2
862,2009	graph	3
862,528	graph	2
862,1781	graph	2
862,407	graph	2
862,2043	graph	2
862,104	graph	3
862,1558	graph	0
862,1454	graph	2
862,693	graph	2
862,467	graph	2
862,522	graph	2
862,2028	graph	2
862,434	graph	2
862,2217	latent_space	2
862,947	latent_space	1
862,1564	latent_space	2
862,1138	latent_space	0
862,360	latent_space	1
862,2009	latent_space	3
862,284	latent_space	2
862,679	latent_space	0
862,684	latent_space	1
862,1884	latent_space	1
862,197	latent_space	1
862,974	latent_space	2
862,223	latent_space	0
862,1702	latent_space	0
862,1740	latent_space	2
862,716	latent_space	2
862,1813	latent_space	0
862,2043	latent_space	2
862,2062	latent_space	1
862,490	latent_space	3
862,580	latent_space	1
862,1558	latent_space	0
862,1559	latent_space	2
862,1834	latent_space	3
862,526	latent_space	2
862,1315	latent_space	1
862,2163	latent_space	0
862,1298	latent_space	2
862,1113	latent_space	0
862,266	latent_space	2
862,800	latent_space	2
155,674	graph	2
155,1333	graph	3
155,1674	graph	2
155,2246	graph	2
155,1976	graph	2
155,1866	graph	0
155,1741	graph	2
155,186	graph	2
155,1147	graph	2
155,954	graph	2
155,1356	graph	2
155,536	graph	2
155,2234	graph	2
155,204	graph	3
155,339	graph	2
155,2110	graph	2
155,2203	graph	2
155,1860	graph	0
155,566	latent_space	3
155,1483	latent_space	0
155,1509	latent_space	2
155,166	latent_space	0
155,163	latent_space	3
155,2241	latent_space	0
155,2091	latent_space	2
155,43	latent_space	3
155,283	latent_space	3
155,681	latent_space	3
155,1048	latent_space	2
155,685	latent_space	1
155,139	latent_space	3
155,2266	latent_space	1
155,1404	latent_space	0
155,545	latent_space	0
155,1082	latent_space	3
155,1981	latent_space	2
155,64	latent_space	0
155,202	latent_space	0
155,216	latent_space	3
155,151	latent_space	3
155,812	latent_space	2
155,2189	latent_space	2
155,132	latent_space	2
155,1378	latent_space	2
155,2124	latent_space	2
155,1546	latent_space	3
155,613	latent_space	0
155,1873	latent_space	2
155,802	latent_space	0
155,1336	latent_space	1
155,1076	latent_space	2
155,257	latent_space	3
155,1481	latent_space	2
155,1969	latent_space	0
155,1893	latent_space	2
155,2005	latent_space	2
155,1217	latent_space	0
155,398	latent_space	3
155,1825	latent_space	2
155,502	latent_space	3
155,1994	latent_space	3
155,303	latent_space	0
155,34	latent_space	2
