node1,node2	space	relation_type
1346,134	graph	0
1346,2256	graph	0
1346,1833	graph	2
1346,1015	graph	0
1346,1236	graph	0
1346,1352	graph	0
1346,101	graph	2
1346,595	graph	2
1346,41	graph	0
1346,532	graph	0
1346,75	graph	0
1346,2157	graph	0
1346,1996	graph	0
1346,525	graph	0
1346,830	graph	2
1346,1883	graph	0
1346,2105	graph	2
1346,989	graph	0
1346,950	graph	2
1346,271	graph	0
1346,2128	graph	1
1346,1823	graph	0
1346,1580	graph	2
1346,1365	graph	2
1346,1850	graph	2
1346,294	graph	0
1346,1941	graph	2
1346,1026	graph	2
1346,1524	graph	2
1346,334	graph	0
1346,68	graph	0
1346,941	graph	2
1346,1976	graph	2
1346,2263	graph	0
1346,1050	graph	0
1346,345	graph	0
1346,1922	graph	0
1346,627	graph	2
1346,1890	graph	2
1346,1734	graph	0
1346,1468	graph	0
1346,732	graph	0
1346,1939	graph	0
1346,1003	graph	2
1346,1261	graph	0
1346,492	graph	0
1346,599	graph	1
1346,1956	graph	0
1346,1741	graph	2
1346,133	graph	0
1346,1811	graph	2
1346,793	graph	1
1346,843	graph	2
1346,840	graph	1
1346,644	graph	0
1346,654	graph	2
1346,342	graph	0
1346,772	graph	0
1346,1110	graph	0
1346,1465	graph	0
1346,680	graph	0
1346,688	graph	0
1346,823	graph	2
1346,1881	graph	0
1346,400	graph	1
1346,1550	graph	0
1346,743	graph	1
1346,714	graph	1
1346,844	graph	2
1346,2102	graph	1
1346,1420	graph	1
1346,1798	graph	0
1346,789	graph	1
1346,583	graph	1
1346,1088	graph	0
1346,667	graph	0
1346,1972	graph	1
1346,79	graph	2
1346,501	graph	1
1456,1921	graph	1
1456,167	graph	1
1456,1536	graph	1
1456,2175	graph	2
1456,2118	graph	2
1456,1034	graph	2
1456,2164	graph	1
1083,1168	graph	2
1083,2246	graph	3
1083,935	graph	3
1083,1939	graph	1
1312,2260	graph	0
1312,2237	graph	2
1312,1786	graph	2
1312,1799	graph	2
1312,1976	graph	2
1312,2263	graph	0
1312,603	graph	2
1312,2249	graph	0
1312,1997	graph	1
1312,2196	graph	0
1312,1907	graph	2
1312,2107	graph	0
1312,365	graph	0
1312,1418	graph	0
1312,560	graph	2
1312,831	graph	2
1312,1511	graph	2
1312,2074	graph	2
1312,705	graph	2
1312,698	graph	0
1312,642	graph	2
1312,1055	graph	2
1312,380	graph	0
1312,1939	graph	0
1312,376	graph	2
1312,2036	graph	2
1312,159	graph	0
1312,55	graph	0
1312,185	graph	2
1312,1215	graph	0
1312,1741	graph	2
1312,707	graph	2
1312,1190	graph	2
19,1976	graph	2
1056,652	graph	3
1056,1939	graph	1
2083,1949	graph	0
2083,2249	graph	0
2083,2158	graph	2
2083,776	graph	0
2083,531	graph	0
2083,1714	graph	0
2083,1066	graph	0
2083,2058	graph	0
2083,2174	graph	0
2083,2209	graph	0
2083,1912	graph	2
2083,355	graph	1
2083,2153	graph	0
2083,979	graph	0
2083,2191	graph	1
2083,890	graph	2
2083,2001	graph	2
2083,936	graph	0
2083,2179	graph	0
2083,2020	graph	2
2083,2030	graph	2
2083,1923	graph	0
2083,220	graph	0
2083,2168	graph	1
2083,1187	graph	0
2083,1476	graph	1
2083,1814	graph	0
2083,52	graph	0
2083,2254	graph	0
1805,141	graph	1
1805,531	graph	1
1805,2186	graph	1
1805,2158	graph	3
1805,1640	graph	3
1805,2030	graph	3
1805,174	graph	3
1805,2174	graph	1
1805,220	graph	1
1805,1912	graph	3
286,1329	graph	2
286,1942	graph	0
286,1600	graph	0
286,1939	graph	0
1043,1799	graph	3
1043,2008	graph	1
1043,1406	graph	1
