node1,node2	space	relation_type
986,2208	graph	1
986,1462	graph	1
986,33	graph	1
986,2246	graph	1
986,1989	graph	1
986,2195	graph	1
986,2263	graph	1
986,1976	graph	0
986,1356	graph	1
986,269	latent_space	2
986,1496	latent_space	0
986,912	latent_space	1
986,1857	latent_space	2
986,564	latent_space	2
986,151	latent_space	2
986,382	latent_space	3
986,1139	latent_space	2
986,176	latent_space	1
986,998	latent_space	1
1904,1976	graph	0
1904,486	latent_space	2
1904,2052	latent_space	0
1904,1826	latent_space	3
1904,1696	latent_space	3
1904,1659	latent_space	0
1904,659	latent_space	3
1904,445	latent_space	0
1904,874	latent_space	3
1904,542	latent_space	3
1904,256	latent_space	3
1904,790	latent_space	2
1904,1735	latent_space	0
1904,1051	latent_space	0
1904,1069	latent_space	3
1904,1562	latent_space	3
1904,1519	latent_space	3
1904,1413	latent_space	0
1904,473	latent_space	3
1904,61	latent_space	3
1904,19	latent_space	3
1904,1323	latent_space	0
1904,245	latent_space	0
1904,409	latent_space	3
1904,1506	latent_space	0
1904,2108	latent_space	3
1904,192	latent_space	1
1904,864	latent_space	1
1904,1810	latent_space	3
1904,570	latent_space	0
1904,2155	latent_space	3
1904,611	latent_space	1
1501,1940	graph	1
1501,2171	graph	2
1501,764	graph	2
1501,746	graph	2
1501,164	graph	2
1501,1306	graph	3
1501,965	graph	3
1501,1975	graph	2
1501,992	graph	1
1501,2172	graph	2
1501,1837	graph	3
1501,797	graph	2
1501,615	latent_space	1
1501,299	latent_space	1
1501,1038	latent_space	2
1501,1819	latent_space	2
1501,575	latent_space	1
1501,2032	latent_space	1
1501,2216	latent_space	2
1501,1009	latent_space	2
1501,1793	latent_space	3
1501,2048	latent_space	2
1501,295	latent_space	1
1501,17	latent_space	1
1501,1781	latent_space	3
1501,849	latent_space	1
1501,435	latent_space	3
1501,1505	latent_space	3
1501,1894	latent_space	1
1501,1952	latent_space	1
1501,1796	latent_space	2
1501,165	latent_space	2
1501,158	latent_space	0
1501,1140	latent_space	3
1501,100	latent_space	2
1501,1122	latent_space	1
1501,96	latent_space	1
1501,1160	latent_space	2
1501,1672	latent_space	2
1501,1047	latent_space	2
1501,362	latent_space	1
1501,1820	latent_space	2
1501,1608	latent_space	2
1501,528	latent_space	3
1501,777	latent_space	1
1501,837	latent_space	3
1501,737	latent_space	1
1501,972	latent_space	1
1501,1126	latent_space	0
1501,1502	latent_space	1
1501,333	latent_space	1
1501,434	latent_space	3
1501,834	latent_space	1
1501,1318	latent_space	1
1501,1216	latent_space	2
1501,1690	latent_space	1
1501,1067	latent_space	2
1501,1729	latent_space	3
1501,2034	latent_space	2
1501,30	latent_space	3
1358,1274	graph	1
1358,1937	graph	1
1358,1741	graph	0
1358,1939	graph	0
1358,2263	graph	1
1358,1976	graph	0
1358,233	latent_space	2
1358,876	latent_space	2
1358,1296	latent_space	0
1358,892	latent_space	1
1358,250	latent_space	0
1358,439	latent_space	1
1358,497	latent_space	2
1358,880	latent_space	3
1358,1795	latent_space	2
1358,325	latent_space	2
1358,1320	latent_space	1
1358,1518	latent_space	2
1358,807	latent_space	0
1358,1154	latent_space	2
1358,967	latent_space	3
1358,1771	latent_space	3
1358,626	latent_space	2
1358,444	latent_space	2
1358,1808	latent_space	2
1358,1252	latent_space	3
1358,771	latent_space	0
1358,1186	latent_space	2
1358,1248	latent_space	0
1358,853	latent_space	2
1358,612	latent_space	3
1358,1631	latent_space	2
1358,1284	latent_space	2
1358,1021	latent_space	1
1358,2115	latent_space	3
1358,1032	latent_space	2
1358,1077	latent_space	3
1358,1520	latent_space	1
1358,2037	latent_space	2
1358,2184	latent_space	2
1358,1063	latent_space	1
1358,1529	latent_space	0
1358,1450	latent_space	2
1358,2166	latent_space	3
1358,414	latent_space	2
1358,574	latent_space	0
1358,1792	latent_space	0
1358,2232	latent_space	3
1358,319	latent_space	0
1358,1678	latent_space	3
1358,449	latent_space	2
1358,1105	latent_space	2
1358,1909	latent_space	1
1358,757	latent_space	2
1358,364	latent_space	2
1358,1130	latent_space	3
1358,1684	latent_space	1
1358,519	latent_space	2
1358,1218	latent_space	3
1358,21	latent_space	2
1358,1052	latent_space	1
1358,262	latent_space	1
1358,999	latent_space	3
1358,485	latent_space	2
1358,225	latent_space	2
1358,377	latent_space	0
1358,677	latent_space	0
1358,416	latent_space	2
1358,1109	latent_space	1
1167,220	graph	3
1167,2004	graph	3
1167,2228	graph	3
1167,1733	graph	3
1167,1534	graph	3
1167,141	graph	3
1167,465	graph	3
1167,1039	graph	3
1167,1739	graph	3
1167,2030	graph	3
1167,1520	graph	3
1167,1936	graph	3
1167,1714	graph	3
1167,2081	graph	3
1167,1968	graph	3
1167,2122	graph	3
1167,2020	graph	3
1167,276	graph	3
1167,310	graph	3
1167,1066	graph	3
1167,1931	graph	3
1167,915	graph	3
1167,1187	graph	0
1167,881	graph	3
1167,393	graph	3
1167,52	graph	0
1167,1727	graph	3
1167,581	graph	3
1167,60	graph	3
1167,1817	graph	3
1167,1371	graph	3
1167,637	graph	3
1167,1184	graph	3
1167,936	graph	3
1167,921	graph	3
1167,479	graph	3
1167,1640	graph	3
1167,531	graph	3
1167,1152	graph	3
1167,2186	graph	3
1167,1912	graph	3
1167,1033	graph	3
1167,2179	graph	2
1167,2177	graph	3
1167,324	graph	3
1167,1567	graph	3
1167,351	graph	3
1167,2006	graph	3
1167,1291	graph	3
1167,505	graph	3
1167,660	graph	3
1167,1666	graph	3
1167,979	graph	3
1167,2058	graph	0
1167,960	graph	3
1167,1984	graph	3
1167,2158	graph	3
1167,1633	graph	3
1167,2254	graph	3
1167,1774	graph	3
1167,1466	graph	3
1167,1613	graph	3
1167,886	graph	3
1167,1170	graph	3
1167,1923	graph	3
1167,880	graph	3
1167,1777	graph	3
1167,2220	graph	3
1167,905	graph	3
1167,890	graph	3
1167,1949	graph	3
1167,1875	graph	3
1167,1639	graph	3
1167,949	graph	3
1167,1683	graph	3
1167,904	graph	3
1167,922	graph	3
1167,1845	graph	3
1167,183	latent_space	0
1167,258	latent_space	3
1297,1626	graph	3
1297,867	graph	2
1297,682	graph	0
1297,74	graph	0
1297,1748	graph	0
1297,1964	graph	0
1297,1460	graph	0
1297,2123	graph	0
1297,5	latent_space	3
1297,1238	latent_space	3
1297,2055	latent_space	1
1297,820	latent_space	2
1297,616	latent_space	3
1297,1222	latent_space	3
1297,50	latent_space	1
1297,1423	latent_space	0
1297,1558	latent_space	3
1297,514	latent_space	2
1297,2084	latent_space	0
2053,1278	graph	3
2053,808	graph	3
2053,2225	graph	3
2053,993	graph	3
2053,1103	graph	2
2053,504	graph	2
2053,2134	graph	3
2053,2175	graph	3
2053,241	graph	3
2053,1495	graph	0
2053,419	graph	3
2053,2199	graph	0
2053,578	graph	3
2053,1013	graph	0
2053,1232	graph	3
2053,374	graph	3
2053,1102	graph	3
2053,1895	graph	3
2053,708	graph	3
2053,1492	graph	3
2053,897	graph	0
2053,1557	graph	3
2053,1322	graph	3
2053,747	graph	3
2053,1295	graph	3
2053,232	graph	3
2053,1898	graph	3
2053,2204	graph	0
2053,1127	graph	0
2053,1762	graph	0
2053,1988	graph	0
2053,1344	graph	3
2053,1750	graph	3
2053,2070	graph	3
2053,1263	graph	3
2053,1709	graph	3
2053,1104	graph	3
2053,1982	graph	3
2053,1285	graph	0
2053,2223	graph	0
2053,970	graph	0
2053,296	graph	3
2053,2185	graph	3
2053,1530	graph	3
2053,240	graph	3
2053,655	graph	3
2053,423	graph	3
2053,1538	graph	3
2053,988	graph	3
2053,402	graph	2
2053,361	graph	3
2053,70	graph	3
2053,1398	graph	0
2053,549	graph	3
2053,699	graph	0
2053,2165	graph	3
2053,956	graph	3
2053,694	graph	3
2053,2012	graph	3
2053,2221	graph	3
2053,1220	graph	0
2053,53	graph	3
2053,1321	graph	0
2053,377	graph	3
2053,388	graph	3
2053,829	graph	2
2053,1409	graph	0
2053,354	graph	0
2053,771	graph	3
2053,2111	graph	3
2053,1251	graph	3
2053,10	graph	3
2053,370	graph	0
2053,661	graph	0
2053,551	graph	3
2053,254	graph	3
2053,2192	graph	2
2053,1224	graph	0
2053,1303	graph	3
