node1,node2	space	relation_type
1594,202	graph	2
2705,2966	graph	2
2705,404	graph	2
2705,438	graph	0
2705,2706	graph	1
2705,208	graph	2
2705,2703	graph	2
2705,1718	graph	2
2705,1896	graph	2
2705,438	latent_space	0
2705,1534	latent_space	3
2705,1145	latent_space	3
2705,404	latent_space	3
2028,2721	graph	2
2028,429	graph	2
2028,707	graph	0
2382,2381	graph	2
2382,1144	graph	2
1007,1208	graph	3
1007,9	graph	0
1007,2406	latent_space	1
1007,1067	latent_space	0
3124,245	graph	1
2676,307	graph	0
2676,2224	graph	2
908,2708	graph	3
908,814	graph	2
908,1569	graph	3
908,2414	latent_space	3
908,318	latent_space	3
1025,2490	graph	3
1025,931	graph	3
3297,1664	graph	1
2546,152	graph	1
1687,254	graph	2
1687,78	graph	2
1687,969	graph	3
1687,3220	graph	3
1687,1992	graph	3
2148,1011	graph	3
1034,1230	graph	2
1034,2782	graph	1
1034,453	graph	2
1034,492	graph	2
1034,1644	graph	2
1034,2925	graph	2
1034,1607	graph	1
1034,1617	graph	2
1034,51	graph	1
1034,2475	graph	2
1034,220	graph	2
1034,1214	graph	2
1034,887	graph	0
1034,1422	graph	3
1034,137	graph	2
1034,1012	graph	2
1034,2444	latent_space	2
1034,1480	latent_space	1
1034,965	latent_space	3
1441,2669	graph	2
1441,1762	graph	2
1441,2603	graph	2
1441,613	latent_space	1
1361,288	graph	0
1361,288	latent_space	2
1187,667	graph	2
1187,1179	latent_space	1
1187,3101	latent_space	1
1187,1707	latent_space	0
1187,1243	latent_space	2
271,1266	graph	2
1786,570	graph	3
825,250	graph	3
825,641	graph	0
825,2855	graph	0
825,1080	graph	1
825,101	graph	2
825,1574	graph	0
825,1080	latent_space	1
1302,1271	graph	1
1302,1461	graph	3
1302,1022	graph	3
1302,2601	graph	1
1302,1271	latent_space	3
1302,1022	latent_space	0
1302,956	latent_space	0
1302,2601	latent_space	3
1501,6	graph	3
2890,2889	graph	2
3109,3108	graph	3
3109,1191	latent_space	1
3109,3110	latent_space	2
1799,1811	graph	0
1799,34	latent_space	0
1799,2102	latent_space	0
1799,3198	latent_space	0
1923,2183	graph	2
1923,1640	graph	2
2786,453	graph	3
2786,2782	graph	2
2786,2667	graph	3
2786,1214	graph	1
2786,931	latent_space	1
241,2861	graph	2
241,936	graph	3
241,603	graph	2
241,2174	graph	1
241,1414	graph	3
241,1904	latent_space	2
2154,2993	graph	2
2154,3215	graph	2
2154,429	graph	2
2770,813	graph	2
2770,1585	graph	2
2770,1874	latent_space	1
2770,1296	latent_space	1
2754,1159	graph	1
402,603	graph	2
402,1414	graph	1
402,2861	graph	2
6,1501	graph	3
250,2083	graph	3
250,825	graph	3
250,2855	latent_space	1
250,1340	latent_space	1
250,101	latent_space	1
620,611	graph	2
620,2439	graph	2
620,709	graph	3
620,2413	graph	0
620,2605	graph	2
620,2321	graph	1
620,2174	graph	2
620,512	graph	2
620,575	graph	2
620,1802	latent_space	2
620,2439	latent_space	0
620,1576	latent_space	1
620,1987	latent_space	1
620,2413	latent_space	0
620,2017	latent_space	1
620,1359	latent_space	1
2370,2369	graph	2
2370,69	graph	2
2517,329	graph	2
2517,2751	graph	2
2517,2516	graph	2
1810,1436	graph	2
1810,3037	graph	2
1810,901	graph	2
1810,901	latent_space	3
1919,2259	graph	2
112,1249	graph	2
1763,1535	graph	2
2025,494	graph	2
2025,304	graph	2
2025,2977	graph	2
2025,2441	latent_space	1
2025,412	latent_space	1
2025,729	latent_space	1
3326,33	graph	2
2397,2396	graph	1
2397,1342	latent_space	2
82,2271	graph	2
603,241	graph	2
603,3128	graph	0
603,402	graph	0
603,1471	graph	2
603,2799	graph	2
2360,2361	graph	1
2360,2362	graph	0
2360,1875	graph	2
2360,1580	graph	3
2360,847	graph	3
2360,1517	latent_space	3
2828,2181	graph	2
2828,454	graph	2
2828,2291	graph	3
2828,2651	graph	3
2828,1190	graph	1
2828,835	graph	2
2828,51	graph	3
2828,2842	graph	3
2828,3000	graph	3
2828,1422	graph	2
2828,2585	graph	1
2828,2827	latent_space	3
2828,2822	latent_space	1
2828,2784	latent_space	0
2828,303	latent_space	0
2769,886	graph	2
2769,1796	latent_space	3
2769,499	latent_space	3
2769,2768	latent_space	3
1103,2911	graph	2
1103,1116	graph	0
1103,771	graph	2
1103,610	latent_space	2
1103,516	latent_space	0
1103,319	latent_space	1
2789,552	graph	3
2789,339	graph	3
2789,2149	graph	3
83,3046	graph	2
83,1842	graph	1
83,3018	graph	2
83,1383	graph	3
83,3299	graph	1
83,3017	graph	2
83,540	graph	3
83,1077	graph	2
83,1225	graph	0
83,2673	graph	2
83,923	graph	2
83,584	graph	0
83,1932	graph	2
83,3318	graph	0
83,649	graph	3
83,654	graph	0
1802,1044	graph	2
1802,2174	graph	2
1802,189	graph	2
1802,2323	graph	2
1802,620	latent_space	1
1802,2439	latent_space	1
1802,1576	latent_space	1
1802,2413	latent_space	1
1802,1987	latent_space	1
1802,2017	latent_space	1
2445,2957	graph	2
2445,673	graph	2
2445,2955	graph	2
2445,381	latent_space	1
2445,2956	latent_space	0
2445,1185	latent_space	0
2445,1457	latent_space	1
2445,2957	latent_space	0
278,2015	graph	3
278,2469	graph	1
278,2469	latent_space	3
278,2470	latent_space	1
3096,589	graph	1
328,71	graph	2
328,660	graph	3
328,71	latent_space	1
2903,2899	graph	2
2903,2275	latent_space	1
2903,2901	latent_space	2
2903,2902	latent_space	2
2903,927	latent_space	3
2903,1946	latent_space	2
285,1418	graph	2
285,1967	graph	2
1334,156	graph	2
1334,722	graph	2
1916,390	graph	1
1916,2351	graph	2
2895,2159	graph	2
2895,1544	graph	2
2895,1320	latent_space	1
1533,2927	graph	2
1533,113	graph	3
1448,2738	graph	2
1448,1971	graph	2
1448,2353	graph	2
1448,177	latent_space	3
1051,1035	graph	2
1051,1206	latent_space	0
3138,466	graph	0
3138,1412	graph	2
3138,2174	graph	2
3138,2586	graph	3
2509,1864	graph	1
2509,2511	graph	2
2509,2875	graph	2
2509,2174	graph	2
2509,2510	graph	2
3014,1112	graph	2
3014,1617	graph	2
3014,965	graph	2
3014,2820	latent_space	3
3014,2021	latent_space	0
3014,2475	latent_space	1
3014,2839	latent_space	1
2690,2691	graph	3
2690,2242	latent_space	0
2690,1606	latent_space	2
1676,713	graph	3
1676,2554	graph	0
1676,2604	graph	2
1676,2588	graph	3
1676,471	graph	2
1676,2604	latent_space	1
1531,484	graph	2
1531,228	graph	2
1531,1410	graph	2
1531,1210	graph	3
1531,579	graph	2
1531,300	graph	2
1531,1324	latent_space	3
1531,2814	latent_space	2
1531,579	latent_space	2
1531,300	latent_space	3
1531,2815	latent_space	3
2007,3269	graph	2
2007,3270	graph	2
2290,617	graph	2
2290,619	graph	2
543,2561	graph	3
543,2423	latent_space	1
543,2161	latent_space	2
2550,1927	graph	1
2550,2551	graph	0
2550,188	latent_space	1
1528,225	graph	0
1296,280	graph	3
1296,406	graph	2
1296,733	graph	0
1296,1585	graph	3
1296,772	graph	2
1296,1874	latent_space	2
1296,2770	latent_space	2
914,1794	graph	3
914,2136	graph	3
2557,70	graph	1
2557,991	graph	2
2557,3215	latent_space	2
1300,75	graph	2
1300,34	latent_space	3
1300,1697	latent_space	3
1300,2102	latent_space	3
989,383	graph	3
989,1033	graph	2
989,178	latent_space	1
989,383	latent_space	2
989,8	latent_space	1
989,1234	latent_space	1
1435,2898	graph	2
1435,567	graph	2
1435,2729	graph	2
1435,2730	graph	2
1435,1854	graph	2
1435,222	latent_space	0
3285,2	graph	2
875,231	graph	2
875,1918	graph	3
875,2797	graph	2
875,1131	graph	3
875,1257	graph	2
875,1625	graph	2
875,2638	latent_space	1
875,661	latent_space	0
1893,639	graph	3
961,1405	graph	2
1975,1614	graph	2
1806,2865	graph	2
1806,2804	graph	1
3009,70	graph	2
3009,2973	graph	1
3009,2120	graph	2
3009,32	graph	2
3009,550	graph	2
3009,2631	graph	2
3009,203	graph	2
1789,812	graph	2
1789,3223	latent_space	0
1789,2963	latent_space	0
1789,2252	latent_space	2
1730,2795	graph	1
1730,2516	graph	2
1730,2795	latent_space	3
2287,534	graph	0
991,2557	graph	2
991,1474	graph	2
1184,2186	graph	2
1184,447	graph	2
1184,2603	latent_space	1
816,2377	graph	3
816,2426	graph	0
1357,150	graph	3
1357,839	graph	2
1357,12	graph	2
1357,794	graph	2
1357,1041	graph	2
1357,557	latent_space	3
1357,1760	latent_space	3
1357,794	latent_space	2
1357,1622	latent_space	3
1357,966	latent_space	0
1357,2474	latent_space	3
1848,2401	graph	3
1848,2959	latent_space	0
1848,2924	latent_space	3
1078,2848	graph	0
1078,98	graph	2
1078,1259	graph	2
1078,2510	graph	2
3078,1153	graph	0
3078,3079	latent_space	1
1747,2390	graph	2
1747,2121	graph	3
1747,2390	latent_space	1
987,2006	graph	3
104,1964	graph	2
104,1768	graph	2
104,156	latent_space	1
2143,1814	graph	2
327,1382	graph	2
2871,1104	graph	2
1550,2036	graph	2
1122,2991	graph	2
1122,2396	graph	2
2398,2829	graph	2
2398,2107	graph	3
2398,2396	graph	3
2398,2925	graph	0
2398,307	graph	1
2398,1343	graph	3
2398,2002	graph	3
2398,237	graph	3
2398,1214	graph	1
2398,1422	graph	2
2398,1943	graph	2
2398,1251	graph	3
2398,1013	latent_space	2
