node1,node2	space	relation_type
2365,3163	graph	1
2365,74	graph	3
2365,955	latent_space	3
2365,471	latent_space	3
2365,3228	latent_space	3
2365,210	latent_space	3
2365,954	latent_space	3
2365,321	latent_space	3
2404,2638	graph	1
2404,715	graph	3
2404,1725	graph	2
2404,887	graph	1
2404,428	graph	3
2404,1644	graph	3
2404,1940	graph	1
2404,147	graph	3
2404,492	graph	3
2404,2919	graph	2
2404,661	graph	3
2404,623	latent_space	3
2404,471	latent_space	3
2404,646	latent_space	3
2404,622	latent_space	3
1949,970	graph	1
1949,959	graph	1
1949,3075	graph	3
1949,3208	graph	1
1949,955	latent_space	3
1949,471	latent_space	3
1949,3228	latent_space	3
1949,210	latent_space	3
1949,954	latent_space	3
1949,321	latent_space	3
1982,470	graph	0
1982,1318	latent_space	2
2747,726	graph	2
2747,2748	graph	3
2747,2087	latent_space	2
2634,222	graph	0
2634,1392	graph	0
2634,1856	latent_space	0
2634,1009	latent_space	0
38,2228	graph	2
38,2388	graph	0
3241,738	graph	2
3241,1586	graph	3
3241,1018	graph	3
3241,1032	graph	3
3241,1129	graph	3
3241,2514	graph	2
3241,1498	latent_space	3
270,207	graph	0
270,120	latent_space	2
3075,1949	graph	0
3075,959	graph	0
3075,2906	latent_space	0
3075,1856	latent_space	0
3075,1009	latent_space	0
1634,2866	graph	1
1634,2861	graph	0
1634,2208	graph	0
1634,1143	latent_space	1
1634,29	latent_space	1
1634,27	latent_space	1
1134,299	graph	2
1134,1686	latent_space	2
1134,120	latent_space	2
1134,1687	latent_space	2
1134,2618	latent_space	2
1134,2617	latent_space	2
1134,1688	latent_space	2
1361,288	graph	1
1361,344	latent_space	0
1361,2906	latent_space	0
1361,1856	latent_space	0
1361,1009	latent_space	0
915,2301	graph	1
915,417	graph	1
915,624	graph	1
915,1706	latent_space	1
3150,1880	graph	2
3150,2185	graph	0
3150,1609	latent_space	0
3150,1316	latent_space	0
1138,2767	graph	0
1138,1609	latent_space	0
1138,1316	latent_space	0
2555,2209	graph	2
2555,2604	graph	1
2555,2554	graph	3
2555,623	latent_space	3
2555,471	latent_space	3
2555,646	latent_space	3
2555,622	latent_space	3
129,1240	graph	3
129,1668	latent_space	2
129,2400	latent_space	2
129,2401	latent_space	2
1830,522	graph	3
1830,2401	latent_space	2
1830,2400	latent_space	2
1830,1498	latent_space	2
2493,1903	graph	1
731,2310	graph	2
2647,648	graph	2
2647,517	graph	2
2647,1316	latent_space	0
670,1565	graph	3
670,1836	graph	0
670,2771	graph	3
670,865	graph	1
670,1472	graph	3
670,974	graph	1
670,924	graph	0
670,2844	graph	1
670,573	graph	3
670,1311	graph	1
670,2578	graph	3
670,1706	latent_space	1
670,2827	latent_space	1
670,2826	latent_space	1
1467,1097	graph	1
3208,1949	graph	2
3208,646	latent_space	3
3208,471	latent_space	3
3208,622	latent_space	3
0,628	graph	3
0,955	latent_space	3
0,3228	latent_space	3
0,210	latent_space	3
0,954	latent_space	3
0,321	latent_space	3
2217,468	graph	3
2217,796	graph	1
2217,151	graph	1
2217,2089	graph	3
2217,273	graph	3
2217,396	graph	1
2217,2196	graph	3
2217,2633	graph	1
2217,2645	graph	1
2217,1417	graph	3
2217,2519	graph	1
2217,1758	graph	3
2217,1706	latent_space	1
2820,3324	graph	1
2820,1422	graph	1
2820,1112	graph	3
2820,2925	graph	1
2820,1143	latent_space	1
2820,27	latent_space	1
1787,2209	graph	2
1787,2088	latent_space	2
1787,2087	latent_space	2
1787,1842	latent_space	2
1787,1841	latent_space	2
503,1529	graph	0
346,1663	graph	3
346,623	latent_space	3
346,471	latent_space	3
346,646	latent_space	3
346,622	latent_space	3
653,84	graph	0
653,582	graph	0
653,3013	latent_space	1
653,1975	latent_space	0
1319,1770	graph	3
1319,1603	graph	3
1319,2237	graph	3
1319,217	graph	2
1319,2401	latent_space	2
1319,2400	latent_space	2
3085,326	graph	2
3085,1609	latent_space	0
2379,1584	graph	3
2379,2380	graph	3
2379,946	graph	3
2379,623	latent_space	3
2379,471	latent_space	3
2379,646	latent_space	3
2379,622	latent_space	3
2357,1887	graph	2
2357,2358	graph	1
2357,1867	graph	2
2315,28	graph	0
2315,136	graph	2
2315,1686	latent_space	2
2315,120	latent_space	2
2315,2618	latent_space	2
2315,2617	latent_space	2
2315,1688	latent_space	2
1629,1220	graph	3
1629,2473	graph	0
1629,1706	latent_space	1
1988,2408	graph	1
1988,590	latent_space	3
1988,1427	latent_space	3
1988,1426	latent_space	3
1988,188	latent_space	3
1988,591	latent_space	3
2147,2421	graph	1
2147,1587	graph	1
2147,1429	graph	0
2147,1143	latent_space	1
2147,27	latent_space	1
2231,1784	graph	2
2231,1668	latent_space	2
2231,3288	latent_space	2
2231,2400	latent_space	2
