node1,node2	space	relation_type
482,830	graph	2
482,833	graph	2
482,3156	graph	2
482,1076	graph	2
482,3272	graph	0
482,3276	graph	3
482,2868	latent_space	0
2810,514	graph	2
2810,1370	latent_space	2
2810,530	latent_space	0
2810,3205	latent_space	0
2810,3144	latent_space	2
2683,1135	graph	3
2683,721	graph	2
495,1262	graph	2
495,1422	graph	2
791,2309	graph	2
790,3026	graph	2
790,582	graph	2
790,1000	graph	1
790,1545	graph	1
2864,2863	graph	2
2864,917	latent_space	0
1851,3125	graph	1
341,1869	graph	3
2214,652	graph	1
2214,3290	graph	0
2214,452	graph	1
2214,262	latent_space	0
2214,959	latent_space	1
2214,481	latent_space	3
2214,2318	latent_space	0
2214,1929	latent_space	1
2214,3226	latent_space	3
2214,2193	latent_space	0
2214,621	latent_space	0
1417,2645	graph	0
1417,273	graph	3
1417,2217	graph	3
1417,1758	graph	3
2447,1836	graph	1
2447,582	graph	0
2447,1939	graph	1
2447,2220	graph	1
2447,1932	graph	0
2447,2448	graph	1
2447,2452	graph	1
2447,2450	graph	1
2447,2449	graph	1
2447,2451	graph	1
2447,1004	latent_space	2
3001,1507	graph	0
3001,1495	latent_space	3
3001,1160	latent_space	1
3001,1481	latent_space	3
3077,2075	graph	2
3077,735	latent_space	0
3077,3116	latent_space	3
3077,1267	latent_space	1
3077,1604	latent_space	3
3077,855	latent_space	0
3057,3059	graph	1
3057,3058	graph	2
3057,1898	latent_space	0
3057,3033	latent_space	2
3057,1975	latent_space	2
3057,1552	latent_space	3
3057,2500	latent_space	2
2097,968	graph	2
2097,2435	graph	1
2097,2564	graph	1
2097,962	graph	1
2097,2925	graph	1
2097,2774	graph	1
2097,993	graph	1
2097,213	graph	1
2097,2829	graph	1
501,1011	graph	2
501,1575	graph	2
501,2144	latent_space	3
501,2452	latent_space	3
501,132	latent_space	2
507,2834	graph	1
507,2465	latent_space	2
507,892	latent_space	2
507,3094	latent_space	3
507,657	latent_space	2
507,3323	latent_space	0
507,2989	latent_space	2
62,1620	graph	1
1754,999	graph	2
1858,3035	graph	1
1858,602	graph	1
1858,2031	graph	1
1858,2543	graph	1
682,2228	graph	1
682,881	graph	1
682,2494	graph	1
682,1471	graph	1
2259,2278	graph	2
2259,1919	graph	1
2259,545	graph	2
2259,332	graph	1
2259,1256	graph	2
2259,1046	graph	1
2259,2450	graph	1
2259,1437	graph	1
2808,387	graph	2
2808,2336	latent_space	2
2808,393	latent_space	1
2808,3285	latent_space	3
2808,1258	latent_space	2
2808,3288	latent_space	2
386,98	graph	1
556,969	graph	3
245,3203	graph	1
245,3124	graph	1
245,3204	graph	3
245,1066	graph	1
245,3189	graph	1
245,2743	latent_space	1
245,4	latent_space	0
279,2326	graph	1
279,1928	graph	1
279,688	graph	3
279,3090	latent_space	1
279,869	latent_space	3
3086,968	graph	2
1579,1092	graph	2
322,1879	graph	1
1740,2638	graph	2
1740,661	graph	2
2155,1628	graph	1
2155,3188	graph	0
2155,380	graph	0
381,2955	graph	1
381,1457	graph	1
1067,3021	graph	2
1658,1422	graph	2
2633,2217	graph	2
2633,968	graph	2
2633,1064	graph	2
2633,770	graph	3
2633,1665	graph	2
2633,847	graph	1
2633,347	graph	2
2633,2527	graph	2
2633,43	graph	2
2633,1759	graph	2
2633,930	graph	2
2633,2655	latent_space	1
2633,997	latent_space	3
2633,2632	latent_space	1
1158,2813	graph	2
1158,2044	latent_space	1
1158,3158	latent_space	3
1158,1126	latent_space	2
222,2857	graph	1
222,1392	graph	1
222,2634	graph	1
222,26	graph	0
222,567	graph	1
222,2729	graph	1
1759,2622	graph	1
1759,136	graph	1
1759,1918	graph	1
1759,2621	graph	1
1759,1625	graph	1
1759,31	graph	1
1759,2633	graph	1
1759,1429	graph	1
1759,43	graph	2
549,2782	graph	2
549,2361	graph	2
549,755	graph	3
549,1422	graph	3
549,1821	graph	2
549,2585	graph	3
549,434	graph	3
549,2649	latent_space	3
659,1720	graph	1
1200,582	graph	1
1200,1002	graph	3
1200,142	graph	1
1200,819	graph	1
2552,1119	graph	3
2552,1577	graph	3
2880,2311	graph	2
2880,2361	graph	2
2880,1580	graph	2
2880,1996	graph	1
2127,2841	graph	0
2127,1906	graph	0
2127,692	latent_space	0
2127,1495	latent_space	0
264,1267	graph	2
264,2960	latent_space	3
264,3307	latent_space	2
2258,582	graph	1
2258,1693	latent_space	1
2258,215	latent_space	2
209,1991	graph	3
209,2695	latent_space	1
209,3055	latent_space	0
1037,766	graph	3
1037,1149	latent_space	1
1037,301	latent_space	2
1037,400	latent_space	3
1037,842	latent_space	2
1037,36	latent_space	3
1037,2117	latent_space	3
559,1013	graph	0
559,1570	graph	2
559,1097	graph	2
559,690	latent_space	2
1676,2604	graph	0
1676,2588	graph	0
1676,713	graph	0
1676,471	graph	0
1676,2554	graph	0
2196,138	graph	2
2196,242	graph	1
2196,468	graph	2
2196,2119	graph	1
2196,2217	graph	2
2196,968	graph	2
2196,2507	graph	2
2196,1877	graph	2
2196,450	graph	2
2196,3266	graph	0
2196,2519	graph	2
2196,2063	graph	2
2196,1136	graph	0
2196,930	graph	2
2684,1222	graph	1
1621,856	graph	2
1621,530	graph	1
1621,2385	latent_space	2
1621,2164	latent_space	0
1621,1045	latent_space	3
3109,3108	graph	1
2099,757	graph	0
2099,459	graph	0
2099,1911	latent_space	0
1308,1769	graph	2
1308,2680	graph	2
2227,3080	graph	2
2227,321	graph	1
1952,1110	graph	0
1952,2287	latent_space	2
1952,1389	latent_space	0
22,3251	graph	2
22,2140	graph	3
22,726	graph	1
3023,568	graph	2
3023,183	latent_space	0
3023,2659	latent_space	3
3023,1597	latent_space	2
698,566	graph	3
698,1004	graph	2
696,1236	graph	1
696,869	graph	2
696,382	graph	1
696,2352	graph	1
696,667	latent_space	1
696,1596	latent_space	2
696,1065	latent_space	2
696,1368	latent_space	3
696,1063	latent_space	3
1458,2972	graph	3
1458,2742	latent_space	3
1458,1403	latent_space	0
1458,1086	latent_space	3
2594,1333	graph	2
2594,1986	graph	2
2594,394	graph	2
2730,2898	graph	1
2730,567	graph	1
