node1,node2	space	relation_type
817,221	graph	3
817,156	graph	0
817,1736	graph	0
817,220	graph	1
817,155	graph	0
817,90	graph	0
817,2456	graph	3
817,1763	graph	0
817,2215	latent_space	1
817,46	latent_space	3
817,2421	latent_space	3
817,1887	latent_space	2
817,1689	latent_space	3
280,1535	graph	3
280,2155	graph	3
280,324	latent_space	3
280,993	latent_space	3
280,2024	latent_space	1
280,456	latent_space	1
557,1725	graph	0
557,2391	latent_space	1
557,2389	latent_space	1
557,915	latent_space	1
557,2392	latent_space	3
557,2596	latent_space	2
557,1627	latent_space	2
557,2334	latent_space	2
557,268	latent_space	1
1095,1810	graph	1
1095,230	graph	2
1095,1986	graph	1
1095,1325	graph	2
1095,298	graph	2
1095,2613	graph	2
1095,1697	latent_space	0
1095,2	latent_space	1
170,1067	graph	2
170,1358	graph	0
170,1599	latent_space	1
170,616	latent_space	3
170,1154	latent_space	3
170,1765	latent_space	2
170,1766	latent_space	1
170,1757	latent_space	3
170,626	latent_space	1
170,1761	latent_space	3
170,957	latent_space	3
170,1565	latent_space	1
170,951	latent_space	1
170,59	latent_space	2
170,1281	latent_space	1
170,580	latent_space	1
170,1750	latent_space	1
170,174	latent_space	3
170,1746	latent_space	3
170,1550	latent_space	1
170,1749	latent_space	1
170,1728	latent_space	0
1154,2514	graph	3
1154,357	graph	1
1154,2515	graph	3
1154,223	graph	3
1154,744	graph	1
1154,1358	graph	0
1154,1007	graph	3
1154,1715	graph	1
1154,1742	graph	0
1154,957	graph	2
1154,1714	graph	1
1154,174	latent_space	0
1154,1749	latent_space	1
1154,1750	latent_space	1
1154,1761	latent_space	1
1154,616	latent_space	1
1154,951	latent_space	1
1154,170	latent_space	0
1154,689	latent_space	1
1154,1746	latent_space	0
1154,819	latent_space	1
1154,73	latent_space	3
1154,1757	latent_space	0
1154,580	latent_space	0
1154,1756	latent_space	1
1154,626	latent_space	1
1154,957	latent_space	2
1154,1745	latent_space	1
2436,989	graph	2
2436,2112	graph	2
2436,1507	graph	2
2436,2031	graph	1
2436,2111	latent_space	0
1675,1914	graph	1
1675,1013	graph	2
1675,1676	graph	1
1675,1074	graph	1
1675,1464	latent_space	1
1675,1849	latent_space	0
1675,506	latent_space	3
1675,181	latent_space	2
1364,40	graph	0
1778,1623	graph	1
1778,350	graph	3
1778,1552	graph	1
1778,1367	graph	3
1778,1624	graph	3
1778,1771	graph	3
1778,2327	graph	3
1778,1561	latent_space	2
1778,1789	latent_space	1
53,1358	graph	0
53,1739	graph	2
53,1103	graph	1
53,1243	latent_space	0
53,1719	latent_space	3
53,1205	latent_space	2
53,1123	latent_space	1
53,764	latent_space	0
53,1041	latent_space	2
53,609	latent_space	3
53,1715	latent_space	0
53,1755	latent_space	0
53,1766	latent_space	2
53,1718	latent_space	1
53,2597	latent_space	2
53,1748	latent_space	1
53,1730	latent_space	0
53,1292	latent_space	2
53,796	latent_space	1
53,1711	latent_space	0
53,1714	latent_space	1
53,1750	latent_space	2
53,1040	latent_space	3
53,689	latent_space	2
53,1720	latent_space	3
53,1734	latent_space	3
53,1723	latent_space	3
53,111	latent_space	1
53,489	latent_space	2
53,364	latent_space	3
53,1731	latent_space	1
53,978	latent_space	0
53,1480	latent_space	1
53,357	latent_space	1
53,1516	latent_space	0
53,1712	latent_space	2
53,744	latent_space	2
53,970	latent_space	1
53,1747	latent_space	0
53,853	latent_space	1
2499,1117	graph	3
2499,1524	graph	1
2499,80	latent_space	2
2363,125	graph	1
2363,1555	graph	0
1947,1950	graph	1
1947,310	graph	1
1947,1272	graph	0
1947,1945	graph	0
1947,1945	latent_space	0
1947,150	latent_space	3
1947,1946	latent_space	3
1947,1949	latent_space	3
1947,1272	latent_space	0
1947,336	latent_space	0
1947,892	latent_space	0
1947,875	latent_space	3
1919,1224	graph	2
1919,1370	graph	3
1919,1402	graph	1
1919,778	graph	1
1919,1914	graph	0
1919,779	graph	1
1919,1525	latent_space	0
1919,778	latent_space	1
1919,1222	latent_space	2
1919,779	latent_space	1
1919,1975	latent_space	0
480,687	graph	1
480,1710	graph	1
480,1426	graph	3
480,2372	graph	3
480,598	graph	0
480,2359	graph	1
1571,1045	graph	2
1571,454	latent_space	0
2572,2570	graph	0
2572,1386	latent_space	2
2572,1151	latent_space	2
2572,727	latent_space	2
728,1070	graph	2
728,644	graph	0
728,2388	graph	0
728,2553	graph	1
728,1296	graph	0
2188,454	graph	2
2623,946	graph	3
6,1042	graph	2
6,1416	graph	3
6,373	graph	0
6,1602	graph	3
6,1925	latent_space	1
6,408	latent_space	2
13,1810	graph	1
13,1701	graph	1
13,205	latent_space	3
1898,645	graph	2
1898,379	graph	1
1898,1713	graph	2
1898,755	graph	1
1203,1410	graph	2
1203,1215	graph	3
