node1,node2	space	relation_type
788,2205	graph	3
788,1952	graph	2
788,2033	graph	3
788,1031	graph	3
788,2041	graph	2
788,2238	latent_space	3
788,1892	latent_space	3
788,768	latent_space	3
1141,2294	graph	2
1141,963	graph	3
1141,2633	latent_space	2
1141,1962	latent_space	2
1141,892	latent_space	2
1888,1737	graph	0
1888,1103	graph	1
1888,1887	graph	1
1888,2356	latent_space	1
1888,1559	latent_space	1
1888,1959	latent_space	1
1888,711	latent_space	1
1888,393	latent_space	1
1888,767	latent_space	1
1660,1291	graph	0
1660,2154	graph	1
1660,1224	graph	0
2605,1348	graph	1
2605,11	latent_space	3
2605,2644	latent_space	3
2605,768	latent_space	3
2605,1892	latent_space	3
2605,51	latent_space	3
2605,1500	latent_space	3
2605,2645	latent_space	3
2605,2641	latent_space	3
2605,2623	latent_space	3
2409,716	graph	3
2409,1057	graph	1
2409,11	latent_space	3
2409,768	latent_space	3
2409,1892	latent_space	3
2409,51	latent_space	3
2409,1500	latent_space	3
2409,2645	latent_space	3
2409,2641	latent_space	3
2409,2623	latent_space	3
2249,2671	graph	2
2249,1257	graph	0
2249,368	graph	0
2249,2130	graph	0
2249,2248	graph	0
2249,2518	graph	0
2249,889	latent_space	2
2249,1962	latent_space	2
2249,2633	latent_space	2
2249,892	latent_space	2
2249,2043	latent_space	2
2249,304	latent_space	0
2249,893	latent_space	2
2249,2501	latent_space	2
2249,891	latent_space	2
1917,2457	graph	0
1917,1914	graph	2
1917,454	graph	2
1917,2043	latent_space	2
1917,304	latent_space	0
2274,1441	graph	2
2274,1527	graph	0
2274,1370	graph	2
2274,2223	latent_space	2
2274,2607	latent_space	0
2274,892	latent_space	0
1861,1701	graph	1
1861,11	latent_space	3
1861,2644	latent_space	3
1861,768	latent_space	3
1861,51	latent_space	3
1861,1500	latent_space	3
1861,2645	latent_space	3
1861,2641	latent_space	3
1861,2623	latent_space	3
100,1602	graph	1
100,2056	graph	1
100,11	latent_space	3
100,768	latent_space	3
100,1892	latent_space	3
