node1,node2	space	relation_type
222,821	graph	3
222,2245	latent_space	3
222,221	latent_space	0
222,1001	latent_space	0
222,1425	latent_space	0
222,422	latent_space	0
222,1233	latent_space	2
222,245	latent_space	2
222,662	latent_space	1
1385,714	graph	2
1385,1015	graph	3
1385,2335	graph	0
1385,1279	latent_space	2
2039,1889	graph	2
2039,2042	graph	1
2039,2034	graph	2
146,2059	graph	0
146,897	graph	3
146,1907	graph	0
146,1468	graph	0
146,1927	graph	0
502,279	graph	3
502,1976	graph	0
502,285	graph	3
502,621	latent_space	2
502,2346	latent_space	3
2407,573	graph	1
2407,643	graph	2
2407,1313	graph	2
2407,182	latent_space	2
2083,752	graph	1
2083,957	graph	1
2083,505	graph	0
2083,1483	graph	1
2083,1685	graph	1
2083,367	graph	0
2083,1557	graph	1
2083,1550	graph	1
2083,650	graph	1
2083,2168	graph	1
2083,748	latent_space	2
2083,2321	latent_space	2
2646,194	graph	2
1123,1103	graph	0
1123,1358	graph	0
1123,501	latent_space	1
1123,2358	latent_space	2
1123,1384	latent_space	1
1123,1480	latent_space	1
1123,887	latent_space	1
36,1781	graph	3
36,1505	graph	1
36,1146	graph	3
36,2094	graph	1
36,1552	graph	3
36,2106	graph	2
36,2107	graph	3
36,1640	graph	1
346,999	graph	3
346,1358	graph	0
346,957	latent_space	2
346,876	latent_space	0
346,609	latent_space	1
346,1471	latent_space	2
346,929	latent_space	0
346,59	latent_space	2
1598,640	graph	2
1598,1090	graph	2
1598,2367	graph	2
1598,1093	graph	3
1598,1147	graph	2
716,1821	graph	3
716,1810	graph	1
716,2409	graph	1
716,603	graph	0
716,1561	latent_space	1
2301,2008	graph	2
2301,733	graph	2
1814,482	graph	0
1814,1810	graph	1
1814,1808	latent_space	2
2624,2701	graph	0
2624,44	graph	2
2624,631	latent_space	1
2624,2362	latent_space	3
2624,2562	latent_space	3
2624,1210	latent_space	1
2624,31	latent_space	2
1921,1416	graph	1
1921,315	graph	3
1921,827	graph	3
1921,1143	latent_space	1
1921,551	latent_space	1
1921,95	latent_space	2
1921,1622	latent_space	2
1921,643	latent_space	3
2121,2001	graph	3
2121,2122	graph	3
2121,33	graph	3
2121,733	latent_space	3
2121,1842	latent_space	2
2121,295	latent_space	2
2121,1024	latent_space	1
2121,1175	latent_space	0
1893,1889	graph	3
1893,920	graph	0
1893,605	latent_space	3
204,415	graph	0
1049,866	graph	0
1049,2610	graph	0
1049,1894	graph	0
1049,1432	graph	0
448,1824	graph	1
448,472	graph	1
448,1826	graph	1
448,1902	graph	3
448,415	latent_space	3
448,2432	latent_space	1
448,2507	latent_space	0
448,991	latent_space	1
1189,1358	graph	0
1189,2359	graph	0
1189,73	graph	1
1189,1136	graph	0
1189,558	graph	0
1189,487	latent_space	1
1189,1763	latent_space	0
1189,1229	latent_space	3
1189,823	latent_space	2
1189,1758	latent_space	1
1189,1750	latent_space	1
1189,1737	latent_space	1
1189,797	latent_space	1
1189,1287	latent_space	3
2375,20	graph	0
2375,2270	graph	3
2375,1404	graph	0
2375,371	graph	3
2375,1614	latent_space	3
2107,399	graph	0
2107,36	graph	0
2107,1781	graph	0
2107,1505	graph	0
1016,4	graph	2
1016,2176	graph	2
1016,595	graph	0
1016,561	graph	0
1016,1256	graph	2
2547,488	graph	2
2547,515	graph	3
2547,2496	latent_space	3
509,1101	graph	2
509,2146	graph	2
509,2148	graph	2
2443,1742	graph	3
2443,615	graph	2
2443,64	latent_space	2
2443,1164	latent_space	0
2262,1143	graph	3
2262,1015	graph	3
2267,2266	graph	2
2267,1395	graph	2
2237,2238	graph	2
2237,1240	graph	2
2237,2236	graph	2
1454,2	graph	0
1214,73	graph	3
1214,1716	graph	3
1214,337	graph	3
1214,1745	graph	3
1214,1199	graph	2
1214,1499	graph	3
1214,372	latent_space	2
1214,2466	latent_space	0
1214,891	latent_space	0
1214,2515	latent_space	0
1214,2220	latent_space	0
882,1358	graph	2
355,1668	graph	3
112,487	graph	0
112,306	graph	0
112,1623	graph	0
112,2080	graph	0
112,1238	latent_space	3
112,350	latent_space	2
112,1749	latent_space	0
876,2584	graph	1
876,1358	graph	0
876,73	graph	3
876,558	graph	0
876,2168	graph	2
876,834	graph	0
876,346	latent_space	3
876,333	latent_space	2
1409,360	graph	0
1409,1553	graph	0
1409,1827	graph	3
1409,1828	graph	0
1409,1826	graph	0
886,1400	graph	0
886,622	graph	3
886,769	latent_space	0
886,2427	latent_space	1
886,986	latent_space	3
886,1898	latent_space	1
886,2634	latent_space	2
886,2483	latent_space	1
717,1907	graph	0
2371,2367	graph	3
2371,1147	graph	3
2371,2177	graph	2
2371,1257	latent_space	3
2371,2618	latent_space	3
2371,644	latent_space	3
2371,2058	latent_space	2
2371,1321	latent_space	1
2371,625	latent_space	1
2371,1544	latent_space	1
2674,2675	graph	3
2674,1109	graph	3
2674,2671	graph	1
586,94	graph	3
586,74	graph	1
586,1224	graph	1
586,1218	graph	3
586,2155	graph	1
586,1582	latent_space	0
586,2226	latent_space	1
586,2453	latent_space	1
586,810	latent_space	0
586,2565	latent_space	3
1659,1629	graph	3
1659,5	graph	1
1659,620	latent_space	3
1137,725	graph	2
1137,2606	latent_space	2
1137,1131	latent_space	3
847,2422	graph	1
847,2189	graph	3
847,989	latent_space	3
847,474	latent_space	0
847,1871	latent_space	0
847,2695	latent_space	2
714,48	graph	3
714,148	graph	1
714,1385	graph	1
714,1834	latent_space	0
1806,453	graph	0
1806,962	graph	3
1806,1809	graph	3
1806,1774	latent_space	0
1806,186	latent_space	3
1806,1653	latent_space	2
1159,729	graph	0
1159,2534	graph	0
1159,981	graph	0
1159,2125	latent_space	3
424,436	graph	3
424,1203	graph	3
