node1,node2	space	relation_type
101,120	graph	0
144,42	graph	0
144,77	graph	1
144,172	graph	3
144,52	graph	3
144,98	latent_space	3
144,12	latent_space	1
144,114	latent_space	2
144,110	latent_space	0
103,42	graph	2
103,134	graph	2
103,162	latent_space	3
112,42	graph	0
112,148	graph	2
112,11	latent_space	3
112,148	latent_space	2
112,71	latent_space	3
112,55	latent_space	0
29,42	graph	1
51,10	graph	3
51,52	graph	3
51,152	latent_space	2
51,27	latent_space	2
51,163	latent_space	1
51,140	latent_space	3
51,125	latent_space	0
51,80	latent_space	3
49,42	graph	0
49,129	graph	3
49,20	graph	0
49,31	graph	1
49,89	graph	2
49,69	latent_space	2
49,151	latent_space	1
49,161	latent_space	3
49,44	latent_space	0
172,144	graph	0
172,44	graph	0
172,136	latent_space	2
155,81	graph	3
155,118	graph	0
155,42	graph	1
155,108	graph	3
155,13	graph	2
155,48	latent_space	2
155,140	latent_space	1
155,90	latent_space	0
155,40	latent_space	3
155,108	latent_space	3
155,146	latent_space	0
170,127	graph	1
170,176	latent_space	0
170,14	latent_space	1
170,24	latent_space	3
4,55	graph	2
4,152	graph	2
4,25	graph	2
4,72	graph	0
4,8	graph	2
4,40	graph	2
4,156	graph	2
48,42	graph	1
48,155	latent_space	1
48,141	latent_space	2
48,40	latent_space	1
48,17	latent_space	3
60,42	graph	2
60,167	graph	2
60,149	graph	2
78,55	graph	1
78,152	graph	0
78,25	graph	2
78,91	graph	0
78,95	graph	1
78,146	graph	0
78,160	latent_space	3
9,42	graph	1
9,61	latent_space	0
9,164	latent_space	3
9,21	latent_space	3
146,69	graph	3
146,78	graph	3
146,90	latent_space	1
146,155	latent_space	3
146,152	latent_space	1
28,147	graph	2
28,178	latent_space	3
126,147	graph	2
126,87	latent_space	3
126,57	latent_space	2
44,172	graph	3
44,98	latent_space	2
44,70	latent_space	2
44,49	latent_space	3
44,46	latent_space	1
179,42	graph	3
113,42	graph	1
113,38	graph	0
113,141	latent_space	0
113,17	latent_space	1
113,106	latent_space	3
81,42	graph	1
81,155	graph	0
41,135	graph	0
41,45	graph	0
41,91	graph	2
41,133	latent_space	3
41,12	latent_space	2
41,77	latent_space	0
41,16	latent_space	1
41,74	latent_space	1
166,42	graph	3
56,42	graph	1
56,148	graph	1
70,42	graph	0
70,69	latent_space	3
70,156	latent_space	2
70,33	latent_space	2
70,98	latent_space	0
70,44	latent_space	1
109,42	graph	3
109,40	graph	2
109,20	latent_space	1
109,35	latent_space	1
164,38	graph	0
164,9	latent_space	0
164,21	latent_space	1
107,55	graph	2
107,152	graph	2
107,25	graph	2
107,43	graph	0
107,40	graph	2
107,34	latent_space	3
107,59	latent_space	0
107,76	latent_space	0
107,128	latent_space	1
54,72	graph	1
15,82	graph	3
15,140	graph	2
15,42	latent_space	3
15,73	latent_space	2
15,135	latent_space	1
15,163	latent_space	0
125,31	graph	1
125,20	graph	1
125,89	graph	3
125,152	latent_space	2
125,51	latent_space	3
125,45	latent_space	1
147,178	graph	1
147,79	graph	1
147,33	graph	1
147,126	graph	1
147,28	graph	1
37,32	graph	0
37,61	graph	0
37,106	graph	0
37,5	graph	1
31,66	graph	3
31,139	graph	2
31,125	graph	2
31,127	graph	0
31,18	graph	0
31,49	graph	2
31,34	graph	2
31,24	graph	2
31,123	graph	2
31,105	latent_space	3
39,169	graph	2
39,105	latent_space	0
123,102	graph	2
123,31	graph	1
123,111	graph	0
123,129	latent_space	1
171,42	graph	0
72,176	graph	3
72,25	graph	3
72,54	graph	2
72,42	graph	3
72,4	graph	3
53,116	graph	1
53,167	latent_space	3
53,93	latent_space	1
79,147	graph	2
79,58	latent_space	2
88,23	graph	1
88,13	latent_space	1
180,142	graph	0
180,71	graph	1
180,124	graph	0
180,69	latent_space	0
180,14	latent_space	2
180,139	latent_space	3
102,16	graph	0
102,123	graph	1
102,100	latent_space	1
152,78	graph	3
152,25	graph	3
152,107	graph	1
152,4	graph	1
152,27	latent_space	1
152,125	latent_space	1
152,90	latent_space	2
152,51	latent_space	1
152,146	latent_space	2
159,108	graph	2
159,42	graph	2
159,84	graph	2
150,42	graph	2
150,130	latent_space	2
137,42	graph	3
66,42	graph	0
66,77	graph	0
66,31	graph	0
66,89	graph	0
66,129	latent_space	2
66,22	latent_space	2
74,10	graph	3
74,55	latent_space	3
74,133	latent_space	3
74,41	latent_space	2
74,76	latent_space	1
74,16	latent_space	0
116,42	graph	2
116,91	graph	2
116,178	graph	0
116,53	graph	2
116,5	latent_space	0
111,20	graph	0
111,24	graph	3
111,30	graph	2
111,89	graph	2
111,123	graph	3
111,50	latent_space	3
111,1	latent_space	0
111,89	latent_space	2
111,85	latent_space	0
55,78	graph	2
55,25	graph	2
55,107	graph	1
55,4	graph	1
55,133	latent_space	2
55,74	latent_space	0
55,112	latent_space	3
55,148	latent_space	3
136,42	graph	0
136,172	latent_space	1
35,71	graph	3
35,20	latent_space	1
35,109	latent_space	2
65,8	graph	2
65,57	latent_space	3
100,122	graph	0
100,63	graph	0
100,102	latent_space	2
59,42	graph	2
59,162	latent_space	0
59,128	latent_space	3
59,76	latent_space	2
59,107	latent_space	3
61,42	graph	1
61,37	graph	3
61,149	graph	1
61,9	latent_space	3
61,32	latent_space	0
61,75	latent_space	1
95,42	graph	0
95,78	graph	2
95,149	latent_space	3
95,52	latent_space	2
95,10	latent_space	0
95,151	latent_space	0
95,161	latent_space	2
138,104	graph	1
138,42	graph	1
138,142	graph	1
138,10	graph	1
138,94	graph	1
138,131	graph	3
36,42	graph	1
45,42	graph	3
45,41	graph	3
45,178	graph	1
45,173	graph	1
45,168	latent_space	3
45,134	latent_space	1
45,125	latent_space	2
12,42	graph	0
12,133	latent_space	1
12,144	latent_space	2
12,41	latent_space	1
12,68	latent_space	0
12,46	latent_space	3
117,139	graph	2
38,113	graph	3
38,164	graph	3
114,106	graph	2
114,144	latent_space	1
114,98	latent_space	3
114,1	latent_space	0
158,42	graph	0
158,10	latent_space	2
158,71	latent_space	0
2,42	graph	3
2,153	latent_space	2
2,7	latent_space	1
22,42	graph	0
22,52	graph	0
22,66	latent_space	1
22,129	latent_space	2
156,106	graph	2
156,42	graph	0
156,20	graph	0
156,89	graph	2
156,4	graph	1
156,70	latent_space	1
156,50	latent_space	0
156,33	latent_space	3
156,98	latent_space	1
156,6	latent_space	2
182,57	graph	1
151,42	graph	0
151,43	graph	0
151,83	latent_space	0
151,49	latent_space	2
151,10	latent_space	1
151,95	latent_space	3
151,161	latent_space	3
176,72	graph	0
176,33	latent_space	1
176,170	latent_space	3
176,6	latent_space	0
91,78	graph	3
91,41	graph	1
91,116	graph	1
110,129	graph	3
110,89	graph	2
110,7	graph	0
110,20	graph	0
110,144	latent_space	3
110,120	latent_space	0
110,68	latent_space	1
77,144	graph	2
77,105	graph	1
77,124	graph	0
77,66	graph	3
77,177	graph	0
77,41	latent_space	3
77,165	latent_space	1
77,68	latent_space	2
77,16	latent_space	1
77,97	latent_space	0
77,94	latent_space	0
0,42	graph	1
0,96	latent_space	3
0,181	latent_space	0
0,86	latent_space	3
73,42	graph	1
73,47	latent_space	2
73,120	latent_space	3
73,15	latent_space	1
80,42	graph	3
80,163	latent_space	1
80,140	latent_space	2
80,51	latent_space	0
80,27	latent_space	2
57,182	graph	2
57,169	graph	3
57,65	latent_space	0
57,87	latent_space	3
57,126	latent_space	1
131,104	graph	1
131,153	graph	0
131,142	graph	0
131,10	graph	0
131,94	graph	0
131,138	graph	0
134,103	graph	1
134,45	latent_space	2
134,168	latent_space	3
177,77	graph	3
177,25	graph	3
177,8	latent_space	2
13,155	graph	1
13,88	latent_space	2
93,33	graph	3
93,178	graph	1
93,53	latent_space	2
93,8	latent_space	1
23,42	graph	2
23,119	graph	1
23,88	graph	2
23,99	latent_space	3
23,7	latent_space	0
43,69	graph	3
43,151	graph	3
43,107	graph	3
43,106	graph	3
43,145	latent_space	1
50,42	graph	0
50,82	latent_space	2
50,156	latent_space	3
50,89	latent_space	2
50,111	latent_space	0
141,42	graph	1
141,169	graph	1
141,75	graph	3
141,113	latent_space	3
141,48	latent_space	1
141,17	latent_space	3
8,42	graph	3
8,65	graph	1
8,4	graph	1
8,93	latent_space	2
8,177	latent_space	1
121,20	graph	1
121,89	graph	1
121,7	graph	1
67,42	graph	3
90,1	graph	3
90,152	latent_space	1
90,27	latent_space	1
90,140	latent_space	3
90,155	latent_space	3
90,146	latent_space	2
5,42	graph	2
5,37	graph	2
5,116	latent_space	3
26,42	graph	1
26,62	latent_space	0
26,25	latent_space	3
26,92	latent_space	3
181,42	graph	1
181,0	latent_space	3
133,42	graph	0
133,71	graph	3
133,55	latent_space	1
133,41	latent_space	0
133,12	latent_space	2
133,148	latent_space	3
133,74	latent_space	0
133,46	latent_space	2
87,42	graph	2
87,126	latent_space	0
87,57	latent_space	0
149,61	graph	2
149,167	graph	0
149,60	graph	1
149,95	latent_space	0
149,161	latent_space	2
149,52	latent_space	2
154,148	graph	3
154,71	graph	3
157,42	graph	1
157,160	graph	3
157,96	latent_space	0
157,30	latent_space	3
157,86	latent_space	0
3,42	graph	2
3,163	graph	2
32,37	graph	3
32,122	latent_space	0
32,61	latent_space	3
32,84	latent_space	1
32,75	latent_space	1
119,23	graph	2
119,178	latent_space	2
173,45	graph	2
19,42	graph	0
19,89	graph	0
14,42	graph	0
14,139	latent_space	1
14,180	latent_space	1
14,33	latent_space	0
14,24	latent_space	3
14,170	latent_space	2
132,6	graph	2
132,104	latent_space	3
76,42	graph	2
76,17	graph	2
76,162	latent_space	0
76,107	latent_space	3
76,16	latent_space	2
76,59	latent_space	1
76,74	latent_space	2
82,99	graph	1
82,148	graph	1
82,15	graph	0
82,1	graph	0
82,50	latent_space	1
82,89	latent_space	0
82,6	latent_space	3
82,75	latent_space	0
108,159	graph	1
108,155	graph	0
108,155	latent_space	0
108,40	latent_space	0
108,85	latent_space	3
62,42	graph	1
62,26	latent_space	3
62,25	latent_space	3
62,92	latent_space	3
94,174	graph	0
94,131	graph	3
94,138	graph	2
94,104	graph	3
94,135	latent_space	0
94,42	latent_space	2
94,77	latent_space	3
94,142	latent_space	0
94,97	latent_space	1
161,42	graph	0
161,149	latent_space	1
161,52	latent_space	3
161,49	latent_space	0
161,151	latent_space	0
161,95	latent_space	1
58,42	graph	3
58,79	latent_space	1
46,42	graph	0
46,83	latent_space	3
46,133	latent_space	1
46,12	latent_space	0
46,44	latent_space	2
160,157	graph	0
160,78	latent_space	0
143,42	graph	2
143,145	graph	2
143,6	graph	2
163,3	graph	1
163,135	latent_space	1
163,168	latent_space	0
163,15	latent_space	3
163,51	latent_space	2
