node1,node2	space	relation_type
112,42	graph	3
112,148	graph	2
112,57	latent_space	2
112,75	latent_space	0
112,110	latent_space	2
112,27	latent_space	0
112,109	latent_space	0
112,81	latent_space	2
112,106	latent_space	2
162,135	graph	0
162,36	latent_space	3
140,15	graph	1
140,148	graph	0
140,35	latent_space	1
140,19	latent_space	1
100,63	graph	3
100,122	graph	2
100,9	latent_space	2
66,42	graph	3
66,31	graph	1
66,89	graph	1
66,77	graph	3
66,57	latent_space	2
66,75	latent_space	0
66,110	latent_space	2
66,27	latent_space	0
66,109	latent_space	0
66,81	latent_space	2
66,106	latent_space	2
46,42	graph	2
46,75	latent_space	0
46,110	latent_space	2
46,27	latent_space	0
46,109	latent_space	0
46,81	latent_space	2
46,106	latent_space	2
139,42	graph	1
139,117	graph	0
139,174	graph	0
139,31	graph	1
139,35	latent_space	1
73,42	graph	1
73,35	latent_space	1
47,20	graph	2
47,89	graph	1
47,57	latent_space	2
47,75	latent_space	0
47,110	latent_space	2
47,27	latent_space	0
47,109	latent_space	0
47,81	latent_space	2
47,106	latent_space	2
163,3	graph	1
163,36	latent_space	1
161,42	graph	3
161,36	latent_space	3
152,4	graph	2
152,107	graph	3
152,78	graph	3
152,25	graph	2
152,9	latent_space	3
152,54	latent_space	3
152,100	latent_space	3
134,103	graph	3
134,94	latent_space	3
94,174	graph	3
94,138	graph	2
94,104	graph	3
94,131	graph	0
175,42	graph	1
175,35	latent_space	1
102,123	graph	2
102,16	graph	2
9,42	graph	3
182,57	graph	3
182,94	latent_space	3
38,113	graph	3
38,164	graph	2
96,42	graph	3
96,27	latent_space	2
96,109	latent_space	2
68,42	graph	1
68,35	latent_space	1
68,19	latent_space	1
91,78	graph	2
91,116	graph	0
91,41	graph	1
91,17	latent_space	0
91,57	latent_space	0
91,19	latent_space	0
91,106	latent_space	0
84,159	graph	0
84,57	latent_space	2
84,75	latent_space	0
84,110	latent_space	2
84,27	latent_space	0
84,109	latent_space	0
84,81	latent_space	2
