node1,node2	space	relation_type
133,146	graph	3
133,66	graph	3
132,57	graph	1
132,156	latent_space	2
132,119	latent_space	2
132,98	latent_space	1
132,108	latent_space	2
132,124	latent_space	1
132,90	latent_space	1
132,80	latent_space	2
132,86	latent_space	2
131,57	graph	1
130,146	graph	3
130,2	graph	3
130,66	graph	3
137,63	graph	0
137,176	graph	1
137,167	graph	2
137,169	graph	1
136,159	graph	1
135,5	graph	1
135,57	graph	1
135,64	graph	2
135,22	graph	0
135,147	latent_space	2
135,154	latent_space	2
135,148	latent_space	2
135,53	latent_space	2
135,164	latent_space	2
135,104	latent_space	2
90,57	graph	1
90,98	latent_space	1
90,86	latent_space	2
90,156	latent_space	2
90,132	latent_space	2
90,108	latent_space	2
90,124	latent_space	1
90,71	latent_space	3
90,80	latent_space	2
90,119	latent_space	2
90,163	latent_space	1
139,24	graph	1
138,164	graph	2
138,69	graph	0
138,93	graph	2
138,118	graph	0
138,129	graph	0
166,10	graph	1
24,159	graph	3
24,47	graph	2
24,57	graph	3
24,28	graph	3
24,4	graph	1
24,68	graph	2
24,139	graph	2
24,84	graph	1
25,75	graph	2
25,30	graph	2
25,48	latent_space	2
26,57	graph	1
26,78	graph	1
26,157	latent_space	3
26,33	latent_space	1
26,31	latent_space	2
26,74	latent_space	2
26,7	latent_space	0
26,95	latent_space	2
92,53	graph	3
92,171	graph	3
92,22	graph	3
92,47	latent_space	1
20,158	graph	0
20,109	graph	0
20,8	graph	0
20,101	graph	2
20,47	graph	0
20,122	latent_space	3
20,101	latent_space	2
21,147	graph	2
21,180	graph	1
21,41	graph	2
21,28	graph	3
21,85	graph	2
22,44	graph	1
22,92	graph	0
22,135	graph	3
23,62	graph	3
23,171	graph	2
23,0	latent_space	1
160,120	graph	3
160,57	graph	2
160,153	graph	2
28,24	graph	0
28,47	graph	0
28,21	graph	0
28,84	graph	1
28,8	graph	0
28,171	latent_space	0
29,57	graph	1
29,179	graph	2
29,74	latent_space	3
29,116	latent_space	1
29,7	latent_space	3
94,82	graph	1
0,122	graph	2
0,101	graph	2
0,23	latent_space	2
4,24	graph	2
4,176	graph	2
8,20	graph	3
8,158	graph	0
8,28	graph	3
8,122	graph	3
8,109	graph	0
8,65	graph	1
8,101	graph	3
8,161	graph	2
8,66	latent_space	0
163,57	graph	1
163,76	latent_space	3
163,59	latent_space	3
163,71	latent_space	3
163,98	latent_space	2
163,55	latent_space	1
163,182	latent_space	1
163,114	latent_space	1
163,124	latent_space	2
163,113	latent_space	3
163,127	latent_space	3
163,90	latent_space	2
163,170	latent_space	3
68,24	graph	1
68,57	graph	1
68,177	latent_space	0
68,145	latent_space	2
68,42	latent_space	0
68,105	latent_space	0
119,57	graph	1
119,156	latent_space	1
119,88	latent_space	2
119,132	latent_space	1
119,108	latent_space	3
119,178	latent_space	2
119,90	latent_space	1
119,80	latent_space	3
119,86	latent_space	1
119,107	latent_space	2
120,1	graph	0
120,153	graph	0
120,160	graph	0
121,72	graph	0
121,96	graph	0
121,125	latent_space	2
122,0	graph	1
122,6	graph	0
122,109	graph	0
122,101	graph	2
122,8	graph	0
122,101	latent_space	2
122,20	latent_space	0
123,57	graph	1
123,58	latent_space	1
123,55	latent_space	0
123,60	latent_space	1
123,114	latent_space	0
123,81	latent_space	1
123,106	latent_space	1
124,57	graph	1
124,71	latent_space	3
124,98	latent_space	1
124,156	latent_space	2
124,132	latent_space	2
124,108	latent_space	2
124,113	latent_space	1
124,90	latent_space	2
124,80	latent_space	2
124,86	latent_space	2
124,163	latent_space	1
125,77	graph	0
125,175	graph	0
125,121	latent_space	1
126,174	graph	1
127,57	graph	1
127,76	latent_space	2
127,59	latent_space	0
127,71	latent_space	2
127,98	latent_space	2
127,55	latent_space	1
127,182	latent_space	1
127,114	latent_space	1
127,113	latent_space	0
127,163	latent_space	0
127,170	latent_space	2
128,57	graph	0
129,83	graph	3
129,93	graph	3
129,138	graph	3
129,171	graph	3
69,83	graph	3
69,93	graph	3
69,138	graph	3
69,171	graph	3
118,177	graph	2
118,62	graph	1
118,138	graph	3
118,97	graph	2
118,149	latent_space	0
59,57	graph	1
59,76	latent_space	2
59,71	latent_space	2
59,98	latent_space	2
59,55	latent_space	1
59,182	latent_space	1
59,114	latent_space	1
59,113	latent_space	2
59,127	latent_space	3
59,163	latent_space	0
59,170	latent_space	2
58,57	graph	1
58,60	latent_space	0
58,106	latent_space	0
58,123	latent_space	2
58,81	latent_space	2
55,57	graph	1
55,182	latent_space	0
55,76	latent_space	2
55,59	latent_space	2
55,98	latent_space	2
55,60	latent_space	1
55,114	latent_space	1
55,123	latent_space	3
55,113	latent_space	2
55,127	latent_space	2
55,170	latent_space	2
55,163	latent_space	2
54,63	graph	1
57,132	graph	2
57,131	graph	2
57,135	graph	2
57,90	graph	2
57,24	graph	0
57,26	graph	2
57,160	graph	1
57,29	graph	2
57,96	graph	0
57,68	graph	2
57,123	graph	2
57,124	graph	2
57,127	graph	2
57,128	graph	3
57,59	graph	2
57,58	graph	2
57,55	graph	2
57,50	graph	2
57,53	graph	2
57,114	graph	2
57,88	graph	2
57,116	graph	2
57,110	graph	1
57,113	graph	2
57,112	graph	2
57,82	graph	1
57,80	graph	2
57,81	graph	2
57,86	graph	2
57,84	graph	1
57,3	graph	0
57,7	graph	2
57,108	graph	2
57,109	graph	0
57,103	graph	1
57,100	graph	2
57,106	graph	2
57,107	graph	2
57,104	graph	2
57,105	graph	2
57,33	graph	2
57,32	graph	2
57,31	graph	2
57,30	graph	0
57,37	graph	2
57,34	graph	2
57,60	graph	2
57,61	graph	2
57,178	graph	2
57,177	graph	2
