node1,node2	space	relation_type
2082,5493	graph	3
2082,3809	graph	1
2082,5624	graph	1
2082,7515	graph	1
2082,6350	latent_space	2
2082,695	latent_space	0
2082,4610	latent_space	2
2082,7016	latent_space	0
2082,1145	latent_space	3
2082,4956	latent_space	2
2082,6976	latent_space	3
2082,4225	latent_space	0
2082,185	latent_space	3
2082,4985	latent_space	1
2082,5821	latent_space	3
2082,7500	latent_space	2
2082,6405	latent_space	0
2082,3224	latent_space	3
2082,506	latent_space	2
2082,2017	latent_space	0
4563,2994	graph	1
4563,4797	latent_space	1
4563,2903	latent_space	2
5994,3809	graph	1
5994,7239	latent_space	3
5994,1024	latent_space	0
5994,5908	latent_space	0
5994,2606	latent_space	3
5994,2907	latent_space	0
5994,6403	latent_space	0
5994,2955	latent_space	1
5994,259	latent_space	3
5994,6779	latent_space	1
5994,2120	latent_space	3
5994,1852	latent_space	3
5994,7597	latent_space	3
5994,5368	latent_space	3
5994,3058	latent_space	0
5994,3730	latent_space	2
5994,145	latent_space	3
5994,5154	latent_space	0
5994,208	latent_space	1
5994,2740	latent_space	3
5994,5806	latent_space	3
5994,5639	latent_space	0
5994,1901	latent_space	0
5994,1863	latent_space	1
5994,2043	latent_space	2
5994,4719	latent_space	1
5994,5278	latent_space	1
5994,3398	latent_space	3
5994,739	latent_space	0
5994,143	latent_space	3
5994,316	latent_space	1
5994,6306	latent_space	3
5994,429	latent_space	0
5994,3334	latent_space	0
5994,3485	latent_space	0
5994,6732	latent_space	1
5994,3492	latent_space	2
3622,5949	graph	1
3622,3330	graph	1
3622,155	latent_space	1
3622,6573	latent_space	2
3622,2184	latent_space	0
3622,5545	latent_space	3
3622,1945	latent_space	2
3622,5392	latent_space	0
1205,1649	graph	1
1205,4772	graph	0
1205,2003	graph	1
1205,3809	graph	1
1205,55	graph	0
1205,3892	latent_space	3
1205,3204	latent_space	2
1205,3634	latent_space	1
1205,2929	latent_space	1
1205,3315	latent_space	1
1205,4912	latent_space	2
1205,4143	latent_space	3
1205,4656	latent_space	3
1205,5247	latent_space	1
1205,104	latent_space	0
1205,3776	latent_space	1
6821,2425	graph	1
6821,3809	graph	1
6821,2058	graph	1
6821,6145	graph	2
6821,5039	graph	1
6821,359	latent_space	1
6821,1058	latent_space	1
6821,1535	latent_space	3
6821,3673	latent_space	0
6821,6976	latent_space	2
6821,2832	latent_space	3
6821,2287	latent_space	1
6821,185	latent_space	2
6821,4419	latent_space	3
6821,4985	latent_space	0
6821,5821	latent_space	2
6821,5366	latent_space	1
6821,3224	latent_space	2
6821,4910	latent_space	3
1114,1986	graph	1
1114,7515	graph	1
1114,6614	graph	0
1114,3716	latent_space	2
1114,6269	latent_space	3
6633,3809	graph	1
6633,1461	graph	0
6633,7024	latent_space	2
6633,3426	latent_space	0
6633,2998	latent_space	1
6633,7234	latent_space	2
6633,7253	latent_space	2
6633,3867	latent_space	0
