node1,node2	space	relation_type
4825,7253	graph	3
4825,1600	graph	3
4825,1069	graph	3
2934,360	graph	2
1679,3481	graph	0
7474,2088	graph	3
7474,5847	graph	3
7474,3809	graph	1
7474,32	graph	3
7474,1709	graph	3
7474,5792	graph	3
7474,2282	graph	1
7474,27	latent_space	3
4630,7023	graph	1
6332,3034	graph	1
6332,1389	graph	3
6332,5271	graph	3
6332,6162	graph	1
2936,2468	graph	1
2936,3314	graph	0
2936,66	graph	1
2936,7306	graph	0
2936,740	graph	0
2936,2529	graph	3
2936,5090	graph	0
2936,887	graph	1
2936,184	graph	1
2936,6091	graph	0
1983,5691	graph	1
6149,3906	graph	0
6149,5262	graph	2
7029,548	graph	1
7029,567	latent_space	1
7174,2339	graph	2
7174,2072	graph	2
7174,1968	graph	0
7174,6397	graph	0
7174,4781	graph	0
7174,2615	graph	0
7174,2302	graph	2
7174,5160	graph	0
7174,5202	graph	1
7174,3860	graph	0
7174,984	graph	0
7174,2963	graph	2
7174,5788	graph	2
7174,304	graph	0
7174,4384	graph	2
7174,7129	graph	2
7174,138	graph	2
7174,5992	graph	1
7174,1423	graph	0
7174,4749	graph	0
7174,946	graph	2
7174,7281	graph	2
7174,4276	graph	0
7174,4814	graph	0
7174,3697	graph	0
7174,5763	graph	2
7174,4444	graph	0
7174,2492	graph	0
7174,7571	graph	2
7174,6558	graph	2
7174,407	graph	0
7174,258	graph	0
7174,2007	graph	0
7174,3880	graph	2
7174,2327	graph	2
7174,1545	graph	1
7174,3538	graph	2
7174,2396	graph	0
7174,2464	graph	2
7174,2524	graph	2
7174,3094	graph	2
7174,1961	graph	2
7174,4416	graph	2
7174,3103	graph	0
7174,6277	graph	0
7174,3757	graph	2
7174,287	graph	0
7174,7274	graph	0
7174,6426	graph	1
7174,2853	graph	1
7174,1168	graph	0
7174,1422	graph	2
7174,599	graph	0
7174,997	graph	0
7174,1199	graph	2
7174,4942	graph	2
7174,5338	graph	2
7174,4517	graph	1
7174,263	graph	1
7174,2646	graph	0
7174,1837	graph	2
7174,2085	graph	0
7174,1148	graph	2
7174,2441	graph	0
7174,2544	latent_space	0
6612,2935	graph	3
6612,231	latent_space	3
6387,2360	graph	3
6387,286	graph	2
6387,1266	graph	3
6387,3544	graph	3
6387,5550	graph	3
6387,1443	graph	3
6387,1089	graph	1
6387,2168	graph	2
6387,4265	graph	3
6387,2465	graph	3
6387,5139	graph	3
6387,2337	graph	1
468,2612	graph	0
468,5848	graph	3
468,6513	graph	0
468,3481	graph	2
5802,1362	graph	3
5802,5675	graph	3
5802,1673	graph	2
5802,686	graph	1
5802,3077	graph	3
5802,4585	graph	3
5802,114	graph	3
5802,3609	graph	3
5802,3547	graph	3
7259,3427	graph	2
7259,923	graph	2
2754,2789	graph	0
102,2593	graph	3
102,5157	graph	1
102,106	latent_space	1
32,3130	graph	2
32,7474	graph	0
32,2013	graph	0
32,2084	graph	0
32,7578	graph	3
32,4185	graph	2
32,3034	graph	1
32,6343	graph	3
32,2135	graph	3
32,2089	graph	2
32,1309	graph	2
32,6521	graph	3
32,1699	graph	0
32,946	graph	2
32,3839	graph	3
32,7151	graph	3
32,5862	graph	2
32,2145	graph	2
32,1821	graph	2
32,1923	graph	2
32,87	graph	2
32,4463	graph	2
32,2887	graph	3
32,690	graph	1
32,1548	graph	2
32,724	graph	2
32,4422	graph	0
32,7058	graph	2
32,97	graph	2
32,2640	graph	1
32,1662	graph	2
32,4263	graph	2
32,4046	graph	2
32,2168	graph	0
32,3427	graph	0
32,4470	graph	2
32,3976	graph	3
32,6416	graph	2
32,1431	graph	2
32,6383	graph	3
32,4990	graph	3
7403,2311	graph	1
7403,6061	graph	2
7403,2368	graph	2
7403,544	graph	1
7403,2741	graph	0
7403,3899	graph	1
7403,779	graph	0
7403,730	graph	0
7403,5008	graph	0
7403,4782	graph	0
7403,2540	graph	0
7403,4841	graph	0
7403,3514	graph	1
7403,2797	graph	0
7403,1475	graph	1
7403,3794	graph	0
7403,1279	graph	1
7403,361	graph	0
7403,615	graph	0
7403,1582	latent_space	0
2172,5374	graph	3
2172,3671	graph	3
2172,4982	graph	3
2172,2443	graph	3
2172,7082	graph	3
2172,2691	graph	3
2172,3304	graph	1
2172,1391	graph	3
2172,5429	graph	1
2172,2867	graph	1
2172,2412	graph	3
2172,5271	graph	3
2172,2716	graph	1
2172,3225	graph	1
621,7272	graph	3
621,919	graph	2
621,4987	graph	2
621,5866	graph	1
621,6593	graph	2
621,2534	graph	3
1718,286	graph	0
1718,2265	graph	0
4530,6479	graph	3
406,997	graph	1
406,6175	graph	3
406,127	graph	1
406,3881	graph	2
406,3915	graph	3
406,7497	graph	2
406,2937	graph	2
