node1,node2	space	relation_type
4715,6909	graph	3
4715,4253	graph	3
4715,3314	graph	0
4715,6010	graph	0
4715,485	graph	0
4715,245	graph	0
4715,5183	graph	0
4715,5430	latent_space	0
5552,2294	graph	3
5552,3809	graph	3
5552,1307	latent_space	1
5552,7024	latent_space	3
5552,3074	latent_space	3
5552,4493	latent_space	3
5552,3661	latent_space	0
5552,4290	latent_space	3
5552,1966	latent_space	3
5552,7529	latent_space	1
5552,2090	latent_space	3
5552,5626	latent_space	0
5552,5677	latent_space	3
5552,6289	latent_space	3
5552,1366	latent_space	2
5552,2650	latent_space	3
5552,6272	latent_space	2
5552,698	latent_space	3
5552,327	latent_space	2
6785,1927	graph	1
6785,3809	graph	3
6785,5909	latent_space	0
6785,3379	latent_space	0
6785,4514	latent_space	1
6785,4653	latent_space	2
6785,1243	latent_space	3
6785,573	latent_space	2
6785,4726	latent_space	3
6785,4339	latent_space	1
6785,3894	latent_space	3
6785,3009	latent_space	2
4669,3809	graph	3
4669,4981	latent_space	2
4669,3289	latent_space	1
4669,2881	latent_space	2
4669,2907	latent_space	1
4669,7107	latent_space	2
4669,5273	latent_space	3
4669,7239	latent_space	3
4669,7185	latent_space	1
4669,7568	latent_space	3
4669,1200	latent_space	2
4669,5578	latent_space	1
4669,5535	latent_space	1
4669,6955	latent_space	1
4669,3196	latent_space	1
4669,5326	latent_space	2
4669,675	latent_space	3
4669,3265	latent_space	3
4669,793	latent_space	1
4669,7592	latent_space	2
4669,3637	latent_space	3
4669,5994	latent_space	1
4669,6185	latent_space	3
4669,2469	latent_space	0
4669,2073	latent_space	1
4669,6252	latent_space	2
4669,7057	latent_space	1
4669,7435	latent_space	3
4669,3610	latent_space	0
4669,7018	latent_space	0
4669,4424	latent_space	1
4669,6606	latent_space	2
4669,1136	latent_space	2
4669,4122	latent_space	0
4669,151	latent_space	0
4669,5049	latent_space	3
4669,1833	latent_space	2
4669,1726	latent_space	0
4669,3485	latent_space	3
4669,1964	latent_space	2
4669,6000	latent_space	1
4669,2910	latent_space	0
7157,7009	graph	0
7157,5164	graph	3
7157,2291	graph	0
7157,4428	graph	0
7157,1613	latent_space	0
7157,5461	latent_space	2
7157,2410	latent_space	0
7157,1799	latent_space	3
7157,73	latent_space	0
7157,776	latent_space	2
3063,836	graph	3
3063,2826	graph	3
3063,432	graph	3
3063,3427	graph	3
3063,628	graph	3
3063,6961	graph	3
3063,4167	graph	3
3063,504	graph	3
3063,3681	graph	3
3063,3258	latent_space	2
3063,7074	latent_space	3
3063,4566	latent_space	2
3667,3610	graph	1
3667,436	latent_space	3
5689,4429	graph	0
5689,759	graph	0
5689,6766	graph	0
5689,7133	graph	0
5689,7070	latent_space	3
5045,2216	graph	3
5045,4981	latent_space	3
5045,2608	latent_space	2
5045,1219	latent_space	3
5045,2881	latent_space	3
5045,7107	latent_space	3
5045,4840	latent_space	3
5045,7239	latent_space	3
5045,1200	latent_space	1
5045,7592	latent_space	1
5045,3947	latent_space	2
5045,6252	latent_space	1
5045,3610	latent_space	0
5045,7018	latent_space	1
5045,6606	latent_space	1
5045,1136	latent_space	3
5045,4122	latent_space	1
5045,5504	latent_space	0
5045,151	latent_space	1
5045,1091	latent_space	0
5045,1833	latent_space	3
5045,1726	latent_space	0
5045,1964	latent_space	3
5045,1281	latent_space	0
5045,5809	latent_space	0
5740,3094	graph	0
5740,1484	graph	0
5740,6541	graph	0
5740,3049	graph	3
5740,417	graph	1
5740,4059	graph	3
5740,2280	graph	3
5740,5134	graph	0
5740,3959	graph	0
5740,5155	graph	3
5740,2096	graph	3
5740,6917	graph	0
5740,1838	graph	0
5740,3698	graph	3
5740,369	graph	3
5740,3659	graph	3
5740,7527	latent_space	3
5740,2534	latent_space	3
5740,7103	latent_space	1
5740,6352	latent_space	2
5740,2567	latent_space	1
5740,2880	latent_space	1
5740,4377	latent_space	3
5740,3847	latent_space	2
5740,2098	latent_space	3
5740,2596	latent_space	2
7485,5343	graph	3
7485,1199	graph	3
7485,632	graph	3
7485,3746	graph	0
7485,4929	graph	3
7485,4	graph	0
7485,3066	graph	0
7485,3481	graph	0
7485,6282	graph	3
7485,4470	graph	3
7485,3809	graph	2
7485,2991	graph	0
7485,1682	graph	3
7485,6714	graph	1
7485,3209	graph	3
7485,10	graph	3
7485,900	graph	3
7485,5347	graph	0
7485,946	graph	3
7485,457	graph	0
7485,3235	graph	3
7485,5006	graph	0
7485,2596	graph	2
7485,281	graph	3
7485,3324	graph	0
7485,6868	graph	1
7485,477	graph	3
7485,4859	graph	3
7485,3076	graph	3
7485,901	graph	0
7485,1325	graph	3
7485,4539	latent_space	0
7485,7502	latent_space	2
7485,5330	latent_space	2
7485,3261	latent_space	3
7485,4354	latent_space	0
7381,2826	graph	0
7381,1793	graph	0
7381,7326	graph	0
7381,957	graph	0
7381,996	latent_space	2
7381,7135	latent_space	0
7381,2436	latent_space	2
7381,5414	latent_space	0
3975,850	graph	3
3975,5026	graph	3
3975,3934	graph	2
3975,7571	graph	2
3975,6555	graph	0
3975,3568	graph	0
3975,1920	graph	2
3975,6609	graph	3
3975,258	graph	2
3975,2212	graph	2
3975,3621	graph	0
3975,1638	graph	2
3975,3923	graph	2
3975,4990	graph	3
3975,304	graph	0
3975,14	graph	3
3975,2369	graph	3
3975,4304	graph	3
3975,5673	latent_space	3
2023,3034	graph	0
2023,2902	graph	0
2023,1447	graph	0
2023,3478	graph	0
2023,2731	latent_space	2
2023,6072	latent_space	2
2023,6581	latent_space	2
2023,4933	latent_space	2
2023,3740	latent_space	3
2023,6850	latent_space	1
2023,2203	latent_space	2
5514,1535	graph	0
5514,7472	graph	0
5514,6635	graph	0
5514,3809	graph	0
5514,4254	latent_space	1
5514,6702	latent_space	3
5514,7219	latent_space	1
5514,7392	latent_space	3
5514,6624	latent_space	2
5514,3204	latent_space	2
5514,6837	latent_space	2
7455,98	graph	0
7455,1164	graph	0
7455,2362	graph	3
7455,4539	graph	0
7455,5330	graph	0
7455,668	graph	2
7455,2171	graph	2
7455,916	graph	3
7455,7161	graph	3
7455,1518	graph	2
7455,2803	graph	2
7455,2151	graph	0
7455,1809	graph	0
7455,2704	graph	0
7455,5171	latent_space	2
1185,5202	graph	0
1185,1557	graph	0
1185,7433	graph	0
1185,3802	graph	0
1185,3883	graph	2
1185,5655	latent_space	1
1185,4223	latent_space	2
1185,4570	latent_space	0
981,3934	graph	3
981,4279	graph	3
981,2980	graph	1
981,6050	graph	3
981,6715	graph	3
981,6276	graph	3
981,4135	graph	3
981,4474	graph	3
981,606	graph	3
981,5934	latent_space	0
981,2902	latent_space	0
981,3502	latent_space	1
981,1886	latent_space	1
398,2600	graph	0
398,6166	graph	0
398,4266	graph	0
398,1270	graph	0
398,365	graph	0
1223,2724	graph	3
1223,6326	latent_space	0
1223,6360	latent_space	2
1223,4481	latent_space	3
1223,2211	latent_space	2
4367,6518	graph	3
4367,5023	latent_space	1
4367,4151	latent_space	0
4367,667	latent_space	2
4367,4975	latent_space	0
1535,6941	graph	3
1535,5514	graph	3
1535,5019	graph	0
1535,2055	graph	0
1535,5651	graph	0
1535,5451	graph	2
1535,3809	graph	0
1535,6627	graph	0
1535,2125	graph	3
1535,6491	graph	0
1535,5750	latent_space	0
1535,4034	latent_space	2
891,349	graph	0
891,369	graph	0
891,2789	graph	0
891,2700	latent_space	1
891,3691	latent_space	1
891,5479	latent_space	0
891,3952	latent_space	0
891,3479	latent_space	0
5370,3332	graph	0
5370,569	graph	0
5370,3097	graph	0
5370,2932	latent_space	1
5370,1012	latent_space	0
5370,1358	latent_space	0
5370,6189	latent_space	0
5370,5110	latent_space	0
5370,868	latent_space	1
5130,1796	graph	0
5130,3639	graph	0
5130,1960	graph	0
5130,6970	latent_space	3
5130,4404	latent_space	1
5130,7129	latent_space	1
5130,2989	latent_space	3
5130,6114	latent_space	3
5130,2784	latent_space	2
5130,6103	latent_space	0
5130,6571	latent_space	1
5130,5556	latent_space	3
5130,6655	latent_space	3
5130,4496	latent_space	0
5130,484	latent_space	1
5130,5187	latent_space	1
5130,3444	latent_space	2
5130,2121	latent_space	3
5130,6977	latent_space	0
5130,6257	latent_space	3
5130,4072	latent_space	3
5130,4980	latent_space	0
6481,3363	graph	3
6481,3217	graph	3
6481,1029	latent_space	1
6481,3419	latent_space	2
6481,2836	latent_space	3
6481,6172	latent_space	2
3695,5837	graph	3
3695,5281	latent_space	3
3695,4662	latent_space	2
3695,5973	latent_space	3
3695,890	latent_space	1
3695,2890	latent_space	1
3695,1107	latent_space	1
3695,4050	latent_space	2
3695,5549	latent_space	1
3695,7483	latent_space	0
3695,7457	latent_space	0
3695,7276	latent_space	0
3695,5450	latent_space	1
1729,2817	graph	0
1729,7290	graph	2
1729,3559	graph	3
1729,3878	graph	3
1729,6104	graph	3
1729,4651	graph	0
1729,3719	graph	0
1729,7071	graph	0
1729,270	graph	0
1729,6708	graph	0
1729,2001	graph	3
1729,1093	graph	0
1729,5763	graph	0
1729,1967	graph	0
1729,2039	graph	0
1729,6552	graph	3
1729,2221	graph	3
1729,3543	graph	0
1729,2187	graph	0
1729,4700	graph	0
1729,6817	latent_space	2
1729,6343	latent_space	3
6600,2320	graph	3
6600,1230	graph	3
6600,7507	graph	0
6600,2493	graph	3
6600,6343	graph	3
6600,5560	graph	0
6600,1719	graph	3
6600,6282	graph	0
6600,7393	graph	3
6600,851	graph	0
6600,1548	graph	0
6600,1080	graph	0
6600,3959	graph	0
6600,150	graph	3
6600,4515	graph	3
6600,722	graph	3
6600,6416	graph	0
6600,4773	graph	0
6600,7132	graph	3
6600,7575	graph	0
6600,5489	graph	0
6600,5787	graph	3
6600,3427	graph	0
6600,6812	graph	0
6600,2957	graph	0
6600,2733	graph	3
6600,7038	graph	3
6600,563	graph	3
6600,3153	graph	1
6600,3087	graph	0
6600,2321	graph	3
6600,7433	graph	3
6600,7571	graph	0
6600,69	graph	0
6600,6320	graph	3
6600,898	graph	3
6600,3810	graph	3
6600,2777	latent_space	3
6600,5590	latent_space	2
6600,4124	latent_space	1
6600,4760	latent_space	1
6600,1170	latent_space	2
6600,5342	latent_space	2
6600,6567	latent_space	2
6600,3421	latent_space	0
6600,1520	latent_space	0
6600,1195	latent_space	0
6600,6510	latent_space	0
6600,6160	latent_space	1
6600,2857	latent_space	3
6600,6335	latent_space	1
6600,4238	latent_space	2
1567,3086	graph	0
1567,5882	graph	0
1567,2129	graph	1
1567,2112	latent_space	1
1567,2075	latent_space	3
1567,449	latent_space	2
1567,2639	latent_space	2
1567,2407	latent_space	2
1567,2719	latent_space	3
1567,6346	latent_space	3
1567,5641	latent_space	2
1567,7151	latent_space	3
1567,826	latent_space	2
1567,1866	latent_space	2
1567,433	latent_space	3
7289,1424	graph	3
7289,1639	graph	3
7289,462	graph	3
7289,3341	graph	3
7289,1267	graph	3
7289,5462	graph	3
7289,1539	graph	3
7289,1693	graph	3
7289,3901	graph	3
7289,4650	latent_space	2
7289,4926	latent_space	1
7289,3980	latent_space	1
7289,3601	latent_space	1
7289,7250	latent_space	3
7289,1620	latent_space	2
3183,5903	graph	3
3183,1335	latent_space	2
3183,6157	latent_space	1
3183,1850	latent_space	1
3183,7476	latent_space	1
3183,3254	latent_space	3
3183,1637	latent_space	1
3183,3894	latent_space	0
3183,2548	latent_space	1
2372,7300	graph	0
2372,3323	graph	0
2372,3237	graph	0
2372,287	graph	0
2372,5347	graph	0
2372,7385	graph	0
2372,7332	graph	0
2372,6538	graph	0
2372,6187	latent_space	2
2372,6121	latent_space	2
2035,3809	graph	3
2035,2138	latent_space	3
2035,5533	latent_space	2
2035,1190	latent_space	2
2035,169	latent_space	0
2035,5154	latent_space	0
2035,208	latent_space	0
2035,1130	latent_space	2
2035,7328	latent_space	0
2035,2955	latent_space	3
2035,2939	latent_space	3
2035,1496	latent_space	0
2035,4810	latent_space	3
2035,1	latent_space	1
2035,5031	latent_space	1
2035,5558	latent_space	2
2035,6288	latent_space	2
2035,3356	latent_space	1
2035,316	latent_space	0
2035,6978	latent_space	1
2035,800	latent_space	0
2035,1775	latent_space	0
2035,6865	latent_space	0
2035,4320	latent_space	1
2035,6447	latent_space	1
2035,35	latent_space	1
2035,6688	latent_space	2
2035,1901	latent_space	1
2035,4207	latent_space	3
2035,5888	latent_space	0
2035,2190	latent_space	3
2035,5044	latent_space	2
2035,3008	latent_space	0
2035,5356	latent_space	0
2035,6092	latent_space	1
2035,2161	latent_space	0
2035,6887	latent_space	2
2035,2165	latent_space	2
2035,1302	latent_space	3
2035,293	latent_space	2
2035,5620	latent_space	3
2035,940	latent_space	2
2035,5307	latent_space	1
2035,1344	latent_space	1
4725,5165	graph	2
4725,5082	graph	0
4725,4127	graph	2
4725,3748	graph	3
4725,6033	graph	3
4725,7191	graph	0
4725,1850	graph	0
4725,7012	graph	3
4725,292	graph	1
4725,4925	graph	0
4725,5344	graph	0
4725,2094	graph	0
4725,480	graph	0
4725,3472	latent_space	0
267,1383	graph	3
267,4554	latent_space	0
267,4080	latent_space	0
267,7052	latent_space	3
267,1949	latent_space	0
267,7376	latent_space	0
267,7437	latent_space	0
267,4884	latent_space	2
686,5165	graph	0
686,320	graph	3
686,3314	graph	0
686,114	graph	0
686,6909	graph	3
686,5811	graph	3
686,1680	graph	3
686,652	graph	3
686,5802	graph	0
686,2095	graph	1
686,2567	graph	0
686,7468	graph	0
686,2975	graph	0
686,1179	graph	3
686,3488	graph	0
686,1721	graph	3
686,2564	latent_space	0
686,5792	latent_space	3
686,4078	latent_space	2
686,1226	latent_space	2
686,2414	latent_space	3
686,3362	latent_space	1
686,993	latent_space	3
3524,3363	graph	0
3524,1486	graph	0
3524,4982	graph	0
3524,7122	latent_space	3
3524,4872	latent_space	2
3524,2630	latent_space	0
285,7493	graph	3
285,1284	latent_space	0
285,6691	latent_space	3
285,6021	latent_space	2
285,4832	latent_space	0
285,963	latent_space	0
285,19	latent_space	2
285,4838	latent_space	1
2541,1680	graph	3
2541,6101	graph	3
3315,6057	graph	0
3315,5921	graph	0
3315,3809	graph	0
3315,6530	graph	0
3315,4701	graph	0
3315,2825	latent_space	2
6549,5516	graph	3
6549,7082	graph	3
6549,2961	latent_space	0
6549,3496	latent_space	2
2612,3741	graph	3
2612,466	graph	3
2612,1500	graph	2
2612,6132	graph	3
2612,3809	graph	3
2612,468	graph	3
2612,3625	latent_space	3
2612,6885	latent_space	3
7214,1779	graph	3
7214,4657	latent_space	2
7214,5920	latent_space	1
