node1,node2	space	relation_type
5474,11613	graph	2
5474,18510	graph	2
18312,10425	graph	3
18312,1517	latent_space	3
18312,3595	latent_space	3
18312,2628	latent_space	3
18312,17028	latent_space	3
18312,11428	latent_space	3
18312,1067	latent_space	3
18312,1072	latent_space	3
18312,12044	latent_space	3
5909,2708	graph	2
5909,11873	latent_space	3
5909,4873	latent_space	0
5909,19110	latent_space	3
5909,19328	latent_space	0
5909,1355	latent_space	0
5909,10920	latent_space	0
5909,14965	latent_space	3
5909,18665	latent_space	0
5909,19190	latent_space	0
1826,1885	graph	1
1826,1135	latent_space	3
15162,1360	graph	0
15162,3897	latent_space	1
13163,11641	graph	1
13163,17082	latent_space	2
13163,4479	latent_space	2
13163,17466	latent_space	2
5499,11307	graph	1
5499,7246	latent_space	2
5499,7647	latent_space	1
5499,17342	latent_space	2
5499,10841	latent_space	1
5499,5447	latent_space	1
5499,19542	latent_space	1
5499,18465	latent_space	1
5499,7655	latent_space	1
3248,901	graph	2
3248,11759	graph	2
3248,18261	latent_space	2
3248,11430	latent_space	2
3248,14228	latent_space	0
7937,10484	graph	3
1765,2049	graph	2
1765,748	latent_space	2
1765,16806	latent_space	0
1765,12546	latent_space	2
1765,1168	latent_space	2
1765,16346	latent_space	2
1765,1804	latent_space	2
6220,18645	graph	2
6220,11907	graph	2
6220,5048	graph	2
6220,17955	latent_space	0
17715,7140	graph	2
17715,4380	latent_space	1
17715,254	latent_space	3
4662,15188	graph	2
4662,8941	latent_space	0
4662,817	latent_space	3
3777,4717	graph	2
3777,184	latent_space	3
3777,44	latent_space	3
3777,13276	latent_space	3
3777,14056	latent_space	0
11487,17105	graph	3
11487,15682	graph	2
11487,14353	graph	2
11487,2955	latent_space	3
11487,12217	latent_space	3
13210,5435	graph	2
13210,15650	latent_space	2
13210,6966	latent_space	2
13210,16920	latent_space	0
13210,6887	latent_space	0
2746,16570	graph	2
2746,12232	latent_space	1
6840,7579	graph	2
6840,12000	graph	2
6840,6141	graph	1
6840,18760	latent_space	3
6840,15113	latent_space	1
17844,17813	graph	1
2764,2112	graph	2
2764,6361	latent_space	3
