node1,node2	space	relation_type
18805,1144	graph	0
3506,10857	graph	3
17980,18068	graph	2
16941,1920	graph	3
10550,5089	graph	0
10550,35	latent_space	3
15758,6979	graph	1
15601,7387	graph	1
15601,14519	graph	1
15601,13471	graph	0
15601,8058	graph	1
15601,10107	graph	1
17978,10718	graph	1
17978,953	graph	0
5925,2759	graph	0
18836,8301	graph	0
18836,8509	graph	0
18836,1635	graph	1
18836,4836	graph	0
7724,10846	graph	1
9434,12219	graph	0
9434,9998	graph	0
5862,10375	graph	1
571,10107	graph	1
8964,16896	graph	1
10965,13046	graph	3
4977,2140	graph	0
4977,19111	graph	2
4977,19151	graph	2
4977,19244	graph	0
4977,13073	graph	2
4977,17972	graph	0
4977,878	graph	2
4977,5492	graph	2
4977,17229	graph	3
4977,6708	graph	2
4977,18324	graph	2
4977,7394	graph	0
9147,8879	graph	2
6710,2361	graph	0
6710,18871	graph	0
5370,17876	graph	2
6203,1205	graph	0
6203,7236	latent_space	0
6203,6679	latent_space	0
17571,8956	graph	1
17571,9673	latent_space	2
17571,1475	latent_space	2
17571,16777	latent_space	2
17571,1469	latent_space	2
17571,11273	latent_space	2
17571,1470	latent_space	2
17571,13025	latent_space	2
17571,335	latent_space	2
17571,4824	latent_space	2
17571,4823	latent_space	2
17571,4828	latent_space	2
17571,1247	latent_space	2
17571,4822	latent_space	2
17571,334	latent_space	2
17571,4826	latent_space	2
17571,11530	latent_space	2
17571,10299	latent_space	2
17571,8977	latent_space	2
17571,1473	latent_space	2
17571,4825	latent_space	2
17571,8979	latent_space	2
17571,9672	latent_space	2
17571,12723	latent_space	2
17571,5088	latent_space	2
17571,9880	latent_space	2
17571,3304	latent_space	2
17571,14821	latent_space	2
17571,8978	latent_space	2
17571,4821	latent_space	2
17571,4827	latent_space	2
17571,1609	latent_space	2
17571,336	latent_space	2
17571,13340	latent_space	2
17571,10300	latent_space	2
17571,17730	latent_space	2
4392,15577	graph	3
4392,18817	graph	2
849,18811	graph	3
6588,1637	graph	3
10438,11424	graph	1
15506,4966	graph	0
15506,1805	graph	0
15506,18177	graph	0
15506,10686	graph	2
15506,8148	graph	2
15506,13757	graph	2
15506,18396	graph	2
15506,11588	graph	0
15506,19411	graph	0
15506,1137	graph	2
15506,9177	graph	0
15842,7018	graph	0
18982,996	graph	3
18982,14660	graph	1
6768,11116	graph	2
6768,5748	latent_space	1
6768,4298	latent_space	1
16029,13980	graph	0
16029,2456	graph	0
16029,15849	graph	0
16029,3405	graph	1
18366,15841	graph	3
2787,6352	graph	1
2787,8576	graph	0
2787,7861	graph	0
15214,5402	graph	2
15214,7222	graph	3
15214,8059	latent_space	3
15214,11542	latent_space	3
15214,7468	latent_space	3
15214,10069	latent_space	3
5888,1761	graph	2
5888,18743	graph	2
5888,2612	graph	0
5888,17176	graph	2
8173,13529	graph	3
8173,12841	graph	0
8173,1602	graph	3
8173,7199	graph	1
3887,2361	graph	0
5517,4411	graph	2
7606,17596	graph	0
4395,12786	graph	3
1885,15542	graph	3
1885,18501	graph	2
1885,2165	graph	3
1885,1826	graph	0
1885,10643	graph	2
1885,6417	graph	1
1885,8227	graph	1
9924,14139	graph	3
19216,14288	graph	3
19216,13525	graph	3
19611,6642	graph	2
5291,13204	graph	0
5291,5432	graph	2
8151,13231	graph	2
18371,15982	graph	0
10242,15479	graph	3
10339,17653	graph	2
10339,14640	graph	3
9111,8855	graph	3
7917,11892	graph	1
2336,15788	graph	1
2336,3607	graph	3
2336,5440	graph	3
2336,19040	graph	3
2336,4198	graph	3
2336,8629	graph	3
2336,3062	graph	3
2336,16720	graph	1
2336,7103	graph	0
2336,9910	graph	3
2336,7629	graph	1
2336,17587	graph	3
2336,5467	graph	3
2336,18175	graph	1
2336,7952	graph	3
2336,15925	graph	1
2336,9785	graph	3
2336,9589	graph	3
2336,18949	graph	3
2336,7659	graph	1
9988,2287	graph	3
9988,12173	graph	0
9988,15411	graph	1
9988,2928	graph	0
9988,14821	graph	0
9988,3508	graph	0
3337,1564	graph	0
3337,1470	graph	0
3337,410	graph	0
3337,11442	graph	1
3337,39	graph	1
3337,11125	graph	1
3337,16951	graph	0
3337,2178	graph	1
3337,5839	graph	3
3337,372	graph	1
3337,7665	graph	3
3337,3165	graph	1
3337,18728	graph	0
3337,11334	graph	1
3337,17170	graph	1
3337,12904	graph	0
3337,5126	graph	0
3337,13737	graph	1
3337,10275	graph	0
3337,1565	graph	0
3337,8859	graph	0
3337,8352	graph	3
12085,11016	graph	3
12085,11052	graph	3
12085,7716	graph	2
6987,7398	graph	1
12364,10425	graph	2
12364,9769	graph	3
12364,2295	graph	2
12364,3460	latent_space	3
12364,1934	latent_space	3
12364,11101	latent_space	3
17579,16829	graph	1
16320,17653	graph	2
289,1345	graph	1
12818,12836	graph	2
12818,5416	graph	1
12818,855	graph	3
12818,6715	graph	3
12818,8653	graph	3
12818,4071	graph	1
12818,16532	graph	1
12818,13267	graph	3
12818,6391	graph	3
19236,2559	graph	2
19236,15735	graph	0
1519,8626	graph	2
18001,14288	graph	2
18001,16415	graph	1
7326,302	graph	1
7326,6228	graph	3
7326,9965	graph	3
7326,14886	graph	1
7326,15278	graph	1
7326,16925	graph	3
7326,6862	graph	1
7326,7621	graph	3
7326,7191	graph	3
7326,8924	graph	3
7326,19249	graph	1
7326,11894	graph	1
7326,8204	graph	1
7326,4826	graph	1
7326,2140	graph	1
7326,17487	graph	1
7326,6048	graph	0
7326,9689	graph	1
7326,2549	graph	1
7326,18891	graph	3
7326,17420	graph	1
7326,13439	graph	1
7326,14535	graph	1
7326,19114	graph	3
7326,4058	graph	1
7326,16805	graph	0
7326,11539	graph	1
7326,1145	graph	0
7326,7282	graph	3
7326,16681	graph	1
10850,11769	graph	3
10850,2717	graph	2
10850,13909	graph	1
10850,9299	graph	3
10850,13815	graph	2
10850,18624	graph	2
10850,7356	graph	2
10850,4986	graph	3
10850,8164	graph	2
10850,18419	graph	2
10850,15778	graph	3
10850,8207	graph	2
10850,13981	graph	2
10850,5196	graph	3
10850,12650	graph	2
12813,5896	graph	3
16530,7136	graph	0
12688,18778	graph	3
12688,5965	latent_space	2
3655,11355	graph	1
1639,1974	graph	2
1639,6293	graph	0
1639,15121	graph	0
1639,6918	graph	0
1639,17662	graph	2
1639,14263	graph	2
1639,15449	graph	0
1639,4443	graph	2
1639,8319	graph	0
1639,8229	graph	2
1639,11338	graph	2
1639,15328	graph	0
1639,6853	graph	2
1639,15981	graph	2
1639,18745	graph	2
1639,10124	graph	2
1639,14991	graph	2
8589,9046	graph	0
10822,11367	graph	0
19672,18680	graph	2
4636,14275	graph	2
8422,9561	graph	1
8936,16477	graph	0
13213,992	graph	3
13213,3331	graph	1
10834,10507	graph	2
10834,19263	graph	0
9261,4086	graph	0
9261,16676	graph	1
9261,16788	latent_space	0
6956,8225	graph	0
4934,10223	graph	3
4934,4840	graph	3
208,10743	graph	3
7539,16396	graph	1
484,3517	graph	3
9067,409	graph	2
10221,18811	graph	2
10221,16127	graph	2
2269,8154	graph	2
2269,12080	graph	1
6677,3107	graph	1
9645,16195	graph	3
9645,11621	graph	3
12633,12607	graph	1
16045,5442	graph	2
16045,10416	graph	0
2988,6811	graph	0
2988,11507	graph	1
2988,2122	graph	1
2988,13179	graph	0
2988,3018	graph	0
2988,6320	graph	1
2988,948	graph	0
2988,2999	graph	3
18466,15063	graph	1
14553,16054	graph	3
14553,9181	graph	3
14553,4045	graph	3
200,282	graph	3
200,8998	graph	3
200,8741	graph	1
19313,5568	graph	1
2347,2008	graph	0
1967,14292	graph	2
4369,10594	graph	2
4369,8464	graph	1
12974,15900	graph	0
12974,13754	graph	2
12974,5368	graph	1
12974,16754	graph	2
12974,5440	graph	2
12974,16993	graph	2
12974,15066	graph	1
12974,4544	graph	2
12974,17573	graph	0
12974,4563	graph	0
12974,5262	graph	0
12974,6230	graph	2
12974,7123	graph	2
12974,14008	graph	2
12974,10265	graph	0
12974,17147	graph	0
12974,7399	graph	0
12974,7103	graph	0
12974,16843	graph	1
12974,9461	graph	2
12974,10890	graph	1
12974,18614	graph	1
12974,2128	graph	0
12974,16528	graph	0
12974,7240	graph	0
12974,1474	graph	1
12974,12349	graph	2
12974,7784	graph	2
12974,1942	graph	2
12974,11469	graph	1
12974,14765	graph	1
12974,1045	graph	0
12974,14175	graph	0
12974,17018	graph	2
12974,18742	graph	1
12974,7708	graph	1
17044,10204	graph	1
17044,5790	graph	0
17044,18976	graph	1
6163,9026	graph	1
6606,5494	graph	3
6551,18572	graph	0
9110,17187	graph	0
9110,5307	graph	3
9110,11709	graph	0
9110,1377	graph	1
9110,14924	graph	0
