node1,node2	space	relation_type
12504,12573	graph	1
12504,14859	latent_space	0
12504,7748	latent_space	3
12504,189	latent_space	3
8790,4757	graph	2
8790,16002	graph	1
8790,3925	graph	3
8790,9766	graph	0
8790,14890	graph	1
8790,16503	graph	2
8790,14437	graph	3
15620,16993	graph	0
15620,17053	graph	3
15620,15671	graph	2
15620,11177	graph	0
15620,12353	graph	3
15620,16033	graph	0
15620,1865	graph	1
15620,16528	graph	3
15620,18903	graph	0
15620,15155	graph	0
15620,9264	graph	0
15620,15722	graph	3
15620,709	graph	2
15620,8855	graph	3
15620,18347	graph	0
15620,4464	latent_space	1
17097,4284	graph	2
17097,13568	latent_space	0
17097,14262	latent_space	3
17097,16976	latent_space	3
17097,11341	latent_space	2
17097,16037	latent_space	2
17097,14840	latent_space	3
17097,17009	latent_space	3
17097,4395	latent_space	1
17097,14145	latent_space	2
17097,17791	latent_space	1
17097,11880	latent_space	3
17097,2810	latent_space	2
17097,740	latent_space	0
17097,8002	latent_space	1
17604,5410	graph	3
17604,177	graph	2
17604,7345	graph	2
17604,7286	graph	1
5126,3337	graph	0
5126,18141	graph	0
5126,7665	graph	0
2582,3187	graph	0
2582,16073	graph	2
2582,12778	latent_space	0
2582,6123	latent_space	0
2746,16570	graph	1
2746,16713	latent_space	3
2746,17131	latent_space	0
2746,12302	latent_space	3
2746,17784	latent_space	1
15153,13616	graph	0
15153,17499	graph	0
15153,6611	graph	0
15153,18977	graph	0
15153,9992	graph	0
4420,8445	graph	3
4420,12061	latent_space	1
4420,6016	latent_space	1
4420,10166	latent_space	1
4420,10102	latent_space	3
4420,14248	latent_space	2
4420,14151	latent_space	2
4420,1093	latent_space	0
4420,17293	latent_space	1
4420,16359	latent_space	1
4420,17572	latent_space	3
4420,1372	latent_space	2
4420,5438	latent_space	1
4699,1402	graph	1
4699,12079	latent_space	0
4699,14907	latent_space	2
4699,18336	latent_space	1
4699,4105	latent_space	3
4699,18103	latent_space	3
4699,18088	latent_space	0
4699,18557	latent_space	0
4699,18500	latent_space	3
13900,18754	graph	3
13900,13590	latent_space	0
13900,8411	latent_space	0
13900,15619	latent_space	3
13900,3233	latent_space	2
6401,7408	graph	0
6401,17664	graph	3
6401,13810	latent_space	1
6401,16336	latent_space	3
6401,12842	latent_space	0
6401,9582	latent_space	3
6401,14610	latent_space	0
6401,15905	latent_space	2
6401,11100	latent_space	2
6401,6667	latent_space	2
8617,13505	graph	3
8617,14174	graph	3
8617,13586	graph	3
9935,10065	graph	2
9935,8626	graph	2
9935,7522	latent_space	1
9935,17188	latent_space	3
9935,5183	latent_space	3
9935,12041	latent_space	0
9935,14625	latent_space	0
18634,11034	graph	1
18634,14906	latent_space	3
18634,3529	latent_space	3
18634,13274	latent_space	0
18634,6144	latent_space	0
18634,111	latent_space	0
18634,2853	latent_space	1
18634,17957	latent_space	2
18634,14257	latent_space	2
18634,17084	latent_space	3
18634,6067	latent_space	3
18634,15267	latent_space	2
18634,6082	latent_space	0
13821,13940	graph	0
13821,1394	graph	0
13821,16779	graph	0
13821,11211	graph	0
13821,8855	graph	0
16189,17519	graph	1
16189,18535	latent_space	2
16189,19389	latent_space	2
16189,17503	latent_space	3
16189,1746	latent_space	3
16189,10784	latent_space	3
16189,10876	latent_space	1
16189,7472	latent_space	1
16189,9621	latent_space	0
16189,1528	latent_space	1
16189,852	latent_space	1
6584,11201	graph	1
6584,13984	latent_space	3
6584,2942	latent_space	0
6584,8228	latent_space	1
6584,2894	latent_space	2
6584,9236	latent_space	2
6584,11838	latent_space	0
6584,560	latent_space	3
6584,5874	latent_space	3
6584,12226	latent_space	0
6584,18045	latent_space	2
6584,8729	latent_space	1
6584,18947	latent_space	0
6584,12221	latent_space	3
3303,7360	graph	0
3303,18050	graph	0
3303,18373	graph	0
3303,7398	graph	0
16783,14936	graph	2
16783,7646	graph	2
16783,14121	graph	3
16783,15134	graph	3
16783,12277	graph	2
16783,14876	graph	3
16783,18830	graph	2
16783,9231	latent_space	3
1066,18841	graph	1
1066,8254	latent_space	1
1066,6588	latent_space	3
1066,14847	latent_space	2
1066,5007	latent_space	2
1066,17883	latent_space	3
1066,11313	latent_space	3
12711,10785	graph	1
12711,18897	graph	1
12711,4402	graph	3
12711,13305	graph	3
12711,18960	graph	3
12711,18809	graph	1
12711,18807	graph	1
12711,15274	graph	3
12711,9993	graph	1
12711,12125	graph	3
12711,4262	graph	1
12711,12015	graph	1
12711,12077	graph	1
12711,2615	latent_space	1
6480,4625	graph	1
6480,4335	latent_space	3
6480,8212	latent_space	2
6480,8532	latent_space	0
6480,4204	latent_space	1
6480,161	latent_space	3
18443,11329	graph	0
18443,2666	graph	0
18443,8525	latent_space	1
3506,10857	graph	1
3506,18308	latent_space	1
3506,17712	latent_space	2
3506,13165	latent_space	0
3506,19211	latent_space	0
3506,16657	latent_space	3
3506,16795	latent_space	1
3506,9592	latent_space	0
3506,9586	latent_space	0
5242,18737	graph	1
5242,2886	graph	2
5242,6125	graph	1
5242,9280	graph	3
5242,54	graph	2
5242,6280	graph	2
9330,2142	graph	1
9330,9293	latent_space	3
9330,4569	latent_space	3
9330,18693	latent_space	3
9330,15771	latent_space	3
9330,15485	latent_space	1
1888,18881	graph	1
19341,7821	graph	0
19341,11731	graph	0
19341,10160	graph	0
19341,10259	latent_space	1
9832,18217	graph	1
9832,11498	latent_space	2
9832,13216	latent_space	0
9832,6439	latent_space	1
9832,5495	latent_space	3
9832,3843	latent_space	0
9832,9382	latent_space	3
9832,5630	latent_space	2
9832,9095	latent_space	0
2476,8303	graph	1
2476,7330	latent_space	3
2476,520	latent_space	0
2991,11892	graph	1
2991,11663	latent_space	2
2991,1214	latent_space	3
2991,13736	latent_space	0
2991,15358	latent_space	3
2991,15724	latent_space	1
2991,16510	latent_space	3
2991,215	latent_space	3
2991,18045	latent_space	1
2991,558	latent_space	0
2991,19486	latent_space	1
2991,9583	latent_space	0
2991,18180	latent_space	2
2991,2643	latent_space	2
17983,15975	graph	0
17983,2896	graph	0
17983,4168	latent_space	1
17983,4094	latent_space	0
17983,11950	latent_space	3
14911,3753	graph	2
14911,8526	graph	0
14911,12034	latent_space	2
14911,9731	latent_space	0
14911,8618	latent_space	2
14911,14055	latent_space	1
14911,17557	latent_space	2
14911,10666	latent_space	0
6429,17441	graph	0
6429,13787	graph	0
6429,12777	latent_space	1
6429,14097	latent_space	3
6429,7692	latent_space	0
7692,10588	graph	3
7692,1407	graph	2
7692,6429	latent_space	3
177,17604	graph	1
4915,7228	graph	3
4915,19301	latent_space	2
4915,14494	latent_space	1
4915,3058	latent_space	3
4915,17680	latent_space	1
4915,4726	latent_space	2
4915,2961	latent_space	0
4915,3769	latent_space	0
4915,13792	latent_space	2
4915,13758	latent_space	0
4915,15177	latent_space	2
12427,294	graph	3
12427,1917	graph	2
12427,1462	graph	2
12427,9268	graph	2
12427,14664	graph	2
12427,18532	graph	2
12427,6282	graph	2
12427,16574	graph	2
12427,483	graph	2
12427,1570	graph	2
14050,15683	graph	1
14050,5680	latent_space	0
14050,4241	latent_space	3
14050,7256	latent_space	0
14050,2173	latent_space	0
14050,15009	latent_space	2
14050,16711	latent_space	0
14050,10496	latent_space	1
14050,10954	latent_space	2
14050,6678	latent_space	1
14050,12521	latent_space	0
14050,4457	latent_space	0
17922,18858	graph	0
17922,17600	graph	2
17922,10209	latent_space	3
17922,4519	latent_space	3
17922,1408	latent_space	1
17922,13651	latent_space	2
17922,15905	latent_space	1
17922,18355	latent_space	2
17922,3293	latent_space	3
16718,3582	graph	1
16718,18540	latent_space	3
16718,17580	latent_space	3
16718,8954	latent_space	1
16718,4905	latent_space	3
16718,8994	latent_space	0
16718,14550	latent_space	2
16718,5244	latent_space	2
16718,10363	latent_space	1
16718,12438	latent_space	3
5836,370	graph	0
5836,145	graph	0
5836,7070	latent_space	1
5836,17202	latent_space	2
5836,17782	latent_space	1
5836,6183	latent_space	0
5836,3226	latent_space	3
5836,2192	latent_space	3
5836,1079	latent_space	1
5836,618	latent_space	3
5836,7858	latent_space	2
5836,16922	latent_space	1
5836,17554	latent_space	3
5836,18916	latent_space	0
5836,11545	latent_space	0
5836,3976	latent_space	3
5836,10428	latent_space	2
5836,12335	latent_space	2
1247,3231	graph	3
1247,12437	graph	0
11729,101	graph	0
11729,16250	graph	0
11729,6049	latent_space	0
11729,1090	latent_space	1
11729,12384	latent_space	0
11729,16962	latent_space	1
11729,14231	latent_space	1
11729,12812	latent_space	1
15020,4552	graph	3
15020,11653	graph	0
15020,18996	graph	1
15020,7674	graph	2
15020,15176	graph	0
15020,8489	graph	3
15020,9900	graph	3
15020,3538	graph	3
15020,9161	latent_space	0
15020,12365	latent_space	1
11451,18722	graph	0
11451,10397	graph	0
11451,18216	graph	0
11451,18508	graph	0
11451,2128	graph	0
13655,10573	graph	3
13655,17933	graph	1
13655,16676	graph	1
13655,12353	graph	1
13655,767	graph	1
13655,18728	graph	1
13655,6749	graph	1
13655,6572	graph	3
13655,10422	graph	1
13655,6697	graph	3
13655,1474	graph	1
13655,6	graph	1
7511,152	graph	0
7511,1439	graph	3
7511,5594	graph	3
7511,18840	graph	0
7511,7243	graph	0
4540,12075	graph	1
4540,620	graph	1
4540,7587	graph	2
4540,15031	graph	1
4540,13564	graph	3
4540,3886	graph	0
4540,3411	graph	2
4540,2495	graph	3
