node1,node2	space	relation_type
130,24	graph	3
130,53	latent_space	3
130,126	latent_space	3
130,98	latent_space	2
127,56	graph	0
127,153	graph	0
127,23	graph	3
127,31	graph	2
127,171	graph	1
127,129	graph	1
127,62	graph	3
127,55	graph	3
127,84	graph	1
127,105	latent_space	3
127,26	latent_space	0
127,152	latent_space	3
127,30	latent_space	1
42,34	graph	3
42,93	graph	3
42,39	latent_space	1
110,56	graph	0
110,57	graph	2
61,56	graph	0
61,84	graph	2
61,29	latent_space	2
61,123	latent_space	1
61,60	latent_space	3
162,29	graph	1
162,66	graph	1
162,86	latent_space	2
147,23	graph	1
147,56	graph	1
147,70	graph	1
147,84	graph	1
147,3	latent_space	3
147,64	latent_space	1
55,173	graph	0
55,116	graph	2
55,56	graph	0
55,127	graph	0
104,56	graph	0
104,41	graph	0
104,23	latent_space	3
104,58	latent_space	3
104,62	latent_space	1
104,105	latent_space	0
104,34	latent_space	2
155,56	graph	0
155,172	latent_space	0
155,133	latent_space	2
155,177	latent_space	2
158,73	graph	0
158,169	latent_space	2
158,163	latent_space	1
158,91	latent_space	0
158,78	latent_space	1
77,56	graph	0
77,32	latent_space	3
77,98	latent_space	3
93,42	graph	0
93,56	graph	0
93,33	latent_space	1
93,37	latent_space	3
142,56	graph	0
142,69	latent_space	3
142,11	latent_space	0
18,139	graph	0
18,126	graph	0
18,21	latent_space	0
18,129	latent_space	1
18,83	latent_space	2
122,167	graph	2
122,96	latent_space	0
122,173	latent_space	3
122,149	latent_space	0
85,111	graph	2
85,16	graph	0
85,56	graph	0
85,100	latent_space	3
85,148	latent_space	3
85,90	latent_space	3
85,9	latent_space	1
19,56	graph	0
19,105	latent_space	2
19,57	latent_space	1
143,56	graph	0
143,32	latent_space	0
143,100	latent_space	0
143,167	latent_space	2
143,84	latent_space	1
143,103	latent_space	2
1,80	graph	2
1,108	latent_space	3
1,22	latent_space	2
34,7	graph	3
34,56	graph	0
34,66	graph	1
34,42	graph	0
34,78	graph	3
34,50	graph	3
34,84	graph	1
34,137	latent_space	2
34,58	latent_space	3
34,152	latent_space	0
34,37	latent_space	2
34,104	latent_space	1
97,29	graph	1
97,56	graph	0
124,56	graph	0
124,89	latent_space	1
178,56	graph	0
178,133	graph	2
178,75	latent_space	0
178,14	latent_space	3
178,165	latent_space	0
89,151	graph	0
89,56	graph	0
89,124	latent_space	2
73,158	graph	3
73,66	graph	1
73,80	latent_space	0
73,10	latent_space	1
73,57	latent_space	3
73,30	latent_space	2
73,40	latent_space	3
88,102	graph	2
88,58	graph	2
88,173	latent_space	0
23,147	graph	2
23,56	graph	0
23,127	graph	0
23,84	graph	0
23,58	latent_space	2
23,62	latent_space	1
23,104	latent_space	0
23,70	latent_space	3
23,91	latent_space	3
10,108	graph	1
10,20	latent_space	0
10,138	latent_space	1
10,22	latent_space	1
10,40	latent_space	3
