node1,node2	space	relation_type
21,36	graph	3
21,56	graph	2
21,60	graph	2
21,88	latent_space	2
21,61	latent_space	2
21,81	latent_space	2
7,14	graph	2
7,34	graph	2
7,104	latent_space	1
7,83	latent_space	3
7,1	latent_space	1
7,69	latent_space	1
165,57	graph	0
165,56	graph	0
165,15	graph	0
165,78	latent_space	0
165,49	latent_space	0
165,89	latent_space	0
148,159	graph	0
148,146	graph	2
148,49	latent_space	2
55,116	graph	1
55,56	graph	0
55,127	graph	2
55,173	graph	2
55,49	latent_space	0
55,89	latent_space	2
174,15	graph	0
174,49	latent_space	0
174,24	latent_space	0
174,89	latent_space	0
94,11	graph	1
94,56	graph	1
94,99	graph	3
94,104	latent_space	1
94,83	latent_space	3
94,69	latent_space	1
90,56	graph	2
90,140	graph	3
90,61	latent_space	3
90,64	latent_space	3
90,69	latent_space	2
102,88	graph	0
102,66	graph	0
102,58	graph	0
102,49	latent_space	0
102,89	latent_space	0
35,56	graph	1
35,104	latent_space	1
35,83	latent_space	3
35,69	latent_space	1
2,8	graph	0
2,3	latent_space	1
2,25	latent_space	0
2,8	latent_space	0
2,99	latent_space	0
54,125	graph	0
54,56	graph	0
54,3	latent_space	0
54,25	latent_space	0
103,56	graph	0
103,78	latent_space	2
103,49	latent_space	0
103,89	latent_space	0
110,57	graph	0
110,56	graph	0
110,78	latent_space	0
110,49	latent_space	0
110,89	latent_space	1
107,108	graph	2
107,49	latent_space	2
41,118	graph	3
41,56	graph	1
41,84	graph	1
41,66	graph	0
41,104	graph	1
41,59	latent_space	1
41,25	latent_space	1
41,83	latent_space	1
41,8	latent_space	3
79,56	graph	2
79,82	graph	2
79,99	graph	3
79,61	latent_space	3
79,64	latent_space	3
79,69	latent_space	2
109,56	graph	0
109,3	latent_space	1
109,25	latent_space	0
109,8	latent_space	0
109,99	latent_space	0
169,56	graph	0
169,49	latent_space	2
169,19	latent_space	0
125,54	graph	3
125,56	graph	1
125,25	latent_space	1
125,83	latent_space	1
125,8	latent_space	1
127,153	graph	2
127,62	graph	0
127,129	graph	2
127,171	graph	2
127,23	graph	2
127,55	graph	1
127,56	graph	0
127,84	graph	0
127,31	graph	0
127,49	latent_space	0
127,89	latent_space	2
120,156	graph	1
120,140	graph	1
120,78	latent_space	0
120,49	latent_space	0
120,89	latent_space	0
48,141	graph	3
48,74	graph	3
48,104	latent_space	1
48,83	latent_space	3
48,69	latent_space	1
32,56	graph	0
32,78	latent_space	0
32,49	latent_space	0
32,89	latent_space	0
113,171	graph	2
113,172	graph	2
113,78	latent_space	0
113,49	latent_space	0
113,89	latent_space	1
180,66	graph	0
180,84	graph	0
180,47	graph	0
180,49	latent_space	2
108,72	graph	0
108,10	graph	0
108,107	graph	1
108,11	graph	0
108,45	graph	2
108,78	latent_space	0
108,49	latent_space	0
108,89	latent_space	1
4,66	graph	1
4,164	graph	3
4,146	graph	3
4,104	latent_space	1
4,83	latent_space	3
4,69	latent_space	1
166,56	graph	0
166,78	latent_space	0
166,49	latent_space	0
166,89	latent_space	0
38,56	graph	1
38,104	latent_space	1
