node1,node2	space	relation_type
164,146	graph	1
164,4	graph	3
164,178	latent_space	0
164,136	latent_space	1
182,29	graph	1
60,36	graph	1
60,16	graph	0
60,21	graph	1
95,46	graph	0
95,66	graph	1
95,76	graph	2
95,157	graph	0
95,39	latent_space	0
95,62	latent_space	1
95,0	latent_space	1
95,57	latent_space	1
89,151	graph	3
89,56	graph	3
79,99	graph	0
79,82	graph	3
79,56	graph	3
79,9	latent_space	0
40,24	graph	0
40,146	latent_space	1
40,82	latent_space	2
40,165	latent_space	1
150,50	graph	1
150,159	graph	1
150,56	graph	1
133,82	graph	1
133,64	graph	1
133,178	graph	1
133,16	graph	0
133,73	latent_space	0
133,115	latent_space	1
133,138	latent_space	2
169,56	graph	3
169,93	latent_space	3
50,34	graph	3
50,68	graph	1
50,150	graph	2
39,56	graph	0
39,83	graph	0
39,140	graph	0
39,41	latent_space	2
39,95	latent_space	3
39,180	latent_space	2
39,86	latent_space	2
39,56	latent_space	0
108,107	graph	2
108,10	graph	3
108,45	graph	1
108,11	graph	0
108,72	graph	2
108,179	latent_space	1
108,98	latent_space	0
108,37	latent_space	3
106,9	graph	0
106,131	latent_space	2
106,15	latent_space	3
106,143	latent_space	1
106,51	latent_space	1
106,68	latent_space	2
106,2	latent_space	3
106,72	latent_space	2
59,159	graph	2
59,16	graph	2
59,56	graph	2
114,49	graph	1
54,56	graph	2
54,125	graph	2
54,173	latent_space	0
54,148	latent_space	3
180,66	graph	1
180,47	graph	0
180,84	graph	1
180,41	latent_space	0
180,39	latent_space	1
180,86	latent_space	1
180,56	latent_space	1
176,80	graph	3
11,94	graph	3
11,56	graph	3
11,108	graph	3
119,56	graph	2
119,58	graph	3
119,85	latent_space	3
36,60	graph	2
36,21	graph	2
36,25	latent_space	0
65,15	graph	0
65,56	graph	0
65,57	graph	0
65,48	latent_space	3
65,144	latent_space	0
65,104	latent_space	1
65,81	latent_space	0
38,56	graph	3
41,66	graph	1
41,118	graph	0
41,84	graph	1
41,56	graph	1
41,104	graph	3
41,180	latent_space	3
41,86	latent_space	3
41,56	latent_space	1
41,39	latent_space	1
41,42	latent_space	0
161,116	graph	0
161,56	graph	0
161,172	latent_space	2
13,58	graph	3
13,15	latent_space	0
13,2	latent_space	0
153,127	graph	3
153,84	graph	1
153,56	graph	3
153,1	latent_space	2
153,27	latent_space	1
109,56	graph	3
109,78	latent_space	3
151,89	graph	0
151,66	graph	1
151,152	graph	1
151,34	latent_space	1
151,167	latent_space	1
151,73	latent_space	2
151,163	latent_space	1
151,22	latent_space	1
151,115	latent_space	2
33,56	graph	3
88,102	graph	0
88,58	graph	2
88,123	latent_space	1
105,144	graph	0
105,48	latent_space	1
105,10	latent_space	2
105,58	latent_space	3
72,108	graph	1
72,131	latent_space	3
72,15	latent_space	1
72,101	latent_space	2
72,106	latent_space	1
72,68	latent_space	2
72,2	latent_space	1
72,143	latent_space	1
100,131	graph	1
58,13	graph	0
58,0	graph	0
58,163	graph	0
58,81	graph	0
58,88	graph	1
58,102	graph	0
58,119	graph	0
58,63	graph	0
58,48	latent_space	1
58,10	latent_space	2
58,105	latent_space	0
66,131	graph	0
66,34	graph	2
66,41	graph	2
66,162	graph	0
66,151	graph	2
66,73	graph	2
66,80	graph	2
66,4	graph	3
66,95	graph	2
66,171	graph	3
66,180	graph	2
66,86	graph	2
66,102	graph	0
66,64	latent_space	3
129,127	graph	3
129,171	graph	3
129,56	graph	3
129,102	latent_space	1
101,5	graph	2
101,131	latent_space	1
101,68	latent_space	0
101,72	latent_space	1
128,56	graph	3
128,160	latent_space	3
128,90	latent_space	0
77,56	graph	3
77,93	latent_space	2
77,140	latent_space	2
61,84	graph	0
61,56	graph	2
61,91	latent_space	3
57,15	graph	1
57,67	graph	1
57,110	graph	2
57,165	graph	1
57,22	graph	2
57,56	graph	0
57,170	graph	2
57,65	graph	3
57,152	latent_space	3
57,62	latent_space	1
57,0	latent_space	3
57,95	latent_space	2
142,56	graph	3
145,173	graph	0
145,168	graph	3
145,134	latent_space	1
145,74	latent_space	0
148,146	graph	3
148,159	graph	2
148,54	latent_space	0
20,15	graph	0
20,16	graph	0
20,115	graph	2
20,5	graph	0
20,26	latent_space	0
20,104	latent_space	0
126,29	graph	0
126,16	graph	2
126,18	graph	2
126,112	latent_space	2
87,116	graph	0
87,56	graph	3
87,24	latent_space	1
123,16	graph	2
123,88	latent_space	2
123,44	latent_space	1
166,56	graph	3
30,146	graph	1
30,159	graph	3
30,56	graph	0
30,127	latent_space	2
30,177	latent_space	2
30,167	latent_space	2
35,56	graph	3
63,56	graph	3
63,58	graph	3
81,56	graph	0
81,58	graph	3
81,103	latent_space	2
81,144	latent_space	3
81,104	latent_space	1
81,65	latent_space	3
146,28	graph	0
146,164	graph	2
146,148	graph	0
146,78	graph	0
146,4	graph	3
146,56	graph	2
146,117	graph	2
146,30	graph	2
146,40	latent_space	2
146,82	latent_space	2
146,165	latent_space	1
8,173	graph	1
8,2	graph	1
8,24	latent_space	2
55,127	graph	3
55,173	graph	1
55,116	graph	1
55,56	graph	3
14,7	graph	0
14,29	latent_space	2
18,126	graph	1
18,139	graph	3
18,117	latent_space	0
24,40	graph	3
24,130	graph	1
24,56	graph	3
24,87	latent_space	2
24,8	latent_space	1
111,85	graph	1
111,135	latent_space	3
111,147	latent_space	3
175,173	graph	1
113,171	graph	2
113,172	graph	2
92,15	graph	0
6,171	graph	3
6,56	graph	2
6,134	latent_space	3
6,3	latent_space	2
6,74	latent_space	2
137,56	graph	3
137,9	latent_space	3
137,97	latent_space	0
165,15	graph	0
165,56	graph	2
165,57	graph	2
165,40	latent_space	2
165,146	latent_space	2
165,29	latent_space	0
165,52	latent_space	0
12,56	graph	2
68,50	graph	2
68,56	graph	2
68,131	latent_space	3
68,101	latent_space	3
68,72	latent_space	1
68,106	latent_space	1
131,66	graph	3
131,84	graph	0
131,168	graph	3
131,56	graph	2
131,138	graph	2
131,173	graph	2
131,100	graph	2
131,15	latent_space	1
131,101	latent_space	2
131,106	latent_space	1
131,68	latent_space	0
131,2	latent_space	1
131,72	latent_space	0
125,54	graph	1
125,56	graph	3
103,56	graph	0
103,34	latent_space	2
103,10	latent_space	3
103,144	latent_space	1
103,80	latent_space	2
103,139	latent_space	2
103,170	latent_space	2
103,76	latent_space	0
103,81	latent_space	1
124,56	graph	3
80,66	graph	1
80,28	graph	1
80,1	graph	0
80,56	graph	0
80,176	graph	0
80,34	latent_space	0
80,155	latent_space	2
80,103	latent_space	1
80,163	latent_space	0
80,170	latent_space	1
80,19	latent_space	3
80,76	latent_space	1
80,139	latent_space	3
84,131	graph	3
84,34	graph	3
84,41	graph	2
84,47	graph	2
84,147	graph	2
84,25	graph	1
84,153	graph	2
84,23	graph	3
84,127	graph	3
84,171	graph	3
84,177	graph	3
84,31	graph	1
84,61	graph	3
84,56	graph	3
84,180	graph	2
84,173	graph	3
84,62	graph	3
84,21	latent_space	2
171,66	graph	0
171,113	graph	1
171,127	graph	2
171,129	graph	0
171,84	graph	0
171,6	graph	0
171,56	graph	0
171,141	latent_space	1
110,56	graph	1
110,57	graph	1
31,127	graph	2
31,84	graph	2
31,56	graph	2
134,56	graph	2
134,145	latent_space	2
134,6	latent_space	0
134,67	latent_space	3
141,48	graph	2
141,116	graph	0
141,171	latent_space	2
32,56	graph	3
32,118	latent_space	0
178,56	graph	2
178,133	graph	2
178,162	latent_space	2
178,164	latent_space	3
56,89	graph	0
56,79	graph	0
56,150	graph	2
56,169	graph	0
56,39	graph	3
56,59	graph	1
56,54	graph	1
56,11	graph	0
56,119	graph	1
56,65	graph	3
56,38	graph	0
56,41	graph	2
56,161	graph	3
56,153	graph	0
56,109	graph	0
56,33	graph	0
56,129	graph	0
56,128	graph	0
56,77	graph	0
56,61	graph	1
56,57	graph	3
56,142	graph	0
56,87	graph	0
56,166	graph	0
56,30	graph	3
56,35	graph	0
56,63	graph	0
56,81	graph	3
56,146	graph	1
56,55	graph	0
56,24	graph	0
56,6	graph	1
56,137	graph	0
56,165	graph	1
56,12	graph	1
56,68	graph	1
56,131	graph	1
56,125	graph	0
56,103	graph	3
56,124	graph	0
56,80	graph	3
56,84	graph	0
56,171	graph	3
56,110	graph	2
56,31	graph	1
56,134	graph	1
56,32	graph	0
56,178	graph	1
56,62	graph	3
56,143	graph	1
56,69	graph	0
56,104	graph	3
56,16	graph	2
56,9	graph	0
56,44	graph	1
56,46	graph	1
56,64	graph	1
56,135	graph	0
56,147	graph	0
56,155	graph	3
56,53	graph	1
56,29	graph	1
56,37	graph	1
56,116	graph	0
56,21	graph	0
56,98	graph	1
56,49	graph	2
56,82	graph	1
56,22	graph	2
56,75	graph	1
56,27	graph	0
56,170	graph	3
56,74	graph	1
56,34	graph	3
56,118	graph	0
56,181	graph	3
56,94	graph	3
56,127	graph	3
56,136	graph	1
56,52	graph	1
56,154	graph	1
56,23	graph	3
56,172	graph	3
56,149	graph	1
56,85	graph	1
56,167	graph	3
56,17	graph	3
56,5	graph	0
56,91	graph	1
56,19	graph	3
56,117	graph	0
56,93	graph	0
56,3	graph	1
56,43	graph	1
56,179	graph	1
56,112	graph	1
56,97	graph	0
56,144	graph	3
56,47	graph	0
56,90	graph	0
56,132	graph	0
56,26	graph	3
56,159	graph	3
56,139	graph	3
56,41	latent_space	2
56,39	latent_space	3
56,180	latent_space	2
56,86	latent_space	2
4,66	graph	0
4,164	graph	0
4,146	graph	0
122,167	graph	2
115,20	graph	1
115,73	latent_space	0
115,151	latent_space	1
115,133	latent_space	2
115,155	latent_space	1
62,127	graph	2
62,84	graph	0
62,56	graph	0
62,152	latent_space	3
62,0	latent_space	2
62,95	latent_space	2
62,57	latent_space	2
143,56	graph	2
143,15	latent_space	3
143,106	latent_space	2
143,51	latent_space	1
143,2	latent_space	3
143,72	latent_space	2
69,56	graph	3
104,41	graph	0
104,56	graph	0
104,81	latent_space	2
104,26	latent_space	0
104,20	latent_space	3
104,65	latent_space	2
16,85	graph	1
16,15	graph	1
16,20	graph	3
16,126	graph	1
16,60	graph	3
16,59	graph	1
16,123	graph	1
16,56	graph	1
16,133	graph	3
9,106	graph	3
9,56	graph	3
9,79	latent_space	3
9,137	latent_space	0
44,159	graph	2
44,56	graph	2
44,123	latent_space	2
44,154	latent_space	1
168,131	graph	0
168,145	graph	0
168,53	latent_space	2
168,67	latent_space	0
46,56	graph	2
46,95	graph	3
46,156	latent_space	2
64,82	graph	1
64,56	graph	2
64,133	graph	2
64,66	latent_space	0
135,56	graph	3
135,147	latent_space	2
135,111	latent_space	0
173,131	graph	1
173,55	graph	2
173,175	graph	2
173,84	graph	0
173,8	graph	2
173,145	graph	3
173,96	graph	3
173,54	latent_space	3
174,15	graph	3
174,93	latent_space	1
174,97	latent_space	2
174,140	latent_space	1
147,84	graph	1
147,56	graph	3
147,70	graph	0
147,23	graph	3
147,135	latent_space	1
147,111	latent_space	0
155,56	graph	0
155,34	latent_space	1
155,80	latent_space	1
155,163	latent_space	0
155,115	latent_space	2
155,170	latent_space	1
155,19	latent_space	3
155,94	latent_space	3
155,139	latent_space	1
53,56	graph	2
53,71	graph	0
53,168	latent_space	1
29,97	graph	0
29,182	graph	2
