node1,node2	space	relation_type
99,98	graph	3
99,0	graph	2
99,126	latent_space	1
99,82	latent_space	2
99,214	latent_space	3
99,149	latent_space	0
99,238	latent_space	3
99,152	latent_space	1
161,120	graph	2
161,121	graph	2
161,92	graph	0
161,130	latent_space	2
161,64	latent_space	1
161,227	latent_space	2
175,98	graph	3
175,36	graph	1
175,222	latent_space	3
175,132	latent_space	1
230,50	graph	1
230,98	graph	3
230,218	latent_space	1
19,98	graph	3
19,196	latent_space	2
19,165	latent_space	0
19,172	latent_space	3
107,217	graph	2
107,124	graph	3
107,183	graph	2
107,10	graph	3
107,32	latent_space	3
130,98	graph	3
130,139	graph	3
130,18	graph	2
130,161	latent_space	1
130,235	latent_space	3
130,227	latent_space	2
229,148	graph	1
229,98	graph	3
229,87	graph	2
229,158	graph	1
229,11	latent_space	3
229,7	latent_space	1
229,26	latent_space	2
86,204	graph	2
86,98	graph	3
86,52	graph	1
86,58	latent_space	2
86,20	latent_space	1
86,96	latent_space	3
86,228	latent_space	2
86,181	latent_space	3
86,221	latent_space	1
77,98	graph	3
77,75	graph	2
77,70	latent_space	3
219,63	graph	0
219,192	latent_space	2
219,69	latent_space	1
221,48	graph	3
221,20	latent_space	0
221,86	latent_space	2
221,96	latent_space	2
221,60	latent_space	1
221,181	latent_space	2
243,98	graph	2
243,170	graph	2
243,20	graph	2
52,30	graph	2
52,155	graph	3
52,190	graph	2
52,114	graph	0
52,98	graph	2
52,86	graph	2
52,71	graph	2
52,3	graph	2
52,57	graph	0
52,49	graph	2
52,70	graph	0
16,98	graph	1
207,128	graph	2
207,208	graph	2
207,201	graph	2
207,173	graph	2
207,178	graph	2
0,99	graph	1
0,28	graph	1
0,20	graph	1
0,200	graph	1
0,7	graph	0
0,104	graph	0
0,35	latent_space	3
0,232	latent_space	2
0,121	latent_space	0
0,248	latent_space	0
23,98	graph	2
23,21	latent_space	2
23,155	latent_space	1
32,245	graph	2
32,97	graph	2
32,199	graph	2
32,115	graph	0
32,5	graph	2
32,98	graph	2
32,196	graph	0
32,107	latent_space	0
110,12	graph	0
110,30	latent_space	0
110,34	latent_space	3
110,171	latent_space	3
110,240	latent_space	3
110,178	latent_space	2
110,123	latent_space	1
231,185	graph	2
231,198	graph	3
231,143	graph	3
231,75	graph	2
231,113	latent_space	0
231,169	latent_space	0
89,202	graph	3
89,195	graph	3
89,211	graph	0
89,223	graph	1
89,216	graph	1
89,11	latent_space	0
89,119	latent_space	1
89,164	latent_space	2
93,189	graph	2
93,163	graph	2
93,92	graph	2
93,106	graph	2
93,98	graph	3
233,142	graph	1
233,242	graph	2
233,180	latent_space	1
233,190	latent_space	2
233,105	latent_space	1
233,153	latent_space	2
233,125	latent_space	3
233,76	latent_space	1
180,178	graph	0
180,102	latent_space	1
180,233	latent_space	2
180,105	latent_space	1
180,125	latent_space	3
180,76	latent_space	2
180,53	latent_space	1
71,204	graph	0
71,52	graph	1
127,11	graph	0
127,54	graph	1
127,116	latent_space	1
127,138	latent_space	3
127,201	latent_space	3
249,242	graph	2
249,117	graph	1
249,50	latent_space	0
249,169	latent_space	1
156,184	graph	2
156,75	graph	0
156,183	graph	2
156,225	graph	0
156,143	graph	0
156,152	graph	0
156,172	graph	0
156,94	latent_space	0
156,46	latent_space	3
156,49	latent_space	2
121,42	graph	1
121,120	graph	3
121,161	graph	1
121,248	latent_space	3
121,0	latent_space	3
121,140	latent_space	0
121,232	latent_space	3
121,4	latent_space	2
131,186	graph	1
131,98	graph	1
57,52	graph	3
57,204	graph	2
57,98	graph	3
57,64	graph	3
57,152	graph	3
201,206	graph	3
201,207	graph	1
201,8	graph	0
201,26	graph	0
201,97	latent_space	3
201,127	latent_space	0
201,72	latent_space	2
201,138	latent_space	1
104,245	graph	1
104,0	graph	3
104,34	graph	3
104,28	graph	1
104,98	graph	3
104,240	graph	3
104,56	latent_space	2
104,191	latent_space	0
147,151	graph	2
147,184	graph	2
147,198	graph	2
147,186	graph	2
147,98	graph	2
147,160	graph	2
147,238	graph	2
147,67	graph	2
247,200	graph	1
247,205	latent_space	1
247,48	latent_space	3
247,3	latent_space	1
247,187	latent_space	1
67,186	graph	3
67,98	graph	3
67,160	graph	1
67,147	graph	1
67,30	latent_space	3
67,138	latent_space	2
67,55	latent_space	1
67,214	latent_space	0
67,116	latent_space	2
67,238	latent_space	0
67,178	latent_space	3
172,98	graph	3
172,156	graph	3
172,75	graph	2
172,196	latent_space	2
172,19	latent_space	0
87,11	graph	1
87,229	graph	1
87,54	graph	1
87,78	graph	1
87,242	latent_space	3
87,212	latent_space	0
87,6	latent_space	3
87,100	latent_space	0
167,242	graph	2
167,98	graph	2
167,202	graph	2
167,239	graph	0
167,234	latent_space	2
56,98	graph	3
56,104	latent_space	1
56,191	latent_space	1
118,37	graph	3
118,198	graph	2
118,114	latent_space	3
118,225	latent_space	3
170,243	graph	1
170,35	graph	2
170,6	graph	2
170,20	graph	3
170,92	graph	2
170,98	graph	3
170,242	graph	2
170,54	graph	3
170,146	latent_space	0
170,79	latent_space	3
170,198	latent_space	0
170,237	latent_space	3
235,98	graph	3
235,199	latent_space	2
235,134	latent_space	2
235,130	latent_space	0
235,227	latent_space	0
235,190	latent_space	3
6,242	graph	3
6,98	graph	1
6,170	graph	1
6,242	latent_space	3
6,212	latent_space	0
