node1,node2	space	relation_type
22,21	graph	2
22,98	graph	0
22,13	latent_space	2
35,250	graph	2
35,20	graph	3
35,170	graph	3
35,98	graph	1
35,76	latent_space	1
247,200	graph	3
58,12	graph	0
58,98	graph	0
58,13	latent_space	0
184,156	graph	1
184,75	graph	0
184,147	graph	1
184,98	graph	0
34,132	graph	2
34,104	graph	0
34,192	graph	2
34,12	latent_space	2
34,13	latent_space	2
34,28	latent_space	2
34,49	latent_space	2
241,51	graph	0
241,29	graph	2
241,44	graph	0
241,41	graph	0
241,13	latent_space	0
42,121	graph	2
42,28	latent_space	3
42,47	latent_space	2
42,60	latent_space	2
42,12	latent_space	3
42,68	latent_space	2
42,49	latent_space	3
193,79	graph	1
193,98	graph	1
37,164	graph	3
37,191	graph	2
37,118	graph	2
37,151	graph	3
37,98	graph	2
37,214	graph	3
37,197	graph	2
37,28	latent_space	3
37,47	latent_space	3
37,60	latent_space	3
37,76	latent_space	2
37,52	latent_space	2
37,105	latent_space	3
37,68	latent_space	3
37,49	latent_space	3
205,169	graph	1
205,242	graph	0
205,98	graph	1
44,31	graph	3
44,98	graph	3
44,122	graph	3
44,178	graph	3
44,50	graph	3
44,173	graph	3
44,41	graph	2
44,241	graph	3
44,140	graph	3
44,182	graph	3
44,9	graph	2
44,28	latent_space	3
44,47	latent_space	3
44,60	latent_space	3
44,76	latent_space	2
44,52	latent_space	2
44,105	latent_space	3
44,68	latent_space	3
44,49	latent_space	3
73,192	graph	0
13,197	graph	2
13,98	graph	0
96,112	graph	1
96,217	graph	3
96,98	graph	1
96,52	latent_space	3
96,76	latent_space	3
96,47	latent_space	3
108,144	graph	2
108,13	latent_space	2
108,28	latent_space	2
108,117	latent_space	2
108,12	latent_space	2
108,49	latent_space	2
100,138	graph	3
100,76	latent_space	3
113,25	graph	2
113,98	graph	0
113,28	latent_space	2
113,47	latent_space	2
113,60	latent_space	2
113,12	latent_space	3
113,49	latent_space	3
6,170	graph	2
6,242	graph	2
6,98	graph	0
6,13	latent_space	2
122,192	graph	2
122,178	graph	3
122,173	graph	3
122,41	graph	0
122,44	graph	0
122,12	latent_space	2
122,13	latent_space	2
122,28	latent_space	2
122,49	latent_space	2
79,29	graph	2
79,132	graph	2
79,69	graph	2
79,193	graph	2
79,213	graph	3
79,126	graph	2
79,68	graph	1
79,76	latent_space	3
202,89	graph	0
202,98	graph	0
202,167	graph	2
202,223	graph	0
202,242	graph	2
202,13	latent_space	2
160,232	graph	2
160,61	graph	0
160,186	graph	2
160,147	graph	3
160,67	graph	2
160,13	latent_space	2
217,107	graph	0
217,96	graph	0
217,43	graph	1
16,98	graph	0
16,13	latent_space	2
197,13	graph	1
197,232	graph	0
197,84	graph	1
197,37	graph	1
197,209	graph	3
211,89	graph	0
211,97	graph	0
211,5	graph	1
211,98	graph	0
211,115	graph	1
211,152	graph	1
211,48	graph	0
172,156	graph	2
172,75	graph	0
172,98	graph	0
172,66	latent_space	0
54,98	graph	0
54,127	graph	2
54,46	graph	0
54,159	graph	0
54,165	graph	2
54,119	graph	2
54,129	graph	2
54,2	graph	0
54,87	graph	0
54,170	graph	2
54,13	latent_space	0
117,249	graph	2
117,12	latent_space	2
117,13	latent_space	2
117,28	latent_space	2
117,49	latent_space	2
12,152	graph	3
12,98	graph	0
12,64	graph	2
12,144	graph	3
12,58	graph	3
12,110	graph	3
12,13	latent_space	3
12,28	latent_space	2
12,49	latent_space	2
59,98	graph	2
59,28	latent_space	3
59,47	latent_space	3
59,60	latent_space	3
59,76	latent_space	2
59,52	latent_space	2
59,105	latent_space	3
59,68	latent_space	3
59,49	latent_space	3
87,229	graph	2
87,54	graph	3
87,78	graph	0
87,11	graph	2
87,28	latent_space	3
87,47	latent_space	2
87,60	latent_space	3
87,52	latent_space	2
87,76	latent_space	2
87,12	latent_space	3
87,68	latent_space	2
87,49	latent_space	3
32,196	graph	2
32,97	graph	3
32,5	graph	3
32,98	graph	2
32,115	graph	3
32,199	graph	3
32,245	graph	2
32,28	latent_space	3
32,47	latent_space	3
32,60	latent_space	3
32,76	latent_space	2
32,52	latent_space	2
32,105	latent_space	3
32,68	latent_space	3
32,49	latent_space	3
170,35	graph	0
170,98	graph	0
170,6	graph	1
170,54	graph	1
170,243	graph	2
170,20	graph	0
170,242	graph	0
170,92	graph	0
170,66	latent_space	0
218,98	graph	0
218,66	latent_space	0
66,204	graph	2
66,3	graph	0
232,197	graph	3
232,209	graph	3
232,160	graph	1
89,216	graph	3
89,202	graph	3
89,195	graph	2
