node1,node2	space	relation_type
151,147	graph	0
151,37	graph	0
71,52	graph	1
71,204	graph	3
71,174	latent_space	0
71,42	latent_space	2
71,233	latent_space	1
237,98	graph	3
237,69	latent_space	0
237,73	latent_space	0
237,198	latent_space	3
201,26	graph	0
201,207	graph	0
201,8	graph	0
201,206	graph	1
201,217	latent_space	3
201,116	latent_space	0
201,178	latent_space	0
201,47	latent_space	2
201,123	latent_space	3
201,168	latent_space	2
201,97	latent_space	1
201,55	latent_space	0
201,210	latent_space	2
31,44	graph	0
31,102	graph	0
31,192	graph	0
31,50	graph	0
184,75	graph	2
184,156	graph	3
184,147	graph	2
184,98	graph	2
2,98	graph	3
2,54	graph	2
2,51	latent_space	1
2,50	latent_space	1
44,182	graph	2
44,140	graph	3
44,31	graph	3
44,50	graph	2
44,41	graph	3
44,173	graph	2
44,241	graph	2
44,178	graph	3
44,122	graph	2
44,98	graph	2
44,9	graph	2
77,75	graph	0
77,98	graph	0
172,75	graph	3
172,156	graph	3
172,98	graph	3
172,218	latent_space	0
172,226	latent_space	2
172,17	latent_space	3
228,25	graph	0
228,78	latent_space	0
228,63	latent_space	0
228,91	latent_space	1
135,50	graph	1
135,98	graph	3
135,165	latent_space	0
231,75	graph	3
231,143	graph	1
231,185	graph	3
231,198	graph	0
231,224	latent_space	2
231,110	latent_space	0
166,191	graph	1
166,89	latent_space	1
166,108	latent_space	1
166,13	latent_space	1
166,180	latent_space	1
166,90	latent_space	3
166,106	latent_space	1
166,119	latent_space	2
166,33	latent_space	3
166,211	latent_space	2
174,98	graph	3
174,71	latent_space	3
174,42	latent_space	3
174,233	latent_space	3
121,120	graph	0
121,161	graph	0
121,42	graph	0
121,29	latent_space	1
121,207	latent_space	2
170,35	graph	1
170,242	graph	3
170,92	graph	3
170,20	graph	3
170,243	graph	3
170,6	graph	1
170,98	graph	3
170,54	graph	3
170,241	latent_space	3
94,98	graph	2
94,242	latent_space	2
94,232	latent_space	1
5,141	graph	3
5,204	graph	1
5,81	graph	0
5,32	graph	1
5,236	graph	1
5,246	graph	0
5,168	graph	3
5,45	graph	1
5,101	graph	3
5,211	graph	0
5,180	latent_space	0
5,83	latent_space	0
5,90	latent_space	2
5,106	latent_space	0
5,82	latent_space	2
5,158	latent_space	3
249,242	graph	1
249,117	graph	2
249,226	latent_space	1
176,53	graph	2
176,85	latent_space	3
205,242	graph	1
205,169	graph	0
205,98	graph	2
189,171	graph	2
189,93	graph	3
189,98	graph	2
189,4	latent_space	0
131,186	graph	2
131,98	graph	3
139,98	graph	1
139,130	graph	0
139,137	latent_space	2
58,12	graph	3
58,98	graph	3
58,111	latent_space	2
58,34	latent_space	3
167,239	graph	0
167,242	graph	0
167,202	graph	0
167,98	graph	0
212,75	graph	3
212,232	latent_space	3
28,242	graph	0
28,104	graph	0
28,0	graph	0
28,98	graph	0
141,97	graph	3
141,5	graph	0
141,115	graph	0
141,75	latent_space	3
7,242	graph	1
7,0	graph	1
137,224	graph	1
137,98	graph	1
137,139	latent_space	1
137,53	latent_space	0
73,192	graph	0
73,237	latent_space	3
73,219	latent_space	0
73,69	latent_space	3
27,111	graph	2
27,63	graph	3
27,98	graph	2
27,52	latent_space	1
27,66	latent_space	3
52,86	graph	2
52,155	graph	3
52,190	graph	2
52,71	graph	2
52,49	graph	3
52,3	graph	3
52,70	graph	3
52,57	graph	2
52,114	graph	2
52,30	graph	3
52,98	graph	2
52,27	latent_space	2
52,66	latent_space	3
52,85	latent_space	0
173,182	graph	0
173,26	graph	1
173,208	graph	0
173,188	graph	0
173,226	graph	1
173,44	graph	1
173,178	graph	3
173,207	graph	1
173,65	graph	1
173,128	graph	1
173,122	graph	0
173,192	graph	0
173,98	graph	1
173,199	latent_space	0
173,103	latent_space	2
102,31	graph	3
102,98	graph	3
102,85	graph	1
102,99	latent_space	1
218,98	graph	3
218,169	latent_space	0
218,51	latent_space	0
218,50	latent_space	2
218,172	latent_space	3
144,12	graph	3
144,108	graph	2
144,98	graph	2
144,25	latent_space	3
234,64	graph	3
234,61	latent_space	0
234,87	latent_space	3
60,98	graph	3
60,216	latent_space	0
60,235	latent_space	2
60,157	latent_space	2
60,43	latent_space	2
60,80	latent_space	3
60,152	latent_space	3
60,36	latent_space	0
60,239	latent_space	3
60,227	latent_space	0
60,195	latent_space	3
186,67	graph	3
186,160	graph	2
186,15	graph	0
186,147	graph	3
186,238	graph	3
186,131	graph	1
186,239	latent_space	2
186,152	latent_space	2
199,8	graph	1
199,84	graph	3
199,32	graph	1
199,145	graph	1
199,75	graph	3
199,103	latent_space	3
199,92	latent_space	2
199,20	latent_space	2
199,173	latent_space	3
199,22	latent_space	2
242,215	graph	1
242,170	graph	0
242,249	graph	2
242,24	graph	0
242,205	graph	2
242,6	graph	0
242,167	graph	3
242,233	graph	2
242,28	graph	3
242,74	graph	2
242,7	graph	2
242,202	graph	3
242,149	graph	2
242,38	graph	2
242,109	graph	3
242,148	graph	3
242,194	graph	1
242,150	graph	2
242,21	graph	3
242,171	graph	2
242,94	latent_space	1
242,232	latent_space	1
78,63	graph	3
78,98	graph	0
78,87	graph	0
78,63	latent_space	3
78,228	latent_space	3
129,54	graph	2
129,119	graph	2
129,165	graph	2
129,159	graph	2
129,98	graph	2
129,46	graph	3
13,197	graph	0
13,98	graph	3
13,89	latent_space	3
13,108	latent_space	1
13,166	latent_space	2
13,180	latent_space	3
13,90	latent_space	3
13,106	latent_space	3
13,111	latent_space	1
13,211	latent_space	2
148,242	graph	0
148,229	graph	2
148,230	latent_space	0
148,95	latent_space	0
148,204	latent_space	2
148,120	latent_space	1
226,41	graph	1
226,173	graph	2
226,249	latent_space	2
226,172	latent_space	1
226,17	latent_space	1
40,98	graph	2
40,88	latent_space	1
21,242	graph	0
21,22	graph	2
59,98	graph	3
59,182	latent_space	0
59,183	latent_space	2
59,220	latent_space	1
59,171	latent_space	0
59,193	latent_space	2
59,213	latent_space	1
59,54	latent_space	0
171,242	graph	1
171,189	graph	1
171,91	graph	3
171,206	graph	3
171,215	graph	1
171,98	graph	3
171,74	latent_space	1
171,182	latent_space	3
171,54	latent_space	3
171,246	latent_space	1
171,220	latent_space	3
171,59	latent_space	3
171,130	latent_space	0
76,98	graph	3
76,229	latent_space	3
76,128	latent_space	3
198,118	graph	2
198,231	graph	3
198,147	graph	3
198,15	latent_space	3
198,237	latent_space	0
198,221	latent_space	2
198,112	latent_space	2
34,132	graph	1
34,104	graph	1
34,192	graph	0
34,111	latent_space	2
34,58	latent_space	0
132,248	graph	3
132,79	graph	2
132,34	graph	2
132,98	graph	2
132,45	latent_space	3
120,157	graph	2
120,161	graph	2
120,121	graph	3
120,230	latent_space	2
120,95	latent_space	2
120,148	latent_space	2
206,33	graph	0
206,201	graph	2
206,171	graph	0
46,129	graph	0
46,119	graph	2
46,54	graph	2
46,156	latent_space	1
177,98	graph	2
204,86	graph	0
204,155	graph	3
204,190	graph	2
204,5	graph	2
204,71	graph	0
204,49	graph	2
204,66	graph	0
204,115	graph	2
204,70	graph	3
204,3	graph	1
204,57	graph	2
204,97	graph	3
204,114	graph	0
204,30	graph	2
204,98	graph	2
204,230	latent_space	1
204,95	latent_space	1
204,148	latent_space	1
240,104	graph	1
240,160	latent_space	3
240,125	latent_space	3
240,1	latent_space	3
208,173	graph	3
208,178	graph	3
208,207	graph	3
208,164	latent_space	3
208,188	latent_space	0
208,42	latent_space	1
83,20	graph	3
83,90	graph	2
83,89	latent_space	2
83,108	latent_space	0
83,5	latent_space	3
83,180	latent_space	2
83,90	latent_space	2
83,106	latent_space	0
83,111	latent_space	0
92,161	graph	0
92,163	graph	1
92,63	graph	3
92,93	graph	3
92,98	graph	1
92,170	graph	0
92,134	latent_space	0
92,149	latent_space	2
92,20	latent_space	1
92,199	latent_space	1
92,22	latent_space	1
37,164	graph	2
37,118	graph	2
37,151	graph	3
37,214	graph	3
37,197	graph	2
37,191	graph	0
37,98	graph	2
50,72	graph	2
50,31	graph	3
50,230	graph	3
50,44	graph	1
50,135	graph	2
50,85	graph	1
50,169	latent_space	1
50,2	latent_space	2
50,51	latent_space	0
50,218	latent_space	1
93,163	graph	0
93,92	graph	0
93,106	graph	0
93,189	graph	0
93,98	graph	0
47,11	graph	0
47,98	graph	0
47,67	latent_space	3
47,127	latent_space	2
47,201	latent_space	1
47,217	latent_space	1
47,168	latent_space	0
47,123	latent_space	3
47,210	latent_space	1
62,24	graph	0
62,149	graph	0
88,98	graph	2
88,248	latent_space	3
88,40	latent_space	2
215,242	graph	2
215,171	graph	2
215,245	latent_space	2
248,132	graph	0
248,88	latent_space	0
221,48	graph	3
221,15	latent_space	1
221,112	latent_space	2
221,198	latent_space	1
113,25	graph	3
113,98	graph	3
124,107	graph	0
124,98	graph	2
124,3	latent_space	1
203,74	graph	0
203,98	graph	0
232,209	graph	2
232,160	graph	2
232,197	graph	2
232,242	latent_space	2
232,94	latent_space	2
232,212	latent_space	0
8,201	graph	3
8,199	graph	2
8,98	graph	0
